game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
490129,2017-04-05,113,143,CIN,PHI,Cincinnati Reds,Philadelphia Phillies,Reds,Phillies,National League,National League,NL,NL,NL Central,NL East,NL Central,NL East,2017,2017,1,1,0,1,1,0,0.0,1.0,3,4,4,3,-1,1,3.0,4.0,4.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,1,0,0,L1,W1,0,0,0.0,0.0,0.0,0.0,0-1,1-0,0-1,0-0,0-0,1-0,0-0,0-0,0-1,1-0,0-1,1-0,False
490134,2017-04-05,110,141,BAL,TOR,Baltimore Orioles,Toronto Blue Jays,Orioles,Blue Jays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2017,2017,1,1,1,0,0,1,1.0,0.0,3,2,2,3,1,-1,3.0,2.0,2.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,W1,L1,0,0,0.0,0.0,0.0,0.0,1-0,0-1,1-0,0-0,0-0,0-1,1-0,0-1,1-0,0-1,1-0,0-1,True
490132,2017-04-05,109,137,AZ,SF,Arizona Diamondbacks,San Francisco Giants,Diamondbacks,Giants,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2017,2017,2,2,1,1,1,1,0.5,0.5,10,13,13,10,-3,3,5.0,6.5,6.5,5.0,-1.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1,0,1,0,0,1,0,1,L1,W1,0,0,0.0,0.0,0.0,0.0,1-1,1-1,1-1,0-0,0-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,True
490131,2017-04-05,119,135,LAD,SD,Los Angeles Dodgers,San Diego Padres,Dodgers,Padres,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2017,2017,2,2,1,1,1,1,0.5,0.5,14,7,7,14,7,-7,7.0,3.5,3.5,7.0,3.5,-3.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1,0,1,0,0,1,0,1,L1,W1,0,0,0.0,0.0,0.0,0.0,1-1,1-1,1-1,0-0,0-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,True
490130,2017-04-05,111,134,BOS,PIT,Boston Red Sox,Pittsburgh Pirates,Red Sox,Pirates,American League,National League,AL,NL,AL East,NL Central,AL East,NL Central,2017,2017,1,1,1,0,0,1,1.0,0.0,5,3,3,5,2,-2,5.0,3.0,3.0,5.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,W1,L1,0,0,0.0,0.0,0.0,0.0,1-0,0-1,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-1,False
490128,2017-04-05,139,147,TB,NYY,Tampa Bay Rays,New York Yankees,Rays,Yankees,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2017,2017,2,2,1,1,1,1,0.5,0.5,7,8,8,7,-1,1,3.5,4.0,4.0,3.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1,0,1,0,0,1,0,1,L1,W1,0,0,0.0,0.0,0.0,0.0,1-1,1-1,1-1,0-0,0-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,True
490133,2017-04-05,117,136,HOU,SEA,Houston Astros,Seattle Mariners,Astros,Mariners,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2017,2017,2,2,2,0,0,2,1.0,0.0,5,1,1,5,4,-4,2.5,0.5,0.5,2.5,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,0,0,0,0,0,0,2,W2,L2,0,0,0.0,0.0,0.0,0.0,2-0,0-2,2-0,0-0,0-0,0-2,2-0,0-2,2-0,0-2,2-0,0-2,True
490126,2017-04-05,133,108,OAK,LAA,Oakland Athletics,Los Angeles Angels,Athletics,Angels,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2017,2017,2,2,1,1,1,1,0.5,0.5,10,9,9,10,1,-1,5.0,4.5,4.5,5.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1,0,1,0,0,1,0,1,L1,W1,0,0,0.0,0.0,0.0,0.0,1-1,1-1,1-1,0-0,0-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,True
490125,2017-04-05,142,118,MIN,KC,Minnesota Twins,Kansas City Royals,Twins,Royals,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2017,2017,1,1,1,0,0,1,1.0,0.0,7,1,1,7,6,-6,7.0,1.0,1.0,7.0,6.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,W1,L1,0,0,0.0,0.0,0.0,0.0,1-0,0-1,1-0,0-0,0-0,0-1,1-0,0-1,1-0,0-1,1-0,0-1,True
490123,2017-04-05,158,115,MIL,COL,Milwaukee Brewers,Colorado Rockies,Brewers,Rockies,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2017,2017,2,2,0,2,2,0,0.0,1.0,10,13,13,10,-3,3,5.0,6.5,6.5,5.0,-1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,0,2,0,0,L2,W2,0,0,0.0,0.0,0.0,0.0,0-2,2-0,0-2,0-0,0-0,2-0,0-0,0-0,0-2,2-0,0-2,2-0,False
