game_pk,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10
490099,,,,
490106,,,,
490110,,,,
490098,,,,
490100,,,,
490101,,,,
490103,,,,
490104,,,,
490105,,,,
490107,,,,
490108,,,,
490109,,,,
490111,,,,
490112,,,,
490102,,,,
490113,13.499831252109349,0.0,13.499831252109349,0.0
490114,4.5,0.0,4.5,0.0
490115,0.0,3.857197959970857,0.0,3.857197959970857
490116,0.0,0.0,0.0,0.0
490117,4.5,9.642788265798103,4.5,9.642788265798103
490118,6.75,16.19967600647987,6.75,16.19967600647987
490119,0.0,3.0,0.0,3.0
490136,16.19967600647987,7.3635694220961625,16.19967600647987,7.3635694220961625
490120,0.0,27.0,0.0,27.0
490122,7.941129758060246,1.4210601108426888,7.941129758060246,1.4210601108426888
490123,2.5312420898684693,0.0,2.5312420898684693,0.0
490125,0.0,27.0,0.0,27.0
490126,4.5,7.105300554213444,4.5,7.105300554213444
490127,0.0,12.0,0.0,12.0
490128,1.8,0.0,1.8,0.0
490129,2.0769390533773335,4.5,2.0769390533773335,4.5
490130,0.0,0.0,0.0,0.0
490131,3.0,7.941129758060248,3.0,7.941129758060248
490132,7.0,4.7646778548361475,7.0,4.7646778548361475
490133,0.0,1.8,0.0,1.8
490134,0.0,1.9285576531596205,0.0,1.9285576531596205
490121,4.7646778548361475,4.049979750101249,4.7646778548361475,4.049979750101249
490135,3.0,6.75,3.0,6.75
490137,2.4545398760457364,1.7419411030358163,2.4545398760457364,1.7419411030358163
490138,0.0,3.374957813027337,0.0,3.374957813027337
490139,0.0,21.6,0.0,21.6
490140,2.5312420898684693,4.218776367352295,2.5312420898684693,4.218776367352295
490141,3.6,5.869539697653488,3.6,5.869539697653488
490142,1.4210601108426886,3.3750210938818372,1.4210601108426886,3.3750210938818372
490144,1.8,5.625,1.8,5.625
490145,6.75,5.399956800345596,6.75,5.399956800345596
490146,0.75,4.628558204119417,0.75,4.628558204119417
490147,1.0800043200172802,1.5882259516120494,1.0800043200172802,1.5882259516120494
490148,3.6818349174314426,6.3,3.6818349174314426,6.3
490149,3.2399740802073587,0.0,3.2399740802073587,0.0
490150,2.5471650053490467,2.7930938169178727,2.5471650053490467,2.7930938169178727
490151,6.74995178605867,0.7297317019775729,6.74995178605867,0.7297317019775729
490152,5.282620179609086,1.8620818074607413,5.282620179609086,1.8620818074607413
490153,1.6875,15.75,1.6875,15.75
490154,1.8837253109890955,1.3846153846153846,1.8837253109890955,1.3846153846153846
490155,2.3823599481174944,4.973671121918101,2.3823599481174944,4.973671121918101
490156,0.0,0.0,0.0,0.0
490157,0.0,0.0,0.0,0.0
490158,10.3845754439406,1.9285714285714286,10.3845754439406,1.9285714285714286
490159,8.181818181818182,6.545395041863256,8.181818181818182,6.545395041863256
490160,3.3750084375210934,3.4468011770187728,3.3750084375210934,3.4468011770187728
490161,0.8437552734704593,2.159982720138239,0.8437552734704593,2.159982720138239
490162,5.400021600086401,6.0,5.400021600086401,6.0
490163,5.225823309107448,5.651175932967285,5.225823309107448,5.651175932967285
490164,6.352903806448197,2.0,6.352903806448197,2.0
490165,1.9852911981011794,2.5116337479854605,1.9852911981011794,2.5116337479854605
490166,6.967696982600112,0.5869577977343429,6.967696982600112,0.5869577977343429
490167,4.2631578947368425,2.0769390533773335,4.2631578947368425,2.0769390533773335
490168,2.3684210526315788,11.454545454545455,2.3684210526315788,11.454545454545455
490169,1.5576953032601986,1.102043065394011,1.5576953032601986,1.102043065394011
490170,2.755107663485027,4.595734902691697,2.755107663485027,4.595734902691697
490171,0.0,0.0,0.0,0.0
490172,0.0,0.54000216000864,0.0,0.54000216000864
490173,6.2790405626020345,2.25,6.2790405626020345,2.25
490174,6.749984659125776,6.749938636921482,6.749984659125776,6.749938636921482
490175,2.7000108000432,3.857135969400055,2.7000108000432,3.857135969400055
490176,2.2978821186473137,3.9374753907788076,2.2978821186473137,3.9374753907788076
490177,5.40001350003375,7.941199827058315,5.40001350003375,7.941199827058315
490178,4.395359058974555,4.86001944007776,4.395359058974555,4.86001944007776
490179,5.023232450081627,1.5,5.023232450081627,1.5
