date,games,train_size,cover_rate,accuracy,roc_auc,bets,wins,pnl,avg_edge
2025-08-24,13,1770,0.6153846153846154,0.6153846153846154,0.6499999999999999,13,8,5.8751937984496125,0.433975479194191
2025-08-25,13,1783,0.6153846153846154,0.5384615384615384,0.39999999999999997,12,7,5.245925925925926,0.4085812132593023
2025-08-26,15,1796,0.7333333333333333,0.6,0.5,13,9,9.3,0.29093541516035126
2025-08-27,15,1811,0.8666666666666667,0.7333333333333333,0.8846153846153846,11,10,11.676451612903225,0.3287012583747205
2025-08-28,8,1826,0.75,0.75,0.08333333333333333,8,6,5.509093683246872,0.442889029126455
2025-08-29,15,1834,0.6,0.6,0.7592592592592593,15,9,4.779326469326469,0.3815661954527278
2025-08-30,15,1849,0.5333333333333333,0.6,0.8214285714285714,14,8,3.272881562881563,0.31575952137351243
2025-08-31,14,1864,0.7857142857142857,0.5714285714285714,0.4848484848484848,13,10,10.136831094881476,0.22790978174499726
2025-09-01,13,1878,0.6923076923076923,0.46153846153846156,0.5,10,7,7.33,0.28327082413675847
2025-09-02,14,1891,0.5714285714285714,0.42857142857142855,0.5208333333333334,12,6,2.4646218487394957,0.2784727111088991
2025-09-03,15,1905,0.5333333333333333,0.5333333333333333,0.4107142857142857,11,6,2.52125,0.32439397738577447
2025-09-04,6,1920,0.5,0.6666666666666666,0.888888888888889,4,3,3.02,0.18351293387016776
2025-09-05,15,1926,0.5333333333333333,0.5333333333333333,0.7142857142857143,13,7,2.6405289588215606,0.2323317520220779
2025-09-06,15,1941,0.6,0.6,0.7037037037037037,12,7,3.1571759259259258,0.21645102460311316
2025-09-07,13,1956,0.6153846153846154,0.6153846153846154,0.55,11,6,2.83,0.2333213125961489
2025-09-08,11,1969,0.6363636363636364,0.7272727272727273,0.7142857142857142,7,6,6.150889110889111,0.23820319625158537
2025-09-09,15,1980,0.6,0.6,0.6481481481481481,11,7,5.3042253521126765,0.2726512527402061
2025-09-10,15,1995,0.8,0.6666666666666666,0.5277777777777777,12,9,8.914225352112677,0.3169409344828698
2025-09-11,9,2010,0.8888888888888888,0.6666666666666666,0.375,7,6,7.507457627118644,0.30079248815270415
2025-09-12,15,2019,0.6666666666666666,0.6666666666666666,0.45999999999999996,15,10,10.1,0.34215717169096205
2025-09-13,15,2034,0.7333333333333333,0.6666666666666666,0.6363636363636364,14,10,9.016666666666667,0.3630192860582393
2025-09-14,14,2049,0.7142857142857143,0.7142857142857143,0.6,13,9,6.8135947712418305,0.36985837308112013
2025-09-15,9,2063,0.7777777777777778,0.6666666666666666,0.4285714285714286,9,7,8.15,0.2769622453852468
2025-09-16,15,2072,0.7333333333333333,0.7333333333333333,0.34090909090909094,15,11,11.446451612903227,0.3595315744474857
2025-09-17,14,2087,0.7142857142857143,0.7142857142857143,0.7,14,10,8.991293057763645,0.3182845396645487
2025-09-18,10,2101,0.7,0.7,0.523809523809524,10,7,5.4388620501394405,0.36503539313818123
2025-09-19,15,2111,0.4,0.5333333333333333,0.7222222222222222,11,4,-1.8499999999999999,0.33371080965926764
2025-09-20,15,2126,0.5333333333333333,0.6,0.5,11,6,2.6895566662908537,0.30002840226900146
2025-09-21,15,2141,0.4666666666666667,0.4666666666666667,0.6428571428571428,12,6,1.9912500000000002,0.2518295799107482
2025-09-22,3,2156,1.0,0.6666666666666666,,2,2,2.4945794392523366,0.27291739217239414
2025-09-23,15,2159,0.6,0.6,0.8703703703703703,14,9,5.761957671957672,0.24766135893673671
2025-09-24,14,2174,0.7857142857142857,0.5714285714285714,0.7272727272727273,11,9,10.052709427976604,0.2773270829239757
2025-09-25,11,2188,0.8181818181818182,0.9090909090909091,0.9444444444444444,11,9,9.61282068684675,0.31287098951482295
2025-09-26,15,2199,0.7333333333333333,0.6666666666666666,0.7045454545454546,14,10,9.633396226415094,0.3045943796704021
2025-09-27,15,2214,0.6666666666666666,0.7333333333333333,0.5800000000000001,12,9,8.885238095238096,0.39009172856933794
2025-09-28,15,2229,0.8,0.6666666666666666,0.5277777777777777,13,10,9.9137509354887,0.3661134787057908
