Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2016-06-06,SD,ATL,7,2,-138,128,-136,126,8.0,8.0,7.5,7.5,-110,-110,-125,105
2016-06-06,PHI,CHC,4,6,229,-250,240,-260,8.0,8.0,8.5,8.5,-110,-110,-105,-115
2016-06-06,SEA,CLE,1,3,-116,106,-128,118,8.0,8.0,8.5,8.5,-105,-115,-115,-105
2016-06-06,TEX,HOU,6,5,-116,106,117,-127,9.5,9.5,9.5,9.5,-115,-105,105,-115
2016-06-06,ARI,TB,4,6,100,-110,-122,112,9.0,9.0,8.0,8.0,-115,-105,-120,100
2016-06-06,NYY,LAA,5,2,-160,150,-160,150,8.0,8.0,8.5,8.5,-110,-110,-110,-110
2016-06-06,LAD,COL,1,6,-130,120,-122,112,7.5,7.5,7.5,7.5,-115,-105,100,-120
2016-06-06,DET,TOR,11,0,-110,100,-135,125,9.0,9.0,9.5,9.5,-110,-110,-115,-105
2016-06-06,BAL,KC,4,1,-108,-102,-115,105,9.0,9.0,8.5,8.5,105,-125,-115,-105
