game_pk,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10
778563,,,,
778564,12.6,11.25,12.6,11.25
778545,,,,
778546,12.6,,12.6,
778547,,,,
778551,,,,
778552,,9.9,,9.9
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,13.5,7.105263157894737,13.5,7.105263157894737
778541,9.0,4.5,9.0,4.5
778542,9.264705882352942,6.0,9.264705882352942,6.0
778543,10.8,8.357142857142858,10.8,8.357142857142858
778544,13.5,12.0,13.5,12.0
778548,7.5,12.413793103448276,7.5,12.413793103448276
778549,6.75,3.0,6.75,3.0
778550,12.0,6.75,12.0,6.75
778560,,,,
778520,10.0,6.0,10.0,6.0
778521,4.5,9.0,4.5,9.0
778528,11.25,6.0,11.25,6.0
778529,3.6,12.6,3.6,12.6
778530,12.6,8.076923076923077,12.6,8.076923076923077
778531,9.0,5.294117647058823,9.0,5.294117647058823
778532,10.112359550561797,9.553072625698325,10.112359550561797,9.553072625698325
778533,12.789473684210526,11.739130434782608,12.789473684210526,11.739130434782608
778534,21.0,4.5,21.0,4.5
778535,13.5,11.25,13.5,11.25
778536,10.285714285714286,7.974683544303797,10.285714285714286,7.974683544303797
778537,12.0,9.0,12.0,9.0
778538,13.846153846153847,6.0,13.846153846153847,6.0
778539,6.136363636363636,10.677966101694915,6.136363636363636,10.677966101694915
778540,20.25,6.75,20.25,6.75
778510,3.0,10.125,3.0,10.125
778513,5.5102040816326525,13.0,5.5102040816326525,13.0
778514,9.183673469387756,7.875,9.183673469387756,7.875
778515,10.588235294117647,9.949748743718594,10.588235294117647,9.949748743718594
778516,9.121621621621621,5.046728971962617,9.121621621621621,5.046728971962617
778517,7.714285714285714,10.5,7.714285714285714,10.5
778519,6.467065868263473,9.818181818181818,6.467065868263473,9.818181818181818
778522,11.571428571428571,9.0,11.571428571428571,9.0
778523,11.379310344827587,5.0,11.379310344827587,5.0
778524,9.0,6.521739130434782,9.0,6.521739130434782
778525,11.076923076923077,11.440677966101694,11.076923076923077,11.440677966101694
778526,10.125,10.125,10.125,10.125
778527,11.571428571428571,6.75,11.571428571428571,6.75
778496,6.328125,10.934579439252337,6.328125,10.934579439252337
778499,10.239520958083833,9.915254237288135,10.239520958083833,9.915254237288135
778500,12.761194029850746,9.0,12.761194029850746,9.0
778501,12.5,8.044692737430168,12.5,9.039301310043669
778502,9.908256880733944,6.363636363636363,9.908256880733944,6.363636363636363
778503,6.545454545454546,6.428571428571429,6.545454545454546,6.428571428571429
778504,5.785714285714286,4.5,5.785714285714286,4.5
778505,12.375,6.605504587155963,12.375,6.605504587155963
778506,11.7,6.101694915254237,11.7,6.101694915254237
778507,11.25,8.256880733944953,11.25,8.256880733944953
778508,9.0,9.642857142857142,9.0,9.642857142857142
778509,6.146341463414634,7.6415094339622645,6.146341463414634,7.6415094339622645
778511,9.9,9.574468085106382,9.9,9.574468085106382
778512,11.39240506329114,4.960629921259843,11.39240506329114,4.960629921259843
778485,10.0,8.653846153846153,10.0,8.653846153846153
778486,5.833333333333333,10.89171974522293,5.833333333333333,10.89171974522293
778487,13.097014925373134,9.0,12.857142857142858,9.0
778488,6.157894736842105,5.294117647058823,6.157894736842105,5.294117647058823
778489,11.25,7.76978417266187,11.25,7.76978417266187
778490,11.76923076923077,5.92814371257485,11.76923076923077,5.92814371257485
778491,11.842105263157896,6.474820143884892,11.842105263157896,6.474820143884892
778492,12.0,10.822784810126581,12.0,10.822784810126581
778493,10.384615384615385,10.053191489361701,10.384615384615385,10.053191489361701
778494,11.39240506329114,6.923076923076923,11.39240506329114,8.029739776951674
778495,8.49056603773585,7.5,8.49056603773585,7.5
778497,5.647058823529412,7.9411764705882355,5.647058823529412,7.9411764705882355
778498,9.0,9.453781512605042,9.0,9.453781512605042
778469,5.720338983050847,9.23076923076923,5.9765625,9.23076923076923
778471,11.25,6.305732484076433,10.53191489361702,7.2727272727272725
778472,12.338709677419354,9.0,12.413793103448278,8.526315789473685
778473,7.320574162679426,7.9411764705882355,7.320574162679426,7.9411764705882355
778474,11.25,7.880184331797235,11.25,7.880184331797235
778475,12.375,7.3584905660377355,12.375,7.3584905660377355
778476,10.558659217877096,8.27027027027027,10.20242914979757,8.27027027027027
778477,6.428571428571428,4.974874371859297,6.428571428571428,4.974874371859297
778478,12.446808510638297,7.455621301775149,11.447368421052632,7.455621301775149
778479,11.25,8.592964824120603,11.25,9.078947368421053
778480,7.8,9.086538461538462,7.8,9.453781512605042
778481,5.101214574898785,7.048192771084337,5.491525423728813,7.048192771084337
778482,10.945945945945946,6.050420168067227,10.945945945945946,6.050420168067227
778483,10.869565217391303,5.389221556886228,10.869565217391303,5.389221556886228
778484,12.857142857142858,10.869565217391305,12.857142857142858,10.869565217391305
778462,8.260869565217392,13.0,7.974683544303797,13.05
778466,11.414634146341463,10.702702702702704,11.414634146341463,10.72340425531915
778467,11.785714285714285,5.912408759124087,11.785714285714285,5.912408759124087
778468,7.941176470588235,3.4615384615384617,7.723880597014925,7.411764705882353
778470,12.17391304347826,5.255474452554745,11.0126582278481,5.593220338983051
778444,8.520710059171599,7.083333333333333,8.181818181818182,6.521739130434782
778447,9.0,5.689655172413794,8.526315789473685,7.232142857142858
778453,9.086538461538462,3.813559322033898,7.85234899328859,6.702127659574468
778454,9.519230769230768,9.529411764705882,9.388489208633093,9.9
778455,7.2,10.454545454545455,6.48,9.747292418772561
778456,6.780821917808218,10.454545454545455,7.048192771084337,10.161290322580644
778457,5.09433962264151,10.670103092783506,6.78391959798995,10.49469964664311
778458,7.927461139896375,8.181818181818182,8.475336322869957,9.953917050691244
778459,13.101265822784809,11.511627906976743,12.727272727272727,12.211055276381911
778460,3.6486486486486487,9.622641509433961,6.880733944954128,9.782608695652174
778461,8.571428571428573,10.536585365853659,9.07258064516129,11.065573770491804
778463,6.7924528301886795,6.331658291457287,6.343612334801763,7.154811715481172
778464,10.0,5.056179775280899,8.96103896103896,5.323943661971831
778465,6.887755102040817,11.363636363636363,6.923076923076923,11.082089552238806
778436,7.105263157894736,8.64,7.550335570469798,7.758620689655172
778437,8.095238095238097,7.9411764705882355,7.860262008733625,8.556338028169014
778438,10.588235294117647,10.2,9.90566037735849,9.857142857142858
778439,8.26530612244898,4.285714285714286,7.232142857142857,6.769911504424778
778440,8.294930875576037,12.5,8.772563176895307,12.521739130434783
778441,8.526315789473685,8.636363636363637,6.75,9.683544303797468
778442,6.305732484076433,9.908256880733944,6.371681415929203,10.811688311688311
778445,7.5,9.692307692307692,8.620689655172415,10.18867924528302
778446,7.846153846153846,9.70059880239521,7.9120879120879115,10.303030303030303
778448,14.347826086956522,11.447368421052632,12.798165137614678,12.057416267942585
778449,9.183673469387754,11.076923076923077,9.411764705882353,11.170212765957448
778450,3.0612244897959187,9.70059880239521,7.023121387283236,9.45859872611465
778451,10.062111801242235,4.326923076923077,9.33609958506224,5.28
778452,5.09433962264151,9.742268041237114,6.778242677824268,10.063897763578275
778419,11.626794258373206,12.727272727272727,9.633027522935778,12.62589928057554
778420,9.10714285714286,11.4,9.353932584269662,10.5
778421,8.709677419354838,6.164383561643835,7.420212765957446,7.443609022556391
778422,8.089887640449438,7.309644670050762,6.509433962264151,9.126760563380282
778423,6.467065868263473,9.825327510917031,6.428571428571428,10.682492581602373
778425,8.14070351758794,8.300970873786408,7.695167286245353,8.88888888888889
778427,8.21917808219178,7.951807228915662,7.682926829268293,7.400530503978779
778428,7.916666666666666,10.964467005076143,8.595505617977528,11.385542168674698
778429,4.5,9.72972972972973,6.022304832713755,10.2332361516035
778430,3.673469387755102,8.223350253807107,6.07361963190184,9.148351648351648
778432,8.4375,6.164383561643836,7.078651685393258,6.539792387543253
778433,6.847826086956522,10.615384615384615,8.350515463917526,10.983050847457626
778434,12.949640287769785,9.9,11.612903225806452,11.538461538461538
778435,8.294930875576036,9.171974522292993,8.080495356037153,10.220820189274448
778443,7.5,6.455696202531645,6.449511400651466,6.484149855907781
778405,9.836065573770492,12.073170731707316,7.669172932330827,11.803278688524589
778410,6.7105263157894735,6.0,7.1117166212534055,6.857142857142857
778411,5.7324840764331215,9.683544303797468,6.349693251533742,9.545454545454545
778412,8.693181818181818,12.681818181818182,7.023121387283236,9.767441860465116
778413,9.759036144578314,7.5,10.375335120643433,9.36
778414,11.004366812227074,8.081632653061224,11.162790697674417,8.960176991150442
778415,6.923076923076924,6.42857142857143,8.409090909090908,7.2544080604534
778416,8.425531914893616,6.428571428571429,8.247978436657682,6.289156626506024
778418,6.882352941176471,8.590909090909092,6.699029126213593,11.065573770491804
778424,4.137931034482759,9.908256880733946,7.341389728096677,11.221374045801527
778426,8.636363636363637,8.076923076923077,7.1506849315068495,10.144508670520231
778394,8.663101604278076,10.677966101694915,7.647058823529411,8.240963855421686
778395,11.506849315068495,7.777777777777778,11.395348837209301,8.95734597156398
778396,9.193548387096774,6.428571428571428,9.946091644204852,9.6
778397,7.5,5.88235294117647,7.441860465116279,4.770318021201414
778398,9.944751381215468,11.25,7.553956834532373,11.72872340425532
778400,9.152542372881356,11.363636363636363,6.941489361702128,9.542168674698795
778401,6.644295302013423,9.183673469387754,6.470588235294118,9.133663366336634
778402,9.095744680851066,9.72972972972973,8.895348837209303,10.571428571428571
778403,4.879518072289157,10.817307692307693,7.229916897506925,11.113801452784504
778404,7.844036697247706,7.826086956521738,6.845070422535211,10.490797546012269
778406,9.053254437869823,9.782608695652174,9.031141868512112,10.384615384615383
778407,9.183673469387756,6.9230769230769225,8.321167883211679,6.220302375809935
778408,8.221153846153847,6.521739130434783,8.402948402948402,6.9230769230769225
778409,6.882352941176471,7.65,7.168141592920354,10.245535714285715
778417,12.042253521126762,8.571428571428573,11.25,8.155339805825243
778376,6.490384615384616,6.545454545454546,7.400530503978779,5.406360424028269
778379,8.636363636363637,11.06951871657754,7.522388059701493,9.31764705882353
778380,8.571428571428573,6.8354430379746836,9.696132596685082,8.848314606741573
778381,12.857142857142858,7.795275590551181,11.627906976744185,8.498789346246975
778383,8.96103896103896,11.822033898305085,8.053691275167784,12.331730769230768
778385,8.456375838926174,9.642857142857142,6.06060606060606,9.57920792079208
778386,7.427184466019417,7.883211678832116,7.1506849315068495,9.940298507462687
778387,5.892857142857142,11.682692307692307,6.980609418282548,11.113801452784504
778388,6.923076923076923,10.416666666666666,7.078651685393258,9.361702127659575
778389,8.256880733944955,7.465437788018432,8.402948402948402,6.9230769230769225
778390,10.0,6.9230769230769225,8.519417475728154,5.934065934065934
778391,9.949748743718594,10.239520958083833,9.140625,10.746268656716419
778392,10.35,6.5,8.022284122562674,9.45205479452055
778393,8.64406779661017,7.346938775510203,8.813056379821958,9.714285714285714
778399,10.227272727272728,10.05586592178771,10.787671232876713,9.025787965616047
778371,7.431192660550458,10.883720930232558,7.170329670329671,10.0
778373,7.134146341463415,8.724489795918366,7.88135593220339,8.498789346246975
778377,5.88785046728972,9.782608695652174,6.978609625668449,9.737704918032787
778378,12.548076923076923,10.714285714285714,9.424083769633507,9.380281690140846
778382,10.90909090909091,9.553072625698325,10.132450331125828,9.283667621776505
778384,10.50761421319797,4.363636363636363,9.831932773109243,8.637770897832818
778356,7.074235807860262,7.9411764705882355,9.256017505470458,5.678233438485804
