game_pk,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10
778563,,,,
778564,5.4,0.0,5.4,0.0
778545,,,,
778546,1.8,,1.8,
778547,,,,
778551,,,,
778552,,3.6,,3.6
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,4.5,0.0,4.5,0.0
778541,4.5,13.5,4.5,13.5
778542,1.3235294117647058,12.0,1.3235294117647058,12.0
778543,10.8,4.5,10.8,4.5
778544,2.5714285714285716,3.0,2.5714285714285716,3.0
778548,3.75,9.310344827586206,3.75,9.310344827586206
778549,13.5,0.0,13.5,0.0
778550,9.0,0.0,9.0,0.0
778560,,,,
778520,0.7692307692307693,7.5,0.7692307692307693,7.5
778521,9.0,5.4,9.0,5.4
778528,2.25,3.0,2.25,3.0
778529,5.4,1.8,5.4,1.8
778530,1.8,0.0,1.8,0.0
778531,3.857142857142857,0.0,3.857142857142857,0.0
778532,6.067415730337078,4.5251396648044695,6.067415730337078,4.5251396648044695
778533,2.8421052631578947,7.826086956521738,2.8421052631578947,7.826086956521738
778534,3.0,22.5,3.0,22.5
778535,13.5,4.5,13.5,4.5
778536,7.714285714285714,3.4177215189873418,7.714285714285714,3.4177215189873418
778537,0.0,13.5,0.0,13.5
778538,2.307692307692308,6.0,2.307692307692308,6.0
778539,2.0454545454545454,7.627118644067796,2.0454545454545454,7.627118644067796
778540,9.0,2.25,9.0,2.25
778510,3.0,3.375,3.0,3.375
778513,5.5102040816326525,3.0,5.5102040816326525,3.0
778514,0.6122448979591837,6.75,0.6122448979591837,6.75
778515,5.294117647058823,4.974874371859297,5.294117647058823,4.974874371859297
778516,3.0405405405405403,0.0,3.0405405405405403,0.0
778517,1.2857142857142858,7.5,1.2857142857142858,7.5
778519,1.6167664670658684,4.909090909090909,1.6167664670658684,4.909090909090909
778522,5.142857142857143,2.5714285714285716,5.142857142857143,2.5714285714285716
778523,4.137931034482759,12.0,4.137931034482759,12.0
778524,1.5,5.217391304347826,1.5,5.217391304347826
778525,9.0,2.2881355932203387,9.0,2.2881355932203387
778526,16.875,6.75,16.875,6.75
778527,2.5714285714285716,11.25,2.5714285714285716,11.25
778496,4.21875,7.570093457943925,4.21875,7.570093457943925
778499,0.5389221556886228,2.2881355932203387,0.5389221556886228,2.2881355932203387
778500,2.3507462686567164,6.75,2.3507462686567164,6.75
778501,2.5,9.050279329608939,2.5,8.253275109170307
778502,4.954128440366972,7.2727272727272725,4.954128440366972,7.2727272727272725
778503,0.8181818181818182,6.428571428571429,0.8181818181818182,6.428571428571429
778504,12.214285714285714,5.142857142857143,12.214285714285714,5.142857142857143
778505,1.125,1.6513761467889907,1.125,1.6513761467889907
778506,2.7,4.576271186440677,2.7,4.576271186440677
778507,7.3125,13.211009174311926,7.3125,13.211009174311926
778508,3.0,4.5,3.0,4.5
778509,1.3170731707317074,0.0,1.3170731707317074,0.0
778511,3.6,2.872340425531915,3.6,2.872340425531915
778512,2.2784810126582276,0.0,2.2784810126582276,0.0
778485,0.43478260869565216,1.7307692307692308,0.43478260869565216,1.7307692307692308
778486,3.7499999999999996,6.8789808917197455,3.7499999999999996,6.8789808917197455
778487,2.6865671641791042,6.1875,2.3376623376623376,6.1875
778488,12.31578947368421,4.764705882352941,12.31578947368421,4.764705882352941
778489,3.75,2.5899280575539567,3.75,2.5899280575539567
778490,2.076923076923077,3.2335329341317367,2.076923076923077,3.2335329341317367
778491,6.157894736842105,11.007194244604316,6.157894736842105,11.007194244604316
778492,2.6666666666666665,5.69620253164557,2.6666666666666665,5.69620253164557
778493,2.769230769230769,4.308510638297872,2.769230769230769,4.308510638297872
778494,7.40506329113924,9.053254437869823,7.40506329113924,7.026022304832714
778495,1.6981132075471699,3.75,1.6981132075471699,3.75
778497,2.4705882352941178,1.3235294117647058,2.4705882352941178,1.3235294117647058
778498,5.25,3.7815126050420167,5.25,3.7815126050420167
778469,3.432203389830508,6.0,3.515625,6.0
778471,5.892857142857142,8.02547770700637,6.702127659574468,6.363636363636364
778472,2.1774193548387095,3.9375,2.0689655172413794,5.2105263157894735
778473,3.0143540669856463,3.7058823529411766,3.0143540669856463,3.7058823529411766
778474,4.821428571428571,2.903225806451613,4.821428571428571,2.903225806451613
778475,2.8125,2.2641509433962264,2.8125,2.2641509433962264
778476,0.0,1.945945945945946,0.3643724696356275,1.945945945945946
778477,9.831932773109243,4.522613065326634,9.831932773109243,4.522613065326634
778478,3.829787234042553,9.053254437869823,5.526315789473684,9.053254437869823
778479,2.25,3.1658291457286434,2.25,3.9473684210526314
778480,4.2,3.0288461538461537,4.2,3.7815126050420167
778481,1.8218623481781377,1.0843373493975903,2.135593220338983,1.0843373493975903
778482,3.6486486486486487,10.588235294117647,3.6486486486486487,10.588235294117647
778483,2.6086956521739126,2.155688622754491,2.6086956521739126,2.155688622754491
778484,4.628571428571429,4.782608695652174,4.628571428571429,4.782608695652174
778462,2.608695652173913,2.5,2.6582278481012658,2.7
