game_pk,home_bp_whip_rolling_5,away_bp_whip_rolling_5,home_bp_whip_rolling_10,away_bp_whip_rolling_10
778563,,,,
778564,2.2,0.0,2.2,0.0
778557,,,,
778556,,,,
778553,,,,
778555,,,,
778558,,,,
778559,,,,
778561,,,,
778545,,,,
778554,,,,
778562,,,,
778551,,,,
778546,0.9,,0.9,
778552,,1.9,,1.9
778547,,,,
778560,,,,
778549,2.0,2.0,2.0,2.0
778548,1.1538550296540742,3.374957813027337,1.1538550296540742,3.374957813027337
778550,2.0,0.5,2.0,0.5
778518,3.0,0.900009000090001,3.0,0.900009000090001
778543,2.0,1.7142857142857142,2.0,1.7142857142857142
778541,1.0,2.5,1.0,2.5
778542,0.7894778393570492,1.6666666666666667,0.7894778393570492,1.6666666666666667
778544,1.0714285714285714,0.3333333333333333,1.0714285714285714,0.3333333333333333
778538,1.363623967054845,2.0,1.363623967054845,2.0
778534,1.3333333333333333,3.0,1.3333333333333333,3.0
778528,1.25,1.3333333333333333,1.25,1.3333333333333333
778536,1.5714285714285714,1.956513232551163,1.5714285714285714,1.956513232551163
778535,3.25,1.0,3.25,1.0
778529,1.2,0.8,1.2,0.8
778540,1.0,0.75,1.0,0.75
778537,1.0,3.0,1.0,3.0
778539,1.08000432001728,2.2941041523285155,1.08000432001728,2.2941041523285155
778531,1.4285714285714286,0.4736867036142296,1.4285714285714286,0.4736867036142296
778530,1.4,0.8181855372069874,1.4,0.8181855372069874
778520,0.7272727272727273,1.0,0.7272727272727273,1.0
778532,1.1538417159934,1.6415063367804967,1.1538417159934,1.6415063367804967
778533,1.2105263157894737,0.900009000090001,1.2105263157894737,0.900009000090001
778521,2.3333333333333335,1.8,2.3333333333333335,1.8
778526,3.25,1.625,3.25,1.625
778523,1.375,2.111111111111111,1.375,2.111111111111111
778525,1.6153846153846154,1.8529302768807243,1.6153846153846154,1.8529302768807243
778522,1.0,0.7142857142857143,1.0,0.7142857142857143
778524,0.8333333333333334,1.799991000045,0.8333333333333334,1.799991000045
778519,1.25,2.0,1.25,2.0
778510,0.8888888888888888,1.375,0.8888888888888888,1.375
778527,1.2857142857142858,2.0,1.2857142857142858,2.0
778517,0.8571428571428571,2.3333333333333335,0.8571428571428571,2.3333333333333335
778516,1.1860492698820229,0.5,1.1860492698820229,0.5
778515,1.0285684898043148,1.8305053720247932,1.0285684898043148,1.8305053720247932
778513,1.821435076553845,1.4444444444444444,1.821435076553845,1.4444444444444444
778514,0.7142857142857143,1.25,0.7142857142857143,1.25
778506,1.1,1.5882399654116628,1.1,1.5882399654116628
778504,2.0714285714285716,1.2142857142857142,2.0714285714285716,1.2142857142857142
778512,1.5652105860409304,0.4166666666666667,1.5652105860409304,0.4166666666666667
778502,1.4999953125146483,1.9655104637570218,1.4999953125146483,1.9655104637570218
778511,1.1,1.2545477355413372,1.1,1.2545477355413372
778509,1.2413814506576735,0.9310409037303706,1.2413814506576735,0.9310409037303706
778508,1.0,1.8571428571428572,1.0,1.8571428571428572
778507,1.375,2.7187415039328,1.375,2.7187415039328
778503,0.6363636363636364,1.8571428571428572,0.6363636363636364,1.8571428571428572
778505,1.125,0.7499976562573242,1.125,0.7499976562573242
778499,0.6875,1.4117688581437005,0.6875,1.4117688581437005
778496,1.5405447041748763,1.000010000100001,1.5405447041748763,1.000010000100001
778501,1.2580685744147562,2.320750338206909,1.2580685744147562,2.294114273361363
778500,0.9873430219531923,1.3333333333333333,0.9873430219531923,1.3333333333333333
778498,1.4166666666666667,1.3714305306150436,1.4166666666666667,1.3714305306150436
778497,1.191782454496513,1.105268975099869,1.191782454496513,1.105268975099869
778493,0.8461538461538461,1.7454577190140343,0.8461538461538461,1.7454577190140343
778492,1.0540569028564941,1.2391250472824031,1.0540569028564941,1.2391250472824031
778491,1.3157894736842106,2.63413991673191,1.3157894736842106,2.63413991673191
778490,1.0769230769230769,1.3125,1.0769230769230769,1.3125
778488,2.1578947368421053,1.2352941176470589,2.1578947368421053,1.2352941176470589
778495,0.7659558171152828,1.75,0.7659558171152828,1.75
778489,1.4166666666666667,0.8048760856680837,1.4166666666666667,0.8048760856680837
778485,0.7,1.3636425620116457,0.7,1.3636425620116457
778486,1.5967793444494982,1.1333408889392595,1.5967793444494982,1.1333408889392595
778494,2.0217435255294034,2.21999556000888,2.0217435255294034,2.0999973750032814
778487,1.1012672167939452,1.4375,0.9560450066428644,1.4375
778480,1.3333333333333333,1.2786906208042963,1.3333333333333333,1.3714305306150436
778479,0.8125,1.4237336397750502,0.8125,1.6567188906252097
778477,1.8428597755139648,1.1694895432380623,1.8428597755139648,1.1694895432380623
778473,0.8709663371510692,1.6470588235294117,0.8709663371510692,1.6470588235294117
778474,1.4693907538586812,1.1904761904761905,1.4693907538586812,1.1904761904761905
778478,1.0909110743837716,2.3999952000096,1.2537332145271858,2.3999952000096
