game_pk,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
778563,,
778564,7.2,0.0
778545,,
778546,1.8,
778547,,
778551,,
778552,,9.0
778553,,
778554,,
778555,,
778556,,
778557,,
778558,,
778559,,
778561,,
778562,,
778518,18.0,2.368421052631579
778541,4.5,13.5
778542,2.6470588235294117,3.0
778543,3.6,7.714285714285714
778544,2.5714285714285716,0.0
778548,5.625,15.517241379310345
778549,6.75,12.0
778550,9.0,0.0
778560,,
778520,3.076923076923077,1.5
778521,6.0,9.0
778528,2.25,6.0
778529,1.8,1.8
778530,7.2,4.615384615384616
778531,5.142857142857143,0.0
778532,2.0224719101123596,6.033519553072626
778533,3.3157894736842106,0.0
778534,6.0,9.0
778535,13.5,2.25
778536,7.714285714285714,6.8354430379746836
778537,6.0,4.5
778538,4.615384615384616,9.0
778539,4.090909090909091,10.677966101694915
778540,2.25,2.25
778510,2.0,2.25
778513,3.6734693877551017,7.0
778514,3.0612244897959187,2.25
778515,1.5126050420168067,5.8793969849246235
778516,3.6486486486486487,0.8411214953271029
778517,1.2857142857142858,10.5
778519,5.389221556886228,8.181818181818182
778522,1.2857142857142858,1.2857142857142858
778523,2.0689655172413794,6.0
778524,3.0,5.217391304347826
778525,4.846153846153846,6.864406779661016
778526,13.5,3.375
778527,3.857142857142857,9.0
778496,3.515625,0.8411214953271029
778499,3.2335329341317367,3.0508474576271185
778500,2.3507462686567164,3.75
778501,5.833333333333333,7.5418994413407825
778502,2.477064220183486,5.454545454545454
778503,0.8181818181818182,7.714285714285714
778504,5.785714285714286,2.5714285714285716
778505,6.75,1.6513761467889907
778506,2.7,6.864406779661016
778507,3.9375,11.559633027522935
778508,2.0,7.071428571428571
778509,6.146341463414634,5.09433962264151
778511,1.8,4.308510638297872
778512,5.1265822784810124,0.7086614173228347
778485,2.608695652173913,2.8846153846153846
778486,3.333333333333333,1.7197452229299364
778487,2.6865671641791042,3.9375
778488,6.157894736842105,2.6470588235294117
778489,6.0,1.9424460431654675
778490,2.769230769230769,5.389221556886228
778491,3.3157894736842106,10.359712230215827
778492,2.0,1.7088607594936709
778493,1.3846153846153846,6.702127659574468
