game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
778563,,,,
778564,1.75,,1.75,
778557,,,,
778556,,,,
778553,,,,
778555,,,,
778558,,,,
778559,,,,
778561,,,,
778545,,,,
778554,,,,
778562,,,,
778551,,,,
778546,7.0,,7.0,
778552,,1.1,,1.1
778547,,,,
778560,,,,
778549,1.0,0.25,1.0,0.25
778548,1.3333333333333333,0.8,1.3333333333333333,0.8
778550,1.3333333333333333,,1.3333333333333333,
778518,0.75,3.0,0.75,3.0
778543,3.0,1.0833333333333333,3.0,1.0833333333333333
778541,2.0,0.3333333333333333,2.0,0.3333333333333333
778542,3.5,2.0,3.5,2.0
778544,5.25,,5.25,
778538,3.0,0.6666666666666666,3.0,0.6666666666666666
778534,3.5,0.5,3.5,0.5
778528,5.0,1.0,5.0,1.0
778536,1.3333333333333333,1.1666666666666667,1.3333333333333333,1.1666666666666667
778535,1.0,5.0,1.0,5.0
778529,2.0,7.0,2.0,7.0
778540,9.0,3.0,9.0,3.0
778537,2.0,2.0,2.0,2.0
778539,1.5,1.0,1.5,1.0
778531,1.75,,1.75,
778530,1.75,1.75,1.75,1.75
778520,3.25,4.0,3.25,4.0
778532,5.0,1.5833333333333333,5.0,1.5833333333333333
778533,3.857142857142857,,3.857142857142857,
778521,0.75,1.0,0.75,1.0
778526,0.75,3.0,0.75,3.0
778523,5.5,0.8333333333333334,5.5,0.8333333333333334
778525,2.2857142857142856,1.6666666666666667,2.2857142857142856,1.6666666666666667
778522,9.0,7.0,9.0,7.0
778524,3.0,1.25,3.0,1.25
778519,1.2,1.2,1.2,1.2
778510,1.5,4.5,1.5,4.5
778527,3.0,0.75,3.0,0.75
778517,6.0,1.0,6.0,1.0
778516,2.5,6.0,2.5,6.0
778515,7.0,1.6923076923076923,7.0,1.6923076923076923
778513,1.5,1.8571428571428572,1.5,1.8571428571428572
778514,3.0,3.5,3.0,3.5
778506,4.333333333333333,0.8888888888888888,4.333333333333333,0.8888888888888888
778504,1.0,1.75,1.0,1.75
778512,2.2222222222222223,7.0,2.2222222222222223,7.0
778502,4.0,1.1666666666666667,4.0,1.1666666666666667
778511,5.5,2.2222222222222223,5.5,2.2222222222222223
778509,1.0,1.5,1.0,1.5
778508,4.5,1.3636363636363635,4.5,1.3636363636363635
778507,2.857142857142857,0.7142857142857143,2.857142857142857,0.7142857142857143
778503,8.0,0.8333333333333334,8.0,0.8333333333333334
778505,1.8333333333333333,4.0,1.8333333333333333,4.0
778499,3.1666666666666665,3.25,3.1666666666666665,3.25
778496,1.8,13.0,1.8,13.0
