Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,33,17,0.66,W 2,5.3,3.6,1.7,-0.1,1.6,33-17,0.0,10-2,8-2,7-6,8-7,17-5,16-12,2-2,9-5,24-13,9-4,17-14,16-3,7-3,15-5,21-9
2.0,Philadelphia Phillies,31,18,0.633,W 6,4.9,4.2,0.8,-0.3,0.5,28-21,3.0,7-8,7-5,12-4,5-1,17-8,14-10,3-4,9-3,25-11,6-7,13-15,18-3,8-2,15-5,20-10
3.0,Los Angeles Dodgers,31,19,0.62,W 2,5.7,4.4,1.2,-0.2,1.0,31-19,0.0,12-6,5-5,7-3,7-5,19-8,12-11,3-2,8-7,24-11,7-8,18-11,13-8,5-5,11-9,17-13
4.0,New York Yankees,29,19,0.604,W 3,5.7,3.8,2.0,0.0,1.9,33-15,-4.0,7-6,5-4,6-2,11-7,17-9,12-10,1-3,6-10,24-14,5-5,17-12,12-7,7-3,12-8,18-12
5.0,Chicago Cubs,30,20,0.6,W 2,5.9,4.2,1.7,0.0,1.7,32-18,-2.0,6-6,4-2,12-11,8-1,15-10,15-10,2-3,7-4,24-15,6-5,16-16,14-4,7-3,12-8,18-12
6.0,New York Mets,30,20,0.6,W 1,4.4,3.2,1.1,0.1,1.2,32-18,-2.0,9-4,9-4,3-3,9-9,17-5,13-15,2-1,11-8,24-15,6-5,19-12,11-8,5-5,9-11,17-13
7.0,Seattle Mariners,28,20,0.583,W 1,4.7,4.2,0.6,-0.1,0.5,27-21,1.0,5-7,3-3,13-5,7-5,13-11,15-9,3-3,10-6,19-16,9-4,14-13,14-7,6-4,12-8,19-11
8.0,San Francisco Giants,29,21,0.58,L 1,4.6,3.8,0.8,0.0,0.9,30-20,-1.0,2-2,8-5,4-5,15-9,17-9,12-12,4-1,10-8,25-9,4-12,16-14,13-7,5-5,10-10,16-14
9.0,San Diego Padres,27,20,0.574,L 5,4.2,3.8,0.4,-0.1,0.4,26-21,1.0,4-0,6-3,7-1,10-16,16-8,11-12,0-2,8-4,19-14,8-6,15-14,12-6,3-7,10-10,13-17
10.0,Minnesota Twins,27,22,0.551,L 1,4.1,3.4,0.7,-0.1,0.5,28-21,-1.0,8-1,8-11,4-2,7-8,16-7,11-15,2-2,6-6,23-19,4-3,10-18,17-4,8-2,14-6,20-10
