gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
80,80,587,858,462,158,9,115,638,301,11,762,45,.272,2803,.348,.458,.806,12,72,.857,43,12486,5.42,711.0,32,48,16,32,37,16,428,1.50,3192,2133,80,0,4,7809,.630,45,5,15,4,1283,0.68,.400,17.56,80,2.12,8.08,3.81,9.65,5.85,1.46,1,9,33,Athletics
79,79,697,754,318,141,13,67,586,240,11,605,28,.232,2607,.301,.373,.674,15,63,.808,57,11233,3.81,701.1,31,48,16,30,39,14,297,1.20,2910,2104,79,1,7,7240,.640,28,1,23,3,973,0.92,.392,16.02,78,2.44,7.52,3.08,7.76,4.08,0.86,0,9,26,Pittsburgh Pirates
77,77,571,762,300,105,8,77,662,257,8,575,32,.227,2536,.303,.366,.669,11,48,.814,48,11090,3.58,681.2,42,35,25,34,50,9,271,1.22,2861,2045,77,2,12,7048,.640,32,3,20,3,927,0.75,.545,16.27,75,2.58,8.74,3.39,7.59,3.96,1.02,2,10,24,San Diego Padres
76,76,650,724,335,114,10,95,619,232,14,653,30,.250,2612,.316,.410,.726,14,54,.794,60,11175,3.98,687.0,39,37,19,31,38,12,304,1.29,2909,2061,76,0,3,7227,.650,30,1,23,2,1072,0.90,.513,16.27,76,2.67,8.11,3.04,8.55,4.39,1.24,1,13,21,Seattle Mariners
78,78,707,627,286,112,15,62,671,242,9,599,24,.233,2574,.302,.360,.662,24,44,.647,43,10976,3.26,689.2,44,34,23,35,57,12,250,1.22,2871,2069,78,0,4,7068,.640,24,2,25,7,927,1.13,.564,15.91,78,2.77,8.76,3.16,7.82,3.73,0.81,1,10,20,San Francisco Giants
78,78,750,702,332,132,18,64,569,211,9,664,24,.251,2647,.309,.387,.696,15,63,.808,48,11035,3.93,694.2,42,36,19,31,46,12,303,1.26,2923,2084,78,1,8,7116,.640,24,2,26,3,1024,1.07,.538,15.89,77,2.70,7.37,2.73,8.60,4.30,0.83,3,12,26,St. Louis Cardinals
78,78,679,697,301,97,4,103,634,214,6,613,33,.235,2606,.300,.394,.694,21,69,.767,73,10935,3.59,699.1,43,35,17,27,46,10,279,1.18,2873,2098,78,1,6,7125,.650,33,1,10,5,1027,0.97,.551,15.64,77,2.96,8.16,2.75,7.89,3.87,1.33,2,3,15,Tampa Bay Rays
78,78,663,716,266,101,7,66,605,214,7,569,20,.225,2528,.289,.349,.638,14,56,.800,51,10700,3.23,682.0,38,40,21,33,50,12,245,1.15,2788,2046,78,2,7,6934,.650,20,3,26,4,882,0.93,.487,15.69,76,2.83,7.98,2.82,7.51,3.51,0.87,1,8,17,Texas Rangers
77,77,569,728,340,108,8,103,690,241,8,611,38,.237,2576,.310,.405,.715,22,41,.651,41,11240,4.17,685.2,41,36,23,35,40,12,318,1.24,2877,2057,77,0,4,7205,.640,38,5,16,5,1044,0.78,.532,16.39,77,2.86,9.06,3.16,8.02,4.46,1.35,0,3,19,Toronto Blue Jays
77,77,570,751,338,127,3,79,661,211,5,642,34,.248,2589,.310,.391,.701,22,59,.728,34,11178,4.17,675.0,37,40,14,27,50,13,313,1.26,2869,2025,77,1,5,7267,.650,34,7,19,7,1012,0.76,.481,16.56,76,3.13,8.81,2.81,8.56,4.51,1.05,0,9,26,Minnesota Twins
