gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
155,155,1297,1455,800,238,22,211,1218,599,44,1373,47,.261,5267,.338,.434,.772,26,114,.814,.186,137,23067,4.87,1369.1,70,85,36,70,79,34,741,1.44,5991,4108,155,0,8,14653,.640,47,10,60,7,2288,0.89,.452,16.85,155,2.03,8.01,3.94,9.02,5.26,1.39,2,18,58,Los Angeles Angels
155,155,1361,1447,742,306,27,184,1227,477,20,1335,56,.251,5314,.318,.423,.741,24,105,.814,.186,108,22768,4.45,1382.0,78,77,42,71,89,29,683,1.31,5905,4146,155,0,9,14430,.630,56,8,30,9,2247,0.94,.503,16.47,155,2.57,7.99,3.11,8.69,4.83,1.20,2,20,36,Arizona Diamondbacks
155,155,1303,1394,753,240,26,205,1285,502,17,1373,45,.259,5294,.326,.431,.757,27,101,.789,.211,105,22839,4.60,1371.2,73,82,38,58,105,20,701,1.37,5905,4115,155,1,6,14651,.640,45,8,60,12,2280,0.93,.471,16.65,154,2.56,8.43,3.29,9.01,4.94,1.35,3,20,41,Baltimore Orioles
155,155,1359,1365,653,209,8,159,1302,506,17,1285,71,.244,5256,.317,.378,.695,42,122,.744,.256,109,22624,3.74,1387.1,85,70,43,71,82,28,577,1.29,5897,4162,155,2,11,14578,.640,71,5,53,5,1987,1.00,.548,16.31,153,2.57,8.45,3.28,8.34,4.24,1.03,9,14,40,Boston Red Sox
155,155,1216,1558,624,214,22,193,1202,394,9,1236,52,.240,5151,.298,.402,.700,34,75,.688,.312,101,21664,3.83,1373.0,88,67,42,61,107,19,585,1.19,5660,4119,155,0,14,14198,.660,52,1,29,25,2073,0.78,.568,15.78,155,3.05,7.88,2.58,8.10,4.09,1.27,2,20,41,Chicago Cubs
155,155,1205,1504,663,268,18,187,1313,474,13,1218,61,.236,5169,.305,.403,.708,34,110,.764,.236,80,22739,3.94,1371.0,79,76,37,59,97,22,600,1.23,5779,4113,155,4,8,14608,.640,61,2,44,9,2083,0.80,.510,16.59,151,2.77,8.62,3.11,8.00,4.35,1.23,4,26,45,Cincinnati Reds
155,155,1233,1455,619,235,18,160,1303,513,19,1237,50,.239,5172,.312,.384,.696,40,105,.724,.276,97,22784,3.69,1379.0,84,71,46,67,108,21,565,1.27,5792,4137,155,2,16,14541,.640,50,9,43,16,1988,0.85,.542,16.52,153,2.54,8.50,3.35,8.07,4.04,1.04,1,18,38,Cleveland Guardians
155,155,1377,1486,987,320,30,239,1034,528,18,1621,66,.298,5447,.363,.499,.862,30,129,.811,.189,128,23005,6.02,1350.1,42,113,28,52,56,24,903,1.59,6117,4051,155,0,3,14535,.630,66,7,59,7,2718,0.93,.271,17.04,155,1.96,6.89,3.52,10.80,6.58,1.59,5,14,57,Colorado Rockies
155,155,1325,1365,664,230,19,183,1311,464,14,1254,59,.241,5200,.309,.398,.707,36,79,.687,.313,110,22362,3.97,1377.0,85,70,38,59,71,21,607,1.25,5782,4131,155,1,17,14411,.640,59,2,49,10,2071,0.97,.548,16.24,154,2.83,8.57,3.03,8.20,4.34,1.20,4,21,34,Detroit Tigers
155,155,1181,1410,635,230,16,190,1447,487,7,1203,58,.232,5179,.303,.393,.696,28,156,.848,.152,85,22603,3.85,1382.0,84,71,45,61,88,16,591,1.22,5790,4146,155,3,12,14405,.640,58,4,37,9,2035,0.84,.542,16.36,152,2.97,9.42,3.17,7.83,4.14,1.24,4,22,40,Houston Astros
155,155,1309,1471,610,244,25,164,1204,460,17,1257,44,.242,5199,.307,.393,.700,22,45,.672,.328,112,22301,3.74,1375.0,78,77,46,66,82,20,571,1.25,5746,4125,155,0,10,14273,.640,44,2,50,15,2043,0.89,.503,16.22,155,2.62,7.88,3.01,8.23,3.99,1.07,1,16,25,Kansas City Royals
155,155,1228,1357,665,241,24,173,1423,544,28,1201,60,.233,5145,.312,.390,.702,38,103,.730,.270,83,22914,4.03,1376.1,88,67,42,66,120,24,616,1.27,5813,4129,155,0,9,14530,.630,60,5,69,11,2009,0.90,.568,16.65,155,2.62,9.31,3.56,7.85,4.35,1.13,0,19,45,Los Angeles Dodgers
155,155,1305,1470,857,260,29,199,1185,540,6,1425,86,.268,5311,.342,.441,.783,38,100,.725,.275,112,23352,5.34,1362.1,63,92,34,53,72,19,809,1.44,6013,4087,155,0,9,14796,.630,86,4,64,7,2340,0.89,.406,17.14,155,2.19,7.83,3.57,9.41,5.66,1.31,2,19,55,Washington Nationals
155,155,1370,1298,680,245,23,142,1327,539,6,1282,76,.246,5219,.323,.383,.706,37,69,.651,.349,97,23179,3.99,1372.0,80,75,38,65,95,27,609,1.33,5899,4116,155,1,8,14726,.640,76,4,60,7,1999,1.06,.516,16.89,154,2.46,8.70,3.54,8.41,4.46,0.93,7,15,43,New York Mets
