Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,28,30.3,5.19,33,34,.493,4.82,67,67,67,0,5,0,21,598.0,577,348,320,88,230,10,570,30,7,14,2586,86,4.39,1.349,8.7,1.3,3.5,8.6,2.48,455
Athletics,28,28.8,5.99,26,43,.377,5.62,69,69,69,0,3,0,15,612.0,661,413,382,103,271,10,547,37,3,15,2768,75,4.98,1.523,9.7,1.5,4.0,8.0,2.02,528
Atlanta Braves,25,29.6,3.95,28,38,.424,3.76,66,66,66,0,3,0,10,582.1,500,261,243,74,218,10,586,27,4,19,2428,109,3.98,1.233,7.7,1.1,3.4,9.1,2.69,430
Baltimore Orioles,28,31.2,5.23,26,39,.400,5.08,65,65,65,0,1,0,15,568.1,602,340,321,92,215,3,523,20,3,25,2488,76,4.58,1.438,9.5,1.5,3.4,8.3,2.43,447
Boston Red Sox,23,29.7,4.70,33,36,.478,4.10,69,69,69,0,4,0,16,621.1,603,324,283,69,232,10,577,30,3,15,2671,102,3.93,1.344,8.7,1.0,3.4,8.4,2.49,500
Chicago Cubs,25,30.9,3.97,41,26,.612,3.65,67,67,67,0,6,0,15,599.2,557,266,243,71,188,6,518,22,0,13,2499,104,3.94,1.242,8.4,1.1,2.8,7.8,2.76,445
Chicago White Sox,25,27.6,4.27,23,44,.343,4.09,67,67,67,0,4,0,7,578.2,552,286,263,72,243,10,486,41,2,16,2515,102,4.48,1.374,8.6,1.1,3.8,7.6,2.00,497
Cincinnati Reds,22,29.4,3.93,35,33,.515,3.66,68,68,67,1,4,1,19,603.0,509,267,245,76,204,5,541,25,2,21,2501,121,4.06,1.182,7.6,1.1,3.0,8.1,2.65,432
Cleveland Guardians,23,27.5,4.20,34,32,.515,3.92,66,66,66,0,8,0,19,582.2,559,277,254,71,240,7,562,18,2,21,2498,104,4.06,1.371,8.6,1.1,3.7,8.7,2.34,478
Colorado Rockies,23,28.0,6.18,12,54,.182,5.54,66,66,66,0,0,0,10,573.1,671,408,353,86,229,8,441,22,2,30,2582,83,4.80,1.570,10.5,1.4,3.6,6.9,1.93,461
Detroit Tigers,21,28.0,3.47,44,24,.647,3.15,68,68,67,1,7,1,22,605.1,508,236,212,64,190,6,579,30,1,14,2490,128,3.63,1.153,7.6,1.0,2.8,8.6,3.05,445
Houston Astros,23,29.1,3.67,36,30,.545,3.53,66,66,63,3,6,0,19,581.1,468,242,228,63,210,3,636,22,1,15,2400,116,3.49,1.166,7.2,1.0,3.3,9.8,3.03,419
Kansas City Royals,20,30.0,3.66,34,33,.507,3.41,67,67,67,0,7,0,22,596.2,528,245,226,66,194,9,547,19,2,29,2476,122,3.75,1.210,8.0,1.0,2.9,8.3,2.82,452
Los Angeles Angels,27,29.9,5.00,32,34,.485,4.77,66,66,66,0,2,0,17,581.1,601,330,308,84,267,18,494,22,5,28,2562,87,4.74,1.493,9.3,1.3,4.1,7.6,1.85,493
Los Angeles Dodgers,30,29.4,4.57,40,28,.588,4.21,68,68,68,0,3,0,20,607.0,560,311,284,86,241,13,607,29,1,31,2588,93,4.25,1.320,8.3,1.3,3.6,9.0,2.52,468
Miami Marlins,22,27.6,5.42,25,40,.385,5.07,65,65,65,0,4,0,12,577.0,589,352,325,80,231,8,515,24,4,20,2529,86,4.42,1.421,9.2,1.2,3.6,8.0,2.23,457
Milwaukee Brewers,26,28.5,4.07,36,32,.529,3.83,68,68,68,0,5,0,16,602.1,542,277,256,71,245,12,557,22,5,15,2564,104,4.09,1.307,8.1,1.1,3.7,8.3,2.27,487
Minnesota Twins,21,28.7,3.86,35,31,.530,3.67,66,66,66,0,5,0,14,581.0,525,255,237,66,168,4,579,31,6,14,2432,114,3.59,1.193,8.1,1.0,2.6,9.0,3.45,442
New York Mets,26,30.5,3.30,43,24,.642,2.86,67,67,67,0,5,0,21,598.1,502,221,190,48,237,4,601,26,3,26,2507,132,3.43,1.235,7.6,0.7,3.6,9.0,2.54,502
