gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
110,110,942,995,545,227,17,140,908,346,16,960,49,.255,3770,.324,.435,.759,19,74,.796,76,16095,4.60,975.2,51,59,29,47,54,18,499,1.34,4201,2927,110,0,7,10203,.630,49,8,21,9,1641,0.95,.464,16.50,110,2.62,8.38,3.19,8.86,5.03,1.29,1,13,22,Arizona Diamondbacks
110,110,924,986,550,184,18,153,897,363,10,996,37,.265,3761,.333,.445,.778,17,80,.825,68,16214,4.86,966.1,50,60,26,40,76,14,522,1.41,4205,2899,110,1,4,10370,.640,37,4,44,9,1675,0.94,.455,16.78,109,2.47,8.35,3.38,9.28,5.12,1.42,2,13,29,Baltimore Orioles
111,111,974,984,478,140,4,113,922,366,13,922,49,.245,3760,.318,.375,.693,33,92,.736,81,16239,3.74,995.0,60,51,30,52,61,22,413,1.29,4225,2985,111,2,7,10415,.640,49,5,31,2,1409,0.99,.541,16.32,109,2.52,8.34,3.31,8.34,4.32,1.02,8,11,31,Boston Red Sox
109,109,854,1136,457,151,13,141,812,289,8,904,35,.247,3663,.306,.411,.717,26,55,.679,78,15377,3.93,969.2,64,45,26,37,71,11,423,1.23,4032,2909,109,0,13,10064,.650,35,0,20,15,1504,0.75,.587,15.86,109,2.81,7.54,2.68,8.39,4.24,1.31,2,13,30,Chicago Cubs
111,111,839,1123,466,196,10,122,921,352,8,869,45,.235,3702,.307,.392,.699,24,84,.778,56,16307,3.89,981.2,58,53,27,41,70,14,424,1.24,4151,2945,111,3,6,10459,.640,45,2,26,8,1451,0.75,.523,16.61,108,2.62,8.44,3.23,7.97,4.27,1.12,2,21,29,Cincinnati Reds
109,109,862,1028,455,164,12,119,913,385,15,881,37,.242,3638,.318,.392,.710,30,78,.722,67,16137,3.86,969.2,55,54,30,45,77,15,416,1.31,4107,2909,109,1,10,10270,.640,37,6,32,12,1426,0.84,.505,16.64,108,2.37,8.47,3.57,8.18,4.22,1.10,1,14,32,Cleveland Guardians
109,109,1002,1021,681,225,24,150,717,383,13,1135,36,.297,3822,.363,.486,.849,25,93,.788,98,16112,5.74,951.0,29,80,20,39,44,19,607,1.60,4297,2853,109,0,1,10156,.630,36,6,49,6,1858,0.98,.266,16.94,109,1.87,6.79,3.62,10.74,6.44,1.42,3,12,41,Colorado Rockies
111,111,937,977,456,162,13,116,950,320,11,896,42,.241,3718,.306,.385,.691,25,61,.709,74,15996,3.76,983.1,64,47,28,44,53,16,411,1.24,4124,2950,111,1,10,10370,.650,42,1,30,7,1432,0.96,.577,16.27,110,2.97,8.69,2.93,8.20,4.17,1.06,2,12,30,Detroit Tigers
110,110,814,987,426,177,10,126,1064,327,6,836,43,.229,3655,.298,.386,.684,16,115,.878,59,15901,3.66,980.0,62,48,34,46,68,12,399,1.19,4074,2940,110,3,9,10192,.640,43,1,27,6,1411,0.82,.564,16.23,107,3.25,9.77,3.00,7.68,3.91,1.16,3,19,27,Houston Astros
110,110,924,1044,414,173,17,114,886,332,15,868,30,.235,3689,.302,.384,.686,17,30,.638,75,15739,3.53,979.1,55,55,31,45,55,14,384,1.23,4085,2938,110,0,9,10101,.640,30,2,36,7,1417,0.89,.500,16.07,110,2.67,8.14,3.05,7.98,3.80,1.05,1,13,20,Kansas City Royals
110,110,894,988,501,179,23,131,966,386,19,902,49,.243,3707,.320,.410,.730,27,81,.750,66,16383,4.20,980.1,64,46,34,50,79,16,458,1.31,4185,2941,110,0,4,10380,.630,49,3,45,9,1520,0.90,.582,16.71,110,2.50,8.87,3.54,8.28,4.60,1.20,0,11,32,Los Angeles Dodgers
109,109,897,1066,589,179,24,130,822,360,4,997,67,.267,3730,.340,.433,.773,31,74,.705,70,16265,5.22,957.1,44,65,21,35,45,14,555,1.42,4209,2872,109,0,6,10361,.640,67,3,50,4,1614,0.84,.404,16.99,109,2.28,7.73,3.38,9.37,5.54,1.22,0,17,35,Washington Nationals
110,110,967,932,434,165,15,95,939,398,5,882,50,.239,3683,.320,.370,.690,29,49,.628,72,16512,3.57,976.0,62,48,34,52,72,18,387,1.31,4171,2928,110,1,7,10406,.630,50,4,42,5,1362,1.04,.564,16.92,109,2.36,8.66,3.67,8.13,4.00,0.88,3,10,27,New York Mets
