Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,29,30.3,5.15,36,35,.507,4.77,71,71,71,0,5,0,22,634.0,615,366,336,92,241,11,599,30,7,14,2737,87,4.35,1.350,8.7,1.3,3.4,8.5,2.49,480
Athletics,28,28.8,5.82,29,44,.397,5.48,73,73,73,0,4,0,16,647.0,690,425,394,104,278,10,580,40,5,15,2908,76,4.84,1.496,9.6,1.4,3.9,8.1,2.09,551
Atlanta Braves,26,29.5,3.97,31,39,.443,3.76,70,70,69,1,3,0,10,618.1,532,278,258,77,228,10,638,31,5,19,2577,110,3.88,1.229,7.7,1.1,3.3,9.3,2.80,454
Baltimore Orioles,28,31.3,5.03,30,40,.429,4.89,70,70,70,0,2,0,17,613.1,635,352,333,98,227,3,574,22,3,26,2665,79,4.50,1.405,9.3,1.4,3.3,8.4,2.53,477
Boston Red Sox,23,29.7,4.53,37,36,.507,3.96,73,73,73,0,5,0,19,658.1,626,331,290,71,241,10,614,32,3,15,2810,105,3.85,1.317,8.6,1.0,3.3,8.4,2.55,522
Chicago Cubs,25,30.9,3.89,44,28,.611,3.57,72,72,72,0,6,0,17,645.2,586,280,256,74,202,6,556,23,0,13,2674,107,3.89,1.220,8.2,1.0,2.8,7.8,2.75,470
Chicago White Sox,27,27.7,4.31,23,49,.319,4.13,72,72,72,0,4,0,7,621.1,603,310,285,75,265,12,521,43,2,17,2713,101,4.45,1.397,8.7,1.1,3.8,7.5,1.97,545
Cincinnati Reds,22,29.5,4.08,37,35,.514,3.84,72,72,71,1,4,1,19,637.0,551,294,272,84,217,6,571,29,2,21,2659,116,4.15,1.206,7.8,1.2,3.1,8.1,2.63,461
Cleveland Guardians,23,27.4,4.23,35,35,.500,3.99,70,70,70,0,8,0,19,616.1,592,296,273,76,257,9,586,23,3,22,2652,102,4.14,1.378,8.6,1.1,3.8,8.6,2.28,512
Colorado Rockies,24,28.1,6.23,14,57,.197,5.62,71,71,71,0,0,0,10,616.1,723,442,385,91,250,8,481,22,2,34,2777,81,4.76,1.579,10.6,1.3,3.7,7.0,1.92,493
Detroit Tigers,23,28.1,3.71,46,27,.630,3.35,73,73,72,1,7,1,23,649.1,563,271,242,74,208,6,619,30,1,18,2692,120,3.75,1.187,7.8,1.0,2.9,8.6,2.98,480
Houston Astros,23,29.1,3.56,41,30,.577,3.43,71,71,68,3,6,0,20,627.1,505,253,239,69,215,3,701,25,1,16,2579,119,3.42,1.148,7.2,1.0,3.1,10.1,3.26,450
Kansas City Royals,20,30.0,3.68,34,38,.472,3.44,72,72,72,0,7,0,22,641.2,567,265,245,73,212,9,583,20,2,29,2665,120,3.82,1.214,8.0,1.0,3.0,8.2,2.75,486
Los Angeles Angels,28,30.0,5.06,33,37,.471,4.82,70,70,70,0,2,0,18,614.1,640,354,329,93,278,20,527,23,5,29,2708,86,4.80,1.494,9.4,1.4,4.1,7.7,1.90,516
Los Angeles Dodgers,30,29.5,4.56,43,29,.597,4.19,72,72,72,0,3,0,22,643.0,587,328,299,91,260,14,639,31,1,31,2742,95,4.28,1.317,8.2,1.3,3.6,8.9,2.46,497
Miami Marlins,23,27.5,5.36,28,41,.406,5.03,69,69,69,0,4,0,15,612.0,625,370,342,82,247,9,543,28,4,21,2685,87,4.39,1.425,9.2,1.2,3.6,8.0,2.20,490
Milwaukee Brewers,27,28.5,4.04,39,34,.534,3.78,73,73,73,0,6,0,19,647.1,581,295,272,76,260,12,603,26,5,18,2752,106,4.06,1.299,8.1,1.1,3.6,8.4,2.32,522
Minnesota Twins,22,28.7,4.06,36,35,.507,3.86,71,71,71,0,5,0,14,625.1,571,288,268,75,188,4,618,33,7,14,2629,109,3.72,1.214,8.2,1.1,2.7,8.9,3.29,474
New York Mets,27,30.5,3.44,45,27,.625,2.97,72,72,71,1,6,1,22,643.1,549,248,212,52,254,4,636,28,3,28,2700,128,3.46,1.248,7.7,0.7,3.6,8.9,2.50,533
New York Yankees,20,31.3,3.81,42,28,.600,3.61,70,70,70,0,7,0,21,618.2,505,267,248,69,235,3,651,17,3,21,2574,113,3.64,1.196,7.3,1.0,3.4,9.5,2.77,458
Philadelphia Phillies,22,30.1,4.24,42,29,.592,3.90,71,71,71,0,6,0,21,637.0,606,301,276,72,213,6,662,20,1,19,2696,107,3.56,1.286,8.6,1.0,3.0,9.4,3.11,496
Pittsburgh Pirates,21,28.4,3.92,29,44,.397,3.69,73,73,72,1,7,0,16,648.1,555,286,266,59,214,11,542,25,1,20,2680,114,3.69,1.186,7.7,0.8,3.0,7.5,2.53,464
San Diego Padres,20,29.4,3.86,39,31,.557,3.51,70,70,68,2,12,2,24,621.1,519,270,242,70,235,7,616,27,3,17,2601,116,3.82,1.214,7.5,1.0,3.4,8.9,2.62,476
Seattle Mariners,26,27.5,4.43,36,34,.514,3.96,70,70,70,0,2,0,19,634.0,616,310,279,81,216,14,567,26,1,21,2699,93,4.09,1.312,8.7,1.1,3.1,8.0,2.63,506
San Francisco Giants,19,29.3,3.67,41,31,.569,3.27,72,72,72,0,4,0,21,635.2,550,264,231,55,230,9,614,24,1,25,2651,116,3.46,1.227,7.8,0.8,3.3,8.7,2.67,490
St. Louis Cardinals,20,30.2,4.31,37,35,.514,3.99,72,72,71,1,8,1,17,637.2,623,310,283,59,194,8,516,23,2,21,2697,102,3.68,1.281,8.8,0.8,2.7,7.3,2.66,484
Tampa Bay Rays,18,27.6,3.70,39,32,.549,3.45,71,71,70,1,6,0,17,636.1,557,263,244,92,193,5,569,28,1,9,2609,113,4.21,1.179,7.9,1.3,2.7,8.0,2.95,445
Texas Rangers,21,31.9,3.31,36,36,.500,3.10,72,72,70,2,7,1,20,629.0,519,238,217,59,197,5,570,19,3,25,2564,119,3.51,1.138,7.4,0.8,2.8,8.2,2.89,441
Toronto Blue Jays,25,30.8,4.42,38,33,.535,4.22,71,71,71,0,4,0,23,631.2,571,314,296,99,217,8,632,32,4,16,2650,100,4.29,1.247,8.1,1.4,3.1,9.0,2.91,452
Washington Nationals,19,28.1,5.04,30,41,.423,4.90,71,71,71,0,6,0,19,624.0,629,358,340,73,240,1,555,45,2,34,2733,81,4.19,1.393,9.1,1.1,3.5,8.0,2.31,507
League Average,23,29.3,4.31,36,36,.500,4.01,71,71,71,0,5,0,18,632,586,308,282,77,230,8,589,28,3,21,2683,101,4.02,1.292,8.3,1.1,3.3,8.4,2.56,488
