Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,28,30.3,5.11,36,34,.514,4.72,70,70,70,0,5,0,22,625.0,602,358,328,90,240,11,590,30,7,14,2696,88,4.36,1.347,8.7,1.3,3.5,8.5,2.46,474
Athletics,28,28.8,5.88,28,44,.389,5.53,72,72,72,0,4,0,15,638.0,681,423,392,104,278,10,573,39,4,15,2873,76,4.89,1.503,9.6,1.5,3.9,8.1,2.06,545
Atlanta Braves,25,29.5,3.88,31,38,.449,3.68,69,69,68,1,3,0,10,609.1,523,268,249,76,223,10,622,29,4,19,2535,112,3.90,1.224,7.7,1.1,3.3,9.2,2.79,449
Baltimore Orioles,28,31.3,5.07,29,40,.420,4.93,69,69,69,0,2,0,17,604.1,630,350,331,97,225,3,566,22,3,25,2632,78,4.51,1.415,9.4,1.4,3.4,8.4,2.52,473
Boston Red Sox,23,29.7,4.60,36,36,.500,4.02,72,72,72,0,4,0,18,649.1,621,331,290,71,238,10,603,32,3,15,2777,104,3.89,1.323,8.6,1.0,3.3,8.4,2.53,516
Chicago Cubs,25,30.9,3.92,43,28,.606,3.60,71,71,71,0,6,0,17,635.2,582,278,254,74,199,6,550,23,0,13,2638,106,3.91,1.229,8.2,1.0,2.8,7.8,2.76,465
Chicago White Sox,26,27.6,4.34,23,48,.324,4.15,71,71,71,0,4,0,7,613.1,594,308,283,75,260,12,517,43,2,17,2676,100,4.46,1.392,8.7,1.1,3.8,7.6,1.99,534
Cincinnati Reds,22,29.4,4.08,36,35,.507,3.84,71,71,70,1,4,1,19,628.0,542,290,268,82,214,6,562,29,2,21,2620,117,4.14,1.204,7.8,1.2,3.1,8.1,2.63,453
Cleveland Guardians,23,27.4,4.20,35,34,.507,3.95,69,69,69,0,8,0,19,608.1,587,290,267,75,252,9,580,21,3,22,2616,104,4.12,1.379,8.7,1.1,3.7,8.6,2.30,506
Colorado Rockies,23,28.0,6.30,13,57,.186,5.69,70,70,70,0,0,0,10,607.1,717,441,384,91,248,8,473,22,2,34,2744,81,4.80,1.589,10.6,1.3,3.7,7.0,1.91,488
Detroit Tigers,23,28.1,3.65,46,26,.639,3.36,72,72,71,1,7,1,23,640.1,552,263,239,73,206,6,614,30,1,16,2652,120,3.74,1.184,7.8,1.0,2.9,8.6,2.98,475
Houston Astros,23,29.1,3.60,40,30,.571,3.47,70,70,67,3,6,0,20,617.1,497,252,238,68,215,3,689,24,1,16,2541,118,3.44,1.153,7.2,1.0,3.1,10.0,3.20,442
Kansas City Royals,20,30.0,3.69,34,37,.479,3.44,71,71,71,0,7,0,22,632.2,558,262,242,71,209,9,573,20,2,29,2628,121,3.81,1.212,7.9,1.0,3.0,8.2,2.74,479
Los Angeles Angels,28,30.0,4.97,33,36,.478,4.75,69,69,69,0,2,0,18,606.1,628,343,320,90,275,19,513,23,5,29,2670,88,4.79,1.489,9.3,1.3,4.1,7.6,1.87,513
