gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
103,103,754,1095,582,199,12,155,820,371,19,942,57,.265,3561,.340,.458,.798,18,86,.827,58,15886,5.26,912.0,42,61,23,40,44,17,533,1.44,4041,2736,103,0,6,9946,.630,57,6,21,4,1630,0.69,.408,17.42,103,2.21,8.09,3.66,9.30,5.74,1.53,2,12,38,Athletics
103,103,872,980,411,189,15,98,767,297,12,797,39,.236,3377,.303,.388,.691,19,71,.789,66,14513,3.86,900.1,41,61,21,37,45,16,386,1.22,3753,2701,103,1,11,9389,.650,39,1,28,4,1310,0.89,.402,16.12,101,2.58,7.67,2.97,7.97,4.11,0.98,1,10,29,Pittsburgh Pirates
102,102,758,993,389,138,12,99,864,336,14,769,40,.230,3340,.306,.368,.674,17,72,.809,62,14599,3.59,895.1,55,46,35,47,70,12,357,1.23,3762,2686,102,2,14,9298,.640,40,3,28,7,1228,0.76,.545,16.31,99,2.57,8.69,3.38,7.73,3.91,1.00,2,15,29,San Diego Padres
101,101,860,965,443,150,11,116,848,314,21,840,45,.242,3465,.311,.392,.703,21,71,.772,71,14922,3.90,917.0,54,47,24,43,52,19,397,1.26,3873,2751,101,0,7,9681,.650,45,2,31,2,1360,0.89,.535,16.27,101,2.70,8.32,3.08,8.24,4.35,1.14,1,17,31,Seattle Mariners
103,103,918,837,409,170,16,88,867,326,10,820,35,.241,3400,.312,.378,.690,26,57,.687,59,14565,3.60,901.2,53,49,26,40,66,14,361,1.27,3804,2705,103,1,5,9391,.640,35,5,35,7,1286,1.10,.520,16.15,101,2.66,8.65,3.25,8.18,4.08,0.88,1,16,26,San Francisco Giants
102,102,970,911,459,171,24,98,746,276,10,878,27,.254,3459,.312,.402,.714,18,77,.811,63,14353,4.19,901.2,52,50,24,38,57,14,420,1.28,3813,2705,102,2,10,9241,.640,27,2,35,5,1391,1.06,.510,15.92,100,2.70,7.45,2.75,8.76,4.58,0.98,5,17,29,St. Louis Cardinals
102,102,872,895,408,149,7,133,848,282,6,804,42,.237,3395,.302,.402,.704,27,93,.775,85,14260,3.79,907.2,53,49,23,39,56,16,382,1.20,3746,2723,102,1,8,9282,.650,42,2,15,7,1366,0.97,.520,15.71,101,3.01,8.41,2.80,7.97,4.05,1.32,2,5,20,Tampa Bay Rays
102,102,869,949,353,132,8,92,817,289,18,764,26,.227,3363,.291,.353,.644,15,67,.817,71,14153,3.18,906.1,52,50,26,43,58,17,320,1.16,3715,2719,102,2,10,9202,.650,26,3,31,4,1188,0.92,.510,15.62,100,2.83,8.11,2.87,7.59,3.51,0.91,1,12,24,Texas Rangers
101,101,725,976,438,148,10,133,902,321,20,807,50,.239,3380,.312,.407,.719,25,58,.699,62,14731,4.10,897.2,59,42,31,48,62,17,409,1.26,3783,2693,101,1,7,9447,.640,50,6,19,5,1374,0.74,.584,16.41,100,2.81,9.04,3.22,8.09,4.39,1.33,2,6,24,Toronto Blue Jays
101,101,738,1000,439,161,7,110,858,260,8,852,42,.251,3396,.309,.400,.709,29,74,.718,43,14422,4.17,885.0,49,52,19,33,70,14,410,1.26,3750,2655,101,1,6,9436,.650,42,7,25,8,1357,0.74,.485,16.30,100,3.30,8.73,2.64,8.66,4.46,1.12,0,15,37,Minnesota Twins
