gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
108,108,789,1142,591,208,12,157,863,382,19,969,60,.261,3711,.337,.451,.788,19,87,.821,64,16575,5.10,956.0,46,62,24,41,46,17,542,1.41,4207,2868,108,0,6,10381,.630,60,6,21,4,1672,0.69,.426,17.34,108,2.26,8.12,3.60,9.12,5.56,1.48,2,12,40,Athletics
106,106,901,1018,413,192,16,98,808,303,12,816,41,.233,3502,.299,.381,.680,19,71,.789,66,15051,3.72,936.2,44,62,22,38,49,16,387,1.19,3888,2810,106,1,13,9755,.650,41,1,29,4,1334,0.89,.415,16.07,105,2.67,7.76,2.91,7.84,3.97,0.94,1,11,30,Pittsburgh Pirates
106,106,799,1043,406,147,12,104,888,349,14,799,44,.229,3484,.305,.368,.673,18,73,.802,67,15209,3.58,935.0,57,49,36,48,71,12,372,1.23,3924,2805,106,2,14,9693,.640,44,3,30,7,1282,0.77,.538,16.27,104,2.54,8.55,3.36,7.69,3.91,1.00,2,16,29,San Diego Padres
106,106,901,1005,464,157,11,118,897,330,21,881,49,.242,3635,.311,.389,.700,21,75,.781,75,15661,3.87,961.2,56,50,25,44,56,19,414,1.26,4064,2885,106,0,7,10152,.650,49,3,35,2,1414,0.90,.528,16.29,106,2.72,8.39,3.09,8.25,4.34,1.10,1,17,32,Seattle Mariners
106,106,955,870,427,184,17,91,899,338,11,856,37,.242,3537,.313,.381,.694,26,62,.705,64,15144,3.64,936.2,54,52,26,41,66,15,379,1.27,3956,2810,106,1,5,9761,.640,37,5,37,7,1347,1.10,.509,16.17,105,2.66,8.64,3.25,8.22,4.10,0.87,1,16,27,San Francisco Giants
107,107,1022,950,484,183,24,102,782,285,10,939,30,.258,3644,.314,.405,.719,18,78,.813,69,15071,4.22,945.2,54,53,26,40,63,14,443,1.29,4013,2837,107,2,11,9719,.640,30,2,37,5,1476,1.08,.505,15.94,105,2.74,7.44,2.71,8.94,4.61,0.97,5,20,29,St. Louis Cardinals
106,106,901,937,434,154,7,137,878,300,7,841,43,.238,3533,.304,.402,.706,27,98,.784,86,14865,3.87,940.2,53,53,23,40,57,17,405,1.21,3903,2822,106,1,8,9661,.650,43,3,16,7,1420,0.96,.500,15.80,105,2.93,8.40,2.87,8.05,4.15,1.31,2,5,20,Tampa Bay Rays
106,106,892,991,363,139,10,94,859,305,18,789,26,.226,3494,.291,.352,.643,15,69,.821,74,14736,3.15,943.1,56,50,27,45,61,18,330,1.16,3863,2830,106,2,10,9573,.650,26,3,32,4,1230,0.90,.528,15.62,104,2.82,8.20,2.91,7.53,3.46,0.90,1,12,25,Texas Rangers
106,106,758,1024,459,152,10,140,952,325,20,838,51,.237,3542,.308,.404,.712,26,60,.698,64,15372,4.09,941.2,63,43,31,48,63,17,428,1.24,3950,2825,106,1,7,9872,.640,51,6,19,5,1430,0.74,.594,16.32,105,2.93,9.10,3.11,8.01,4.39,1.34,2,6,24,Toronto Blue Jays
105,105,765,1043,459,165,8,114,892,272,10,887,45,.251,3532,.310,.399,.709,30,82,.732,44,15012,4.19,920.2,50,55,20,35,73,15,429,1.26,3904,2762,105,1,7,9822,.650,45,7,28,8,1410,0.73,.476,16.31,104,3.28,8.72,2.66,8.67,4.49,1.11,0,15,40,Minnesota Twins
