gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
159,159,1165,1646,801,284,19,218,1301,559,25,1360,80,.252,5402,.328,.432,.760,29,128,.815,.185,94,24280,4.70,1410.2,75,84,35,55,67,20,737,1.36,6113,4232,159,0,11,15230,.630,80,7,28,6,2336,0.71,.472,17.21,159,2.33,8.30,3.57,8.68,5.11,1.39,2,16,54,Athletics
159,159,1308,1499,637,280,20,150,1286,464,18,1248,73,.236,5280,.305,.382,.687,30,104,.776,.224,99,22845,3.79,1404.2,69,90,35,61,71,26,591,1.22,5879,4214,159,1,19,14788,.650,73,2,44,5,2018,0.87,.434,16.26,158,2.77,8.24,2.97,8.00,4.08,0.96,1,18,43,Pittsburgh Pirates
159,159,1192,1522,612,197,15,174,1392,519,22,1173,64,.225,5215,.301,.369,.670,26,105,.802,.198,99,22978,3.64,1406.0,87,72,48,64,103,16,569,1.20,5865,4218,159,2,17,14702,.640,64,5,38,8,1922,0.78,.547,16.34,157,2.68,8.91,3.32,7.51,3.92,1.11,3,22,42,San Diego Padres
159,159,1338,1460,680,243,16,187,1396,446,26,1310,73,.241,5430,.305,.395,.700,26,115,.816,.184,106,23170,3.86,1435.2,90,69,43,68,90,25,615,1.22,6025,4307,159,0,11,15124,.650,73,3,52,4,2146,0.92,.566,16.14,159,3.13,8.75,2.80,8.21,4.26,1.17,2,27,47,Seattle Mariners
159,159,1432,1331,678,290,21,139,1324,501,18,1336,68,.250,5354,.319,.389,.708,38,91,.705,.295,107,23170,3.88,1406.2,78,81,38,60,83,22,606,1.31,5993,4220,159,1,6,14919,.640,68,8,50,11,2085,1.08,.491,16.47,158,2.64,8.47,3.21,8.55,4.34,0.89,1,28,41,San Francisco Giants
159,159,1506,1411,733,271,34,161,1185,453,16,1406,47,.259,5430,.319,.410,.729,35,119,.773,.227,104,22621,4.23,1408.0,78,81,42,65,92,23,662,1.32,6013,4224,159,2,13,14511,.640,47,4,50,9,2228,1.07,.491,16.07,157,2.62,7.57,2.90,8.99,4.69,1.03,5,25,53,St. Louis Cardinals
159,159,1310,1374,661,218,13,199,1389,464,11,1244,67,.236,5273,.304,.395,.699,39,149,.793,.207,126,22530,3.87,1407.1,77,82,35,64,87,29,605,1.21,5852,4222,159,1,11,14674,.650,67,6,33,15,2085,0.95,.484,16.01,158,2.99,8.88,2.97,7.96,4.23,1.27,3,12,33,Tampa Bay Rays
159,159,1303,1497,590,225,15,168,1316,454,23,1212,48,.230,5276,.295,.374,.669,25,121,.829,.171,109,22415,3.45,1416.1,80,79,37,65,80,28,543,1.18,5831,4249,159,2,14,14531,.650,48,4,43,9,1971,0.87,.503,15.83,157,2.90,8.36,2.88,7.70,3.75,1.07,1,18,34,Texas Rangers
159,159,1209,1501,714,252,14,206,1396,504,25,1291,72,.242,5345,.313,.410,.723,34,106,.757,.243,95,23213,4.22,1411.0,91,68,41,64,92,23,662,1.27,5975,4233,159,2,8,14847,.640,72,9,31,8,2189,0.81,.572,16.45,157,2.77,8.90,3.21,8.23,4.55,1.31,2,13,39,Toronto Blue Jays
159,159,1176,1584,768,274,13,192,1336,455,19,1394,69,.258,5412,.320,.419,.739,38,134,.779,.221,79,23476,4.62,1400.0,69,90,28,52,93,24,718,1.32,6015,4200,159,1,9,15164,.650,69,10,47,12,2270,0.74,.434,16.77,158,2.94,8.59,2.93,8.96,4.94,1.23,1,20,58,Minnesota Twins
159,159,1316,1367,641,246,15,173,1433,429,9,1322,52,.245,5388,.305,.393,.698,40,97,.708,.292,84,22859,3.82,1412.1,94,65,46,73,83,27,600,1.24,5919,4237,159,2,14,14852,.650,52,4,36,15,2117,0.96,.591,16.19,157,3.34,9.13,2.73,8.42,4.08,1.10,0,15,35,Philadelphia Phillies
159,159,1301,1400,721,242,23,193,1391,520,20,1318,69,.246,5354,.319,.408,.727,37,149,.801,.199,85,23511,4.36,1411.0,75,84,33,54,72,21,683,1.30,5999,4233,159,1,8,15004,.640,69,8,39,18,2185,0.93,.472,16.66,158,2.68,8.87,3.32,8.41,4.60,1.23,0,15,41,Atlanta Braves
159,159,1198,1590,727,285,23,180,1250,590,29,1313,72,.248,5294,.329,.413,.742,31,145,.824,.176,113,23475,4.25,1390.0,58,101,24,46,71,22,657,1.37,6019,4170,159,0,8,14670,.620,72,10,47,18,2184,0.75,.365,16.89,159,2.12,8.09,3.82,8.50,4.71,1.17,6,12,45,Chicago White Sox
159,159,1365,1519,791,276,23,197,1264,491,17,1357,71,.249,5446,.317,.417,.734,24,186,.886,.114,88,23502,4.64,1416.1,77,82,39,61,85,22,730,1.30,6071,4249,159,0,10,15103,.640,71,9,62,3,2270,0.90,.484,16.59,159,2.57,8.03,3.12,8.62,5.03,1.25,4,9,50,Miami Marlins
