Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,26,30.3,5.27,31,33,.484,4.86,64,64,64,0,5,0,20,570.0,546,337,308,82,219,10,545,30,7,14,2468,85,4.34,1.342,8.6,1.3,3.5,8.6,2.49,430
Athletics,28,28.8,6.11,25,41,.379,5.77,66,66,66,0,3,0,15,585.1,638,403,375,101,265,9,523,35,3,14,2659,72,5.06,1.543,9.8,1.6,4.1,8.0,1.97,508
Atlanta Braves,24,29.6,4.00,27,36,.429,3.79,63,63,63,0,3,0,10,557.1,486,252,235,72,208,10,553,25,4,19,2329,107,4.02,1.245,7.8,1.2,3.4,8.9,2.66,415
Baltimore Orioles,28,31.3,5.24,26,37,.413,5.09,63,63,63,0,1,0,15,551.1,581,330,312,90,213,3,509,20,3,25,2414,76,4.61,1.440,9.5,1.5,3.5,8.3,2.39,434
Boston Red Sox,23,29.7,4.64,31,35,.470,4.10,66,66,66,0,4,0,14,592.1,578,306,270,66,216,8,556,29,3,14,2545,102,3.88,1.340,8.8,1.0,3.3,8.4,2.57,477
Chicago Cubs,25,30.9,3.97,40,24,.625,3.66,64,64,64,0,6,0,15,572.2,520,254,233,70,182,5,498,20,0,13,2381,104,3.98,1.226,8.2,1.1,2.9,7.8,2.74,418
Chicago White Sox,23,27.7,4.26,22,43,.338,4.08,65,65,65,0,4,0,6,560.2,527,277,254,70,237,10,475,41,2,16,2438,101,4.48,1.363,8.5,1.1,3.8,7.6,2.00,483
Cincinnati Reds,22,29.3,4.02,32,33,.492,3.73,65,65,65,0,3,0,17,576.0,494,261,239,74,193,5,521,24,2,21,2399,118,4.06,1.193,7.7,1.2,3.0,8.1,2.70,417
Cleveland Guardians,23,27.5,4.24,33,30,.524,3.98,63,63,63,0,8,0,18,555.2,530,267,246,69,234,6,534,18,2,21,2384,103,4.12,1.375,8.6,1.1,3.8,8.6,2.28,455
Colorado Rockies,23,28.1,6.08,12,52,.188,5.41,64,64,64,0,0,0,10,555.1,647,389,334,78,217,8,421,20,2,29,2491,84,4.66,1.556,10.5,1.3,3.5,6.8,1.94,443
Detroit Tigers,21,28.0,3.53,42,24,.636,3.20,66,66,65,1,6,1,21,587.1,498,233,209,63,186,6,556,28,1,13,2421,125,3.66,1.165,7.6,1.0,2.9,8.5,2.99,433
Houston Astros,23,29.1,3.66,36,28,.563,3.52,64,64,61,3,6,0,19,564.1,455,234,221,61,201,2,616,22,1,15,2327,116,3.48,1.162,7.3,1.0,3.2,9.8,3.06,405
Kansas City Royals,20,30.0,3.54,33,32,.508,3.28,65,65,65,0,7,0,21,578.2,508,230,211,63,186,9,527,19,2,27,2394,127,3.72,1.199,7.9,1.0,2.9,8.2,2.83,439
Los Angeles Angels,27,29.9,5.11,30,33,.476,4.88,63,63,63,0,2,0,17,553.1,581,322,300,82,262,18,464,21,5,28,2451,86,4.85,1.523,9.5,1.3,4.3,7.5,1.77,473
Los Angeles Dodgers,29,29.3,4.46,38,27,.585,4.13,65,65,65,0,3,0,19,580.0,526,290,266,85,230,13,587,27,1,29,2461,95,4.28,1.303,8.2,1.3,3.6,9.1,2.55,442
Miami Marlins,21,27.6,5.44,24,38,.387,5.05,62,62,62,0,4,0,11,552.0,562,337,310,77,226,8,494,23,4,20,2421,86,4.44,1.428,9.2,1.3,3.7,8.1,2.19,439
Milwaukee Brewers,26,28.5,4.12,35,30,.538,3.86,65,65,65,0,5,0,15,575.1,520,268,247,67,237,12,534,21,5,15,2455,104,4.07,1.316,8.1,1.0,3.7,8.4,2.25,468
Minnesota Twins,21,28.7,3.69,34,30,.531,3.53,64,64,64,0,5,0,13,563.0,503,236,221,64,161,4,567,30,6,12,2346,117,3.55,1.179,8.0,1.0,2.6,9.1,3.52,429
New York Mets,25,30.6,3.26,41,24,.631,2.81,65,65,65,0,5,0,20,579.1,484,212,181,46,229,4,582,24,3,25,2426,135,3.40,1.231,7.5,0.7,3.6,9.0,2.54,486
New York Yankees,20,31.4,3.86,39,24,.619,3.67,63,63,63,0,6,0,19,557.0,452,243,227,61,211,2,598,15,2,20,2318,110,3.56,1.190,7.3,1.0,3.4,9.7,2.83,410
Philadelphia Phillies,21,30.2,4.38,37,27,.578,4.04,64,64,64,0,5,0,20,573.0,555,280,257,66,196,6,599,18,1,17,2436,102,3.60,1.311,8.7,1.0,3.1,9.4,3.06,447
Pittsburgh Pirates,21,28.4,4.12,25,40,.385,3.90,65,65,64,1,7,0,14,577.0,506,268,250,53,197,9,481,25,1,18,2403,107,3.75,1.218,7.9,0.8,3.1,7.5,2.44,417
