gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
150,150,1095,1552,764,268,19,210,1235,526,23,1285,78,.252,5101,.328,.435,.763,27,120,.816,.184,86,22941,4.77,1331.1,70,80,32,51,60,19,706,1.36,5773,3994,150,0,10,14368,.630,78,7,27,5,2221,0.71,.467,17.23,150,2.35,8.35,3.56,8.69,5.16,1.42,2,15,51,Athletics
151,151,1244,1431,614,272,20,142,1206,442,17,1186,70,.237,5010,.305,.384,.689,29,103,.780,.220,93,21630,3.87,1331.2,65,86,33,57,66,24,572,1.22,5580,3995,151,1,17,14011,.650,70,1,42,5,1924,0.87,.430,16.24,150,2.73,8.15,2.99,8.02,4.15,0.96,1,18,39,Pittsburgh Pirates
150,150,1121,1443,578,189,15,161,1312,484,21,1109,60,.225,4924,.300,.368,.668,25,101,.802,.198,91,21616,3.64,1326.0,82,68,46,62,96,16,536,1.20,5532,3978,150,2,16,13838,.640,60,5,37,8,1811,0.78,.547,16.30,148,2.71,8.90,3.29,7.53,3.92,1.09,3,20,41,San Diego Padres
150,150,1263,1378,654,230,16,179,1315,431,26,1244,68,.243,5129,.307,.398,.705,26,114,.814,.186,100,21953,3.91,1355.2,82,68,40,64,85,24,589,1.24,5701,4067,150,0,9,14304,.650,68,3,49,4,2043,0.92,.547,16.19,150,3.05,8.73,2.86,8.26,4.34,1.19,2,25,46,Seattle Mariners
150,150,1343,1252,637,267,20,128,1262,474,15,1259,63,.249,5058,.319,.386,.705,35,88,.715,.285,100,21882,3.86,1327.2,75,75,36,55,79,19,569,1.31,5654,3983,150,1,6,14103,.640,63,8,48,10,1950,1.07,.500,16.48,149,2.66,8.55,3.21,8.53,4.32,0.87,1,19,39,San Francisco Giants
151,151,1419,1351,705,258,32,155,1117,432,15,1336,44,.259,5150,.319,.412,.731,34,113,.769,.231,101,21446,4.32,1336.0,73,78,39,61,85,22,641,1.32,5704,4008,151,2,12,13759,.640,44,4,48,9,2123,1.05,.483,16.05,149,2.59,7.52,2.91,9.00,4.75,1.04,5,24,49,St. Louis Cardinals
150,150,1230,1297,620,208,12,191,1314,432,11,1174,63,.236,4978,.303,.398,.701,38,141,.788,.212,116,21184,3.88,1328.1,73,77,34,61,82,27,572,1.21,5514,3985,150,1,10,13790,.650,63,6,28,14,1979,0.95,.487,15.95,149,3.04,8.90,2.93,7.95,4.20,1.29,3,10,28,Tampa Bay Rays
151,151,1244,1413,555,209,14,160,1248,433,22,1138,46,.228,4995,.294,.371,.665,21,106,.835,.165,105,21248,3.42,1343.1,79,72,36,63,78,27,510,1.17,5523,4030,151,2,14,13763,.650,46,4,39,7,1855,0.88,.523,15.82,149,2.88,8.36,2.90,7.62,3.72,1.07,1,17,31,Texas Rangers
150,150,1130,1418,664,228,13,197,1336,475,24,1196,69,.238,5028,.310,.406,.716,33,102,.756,.244,89,21917,4.13,1334.0,88,62,39,62,88,23,612,1.25,5626,4002,150,2,8,14005,.640,69,7,31,8,2041,0.80,.587,16.43,148,2.81,9.01,3.20,8.07,4.48,1.33,2,13,39,Toronto Blue Jays
150,150,1114,1482,721,257,13,180,1266,431,17,1322,66,.259,5111,.321,.420,.741,36,122,.772,.228,74,22224,4.58,1320.0,66,84,27,51,90,24,672,1.33,5682,3960,150,1,8,14353,.650,66,9,40,12,2145,0.75,.440,16.84,149,2.94,8.63,2.94,9.01,4.92,1.23,1,19,54,Minnesota Twins
