gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
144,144,1044,1491,738,257,17,201,1190,507,22,1234,75,.252,4893,.329,.435,.764,26,113,.813,.187,82,22047,4.79,1277.1,66,78,30,48,53,18,680,1.36,5543,3832,144,0,9,13807,.630,75,7,27,5,2128,0.70,.458,17.26,144,2.35,8.38,3.57,8.69,5.20,1.42,2,15,51,Athletics
144,144,1198,1365,591,263,20,137,1141,418,14,1139,68,.238,4789,.306,.387,.693,26,97,.789,.211,90,20697,3.91,1270.2,64,80,33,55,64,22,552,1.23,5330,3812,144,1,17,13419,.650,68,1,39,5,1853,0.88,.444,16.29,143,2.73,8.08,2.96,8.07,4.19,0.97,1,17,37,Pittsburgh Pirates
143,143,1060,1391,556,183,15,152,1232,474,20,1061,58,.226,4686,.303,.369,.672,25,94,.790,.210,90,20629,3.67,1262.0,78,65,44,59,91,15,514,1.22,5279,3786,143,2,15,13171,.640,58,5,35,8,1730,0.76,.545,16.35,141,2.60,8.79,3.38,7.57,3.97,1.08,3,17,41,San Diego Padres
143,143,1203,1332,635,224,16,171,1216,421,24,1198,64,.245,4882,.311,.403,.714,26,108,.806,.194,96,20845,4.01,1285.2,75,68,36,59,77,23,573,1.26,5436,3857,143,0,9,13579,.650,64,3,46,4,1967,0.90,.524,16.21,143,2.89,8.51,2.95,8.39,4.45,1.20,2,22,45,Seattle Mariners
143,143,1277,1187,592,252,18,123,1209,444,12,1184,59,.246,4804,.316,.383,.699,34,83,.709,.291,97,20712,3.76,1264.2,72,71,35,54,76,19,529,1.29,5361,3794,143,1,6,13355,.640,59,7,44,9,1841,1.08,.503,16.38,142,2.72,8.60,3.16,8.43,4.21,0.88,1,18,35,San Francisco Giants
144,144,1359,1277,662,245,32,148,1066,403,13,1269,42,.259,4907,.318,.412,.730,31,110,.780,.220,97,20337,4.27,1272.2,72,72,38,57,82,19,604,1.31,5421,3818,144,2,12,13087,.640,42,4,47,8,2022,1.06,.500,15.98,142,2.65,7.54,2.85,8.97,4.68,1.05,5,23,41,St. Louis Cardinals
143,143,1177,1238,589,195,9,185,1247,411,10,1119,60,.236,4746,.303,.398,.701,37,137,.787,.213,111,20170,3.85,1267.1,71,72,32,56,79,24,542,1.21,5256,3802,143,1,10,13126,.650,60,6,24,13,1887,0.95,.497,15.92,142,3.03,8.86,2.92,7.95,4.18,1.31,3,9,27,Tampa Bay Rays
144,144,1191,1338,532,202,14,152,1196,419,21,1081,44,.227,4760,.294,.371,.665,21,101,.828,.172,101,20247,3.46,1281.1,74,70,33,60,72,27,492,1.17,5270,3844,144,2,13,13104,.650,44,4,39,6,1767,0.89,.514,15.80,142,2.85,8.40,2.94,7.59,3.74,1.07,1,17,29,Texas Rangers
143,143,1060,1363,650,220,13,191,1270,453,24,1155,68,.241,4797,.313,.412,.725,32,96,.750,.250,84,20933,4.24,1268.0,82,61,39,62,86,23,598,1.27,5371,3804,143,1,7,13379,.640,68,7,29,8,1974,0.78,.573,16.51,142,2.80,9.01,3.22,8.20,4.61,1.36,2,12,39,Toronto Blue Jays
143,143,1057,1428,683,247,11,173,1196,405,15,1264,61,.259,4876,.321,.421,.742,34,111,.766,.234,72,21096,4.56,1258.0,63,80,27,50,86,23,637,1.33,5411,3774,143,1,7,13640,.650,61,8,39,9,2052,0.74,.441,16.77,142,2.95,8.56,2.90,9.04,4.89,1.24,0,17,52,Minnesota Twins
143,143,1190,1207,575,220,14,152,1299,390,8,1187,48,.245,4843,.306,.390,.696,37,86,.699,.301,77,20536,3.82,1268.1,83,60,40,63,71,23,538,1.24,5321,3805,143,2,12,13327,.650,48,4,31,14,1891,0.99,.580,16.19,141,3.33,9.22,2.77,8.42,4.08,1.08,0,13,27,Philadelphia Phillies
143,143,1185,1259,662,228,21,178,1227,477,20,1187,63,.247,4808,.321,.414,.735,34,135,.799,.201,76,21203,4.47,1266.0,64,79,28,48,58,20,629,1.31,5398,3798,143,1,7,13524,.640,63,7,36,16,1991,0.94,.448,16.75,142,2.57,8.72,3.39,8.44,4.71,1.27,0,15,35,Atlanta Braves
144,144,1102,1446,662,264,21,160,1118,534,25,1189,70,.248,4799,.329,.412,.741,28,126,.818,.182,102,21245,4.23,1260.1,55,89,22,43,62,21,593,1.37,5465,3781,144,0,8,13239,.620,70,9,37,16,1975,0.76,.382,16.86,144,2.09,7.98,3.81,8.49,4.73,1.14,6,11,45,Chicago White Sox
143,143,1220,1360,716,255,22,170,1125,450,14,1218,67,.250,4871,.319,.416,.735,20,177,.898,.102,82,21112,4.72,1267.1,66,77,35,55,75,20,665,1.32,5444,3802,143,0,9,13524,.640,67,8,52,3,2027,0.90,.462,16.66,143,2.50,7.99,3.20,8.65,5.08,1.21,4,9,43,Miami Marlins
143,143,1207,1242,609,221,19,153,1270,498,11,1103,51,.231,4783,.308,.381,.689,24,88,.786,.214,86,21063,3.92,1270.2,80,63,37,58,89,21,553,1.26,5376,3812,143,0,10,13367,.630,51,8,46,16,1821,0.97,.559,16.58,143,2.55,9.00,3.53,7.81,4.31,1.08,5,11,28,New York Yankees
144,144,1129,1341,560,206,15,148,1264,473,17,1105,55,.231,4788,.305,.373,.678,26,71,.732,.268,97,21102,3.59,1282.2,89,55,42,61,100,19,512,1.23,5369,3848,144,0,12,13466,.640,55,5,30,6,1785,0.84,.618,16.45,144,2.67,8.87,3.32,7.75,3.93,1.04,2,17,34,Milwaukee Brewers
143,143,1202,1345,728,207,20,200,1117,547,39,1268,43,.261,4866,.337,.435,.772,23,99,.811,.189,130,21273,4.81,1266.0,67,76,34,65,78,31,676,1.43,5523,3798,143,0,7,13529,.640,43,9,56,7,2115,0.89,.469,16.80,143,2.04,7.94,3.89,9.01,5.18,1.42,1,16,50,Los Angeles Angels
144,144,1261,1335,686,289,27,167,1145,447,19,1248,53,.253,4940,.320,.423,.743,22,99,.818,.182,100,21135,4.43,1282.2,72,72,40,67,82,27,632,1.32,5491,3848,144,0,9,13407,.630,53,8,29,9,2092,0.94,.500,16.48,144,2.56,8.03,3.14,8.76,4.81,1.17,2,20,29,Arizona Diamondbacks
143,143,1221,1284,702,224,25,194,1171,458,15,1281,43,.262,4898,.328,.436,.764,24,92,.793,.207,92,21032,4.66,1263.0,66,77,33,51,93,18,654,1.38,5460,3789,143,1,6,13490,.640,43,7,53,9,2137,0.95,.462,16.65,142,2.56,8.34,3.26,9.13,5.00,1.38,2,20,39,Baltimore Orioles
144,144,1269,1280,614,191,8,148,1186,475,16,1192,67,.245,4874,.318,.378,.696,39,114,.745,.255,104,20984,3.78,1288.0,79,65,41,66,76,25,541,1.29,5477,3864,144,2,9,13499,.640,67,5,48,3,1843,0.99,.549,16.29,142,2.50,8.29,3.32,8.33,4.29,1.03,8,14,38,Boston Red Sox
143,143,1127,1441,586,200,20,177,1101,368,9,1154,48,.242,4763,.301,.404,.705,32,69,.683,.317,98,19965,3.89,1269.0,81,62,37,54,96,17,548,1.20,5241,3807,143,0,13,13086,.660,48,1,27,22,1925,0.78,.566,15.73,143,2.99,7.81,2.61,8.18,4.16,1.26,2,20,40,Chicago Cubs
143,143,1091,1407,617,249,16,170,1217,449,13,1133,56,.237,4783,.307,.402,.709,31,99,.762,.238,76,21058,3.95,1266.2,72,71,33,53,90,20,556,1.25,5357,3800,143,3,7,13504,.640,56,2,42,8,1924,0.78,.503,16.62,140,2.71,8.65,3.19,8.05,4.38,1.21,4,23,42,Cincinnati Reds
142,142,1129,1343,600,222,18,155,1177,486,18,1170,46,.246,4763,.319,.397,.716,39,100,.719,.281,88,20978,3.91,1261.0,72,70,41,59,94,18,548,1.31,5352,3783,142,1,11,13369,.640,46,9,41,16,1893,0.84,.507,16.64,141,2.42,8.40,3.47,8.35,4.28,1.11,1,18,38,Cleveland Guardians
143,143,1290,1349,912,300,30,217,960,498,17,1507,58,.299,5041,.365,.500,.865,29,120,.805,.195,121,21308,6.01,1248.1,40,103,26,49,51,23,834,1.61,5665,3745,143,0,3,13453,.630,58,7,56,7,2518,0.96,.280,17.07,143,1.93,6.92,3.59,10.86,6.58,1.56,3,14,51,Colorado Rockies
144,144,1239,1263,608,214,17,163,1209,427,13,1157,56,.240,4814,.308,.393,.701,35,72,.673,.327,104,20674,3.90,1277.2,82,62,36,55,66,19,553,1.24,5355,3833,144,1,16,13347,.650,56,1,44,10,1894,0.98,.569,16.18,143,2.83,8.52,3.01,8.15,4.28,1.15,4,20,34,Detroit Tigers
144,144,1089,1302,590,218,15,175,1365,454,7,1114,56,.232,4811,.303,.392,.695,23,145,.863,.137,78,21004,3.85,1284.2,78,66,40,54,80,14,550,1.22,5384,3854,144,3,12,13374,.640,56,4,36,9,1887,0.84,.542,16.35,141,3.01,9.56,3.18,7.80,4.13,1.23,4,22,37,Houston Astros
