Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.4,5.26,27,31,.466,4.88,58,58,58,0,5,0,17,516.2,499,305,280,74,195,9,489,28,6,11,2236,86,4.35,1.343,8.7,1.3,3.4,8.5,2.51,389
Athletics,27,28.8,6.02,23,36,.390,5.68,59,59,59,0,3,0,14,523.1,567,355,330,90,235,9,465,30,3,10,2370,73,5.06,1.532,9.8,1.5,4.0,8.0,1.98,453
Atlanta Braves,23,29.6,3.86,27,30,.474,3.67,57,57,57,0,3,0,10,503.0,438,220,205,63,185,10,495,24,3,17,2102,112,3.99,1.239,7.8,1.1,3.3,8.9,2.68,382
Baltimore Orioles,28,31.1,5.49,21,36,.368,5.35,57,57,57,0,1,0,11,498.1,534,313,296,87,199,3,447,18,2,23,2196,71,4.87,1.471,9.6,1.6,3.6,8.1,2.25,392
Boston Red Sox,23,29.8,4.48,28,32,.467,3.96,60,60,60,0,4,0,12,538.1,525,269,237,56,196,8,498,27,2,14,2309,106,3.83,1.339,8.8,0.9,3.3,8.3,2.54,439
Chicago Cubs,25,30.8,4.16,36,22,.621,3.85,58,58,58,0,6,0,15,520.2,483,241,223,66,174,5,467,19,0,13,2184,100,4.05,1.262,8.3,1.1,3.0,8.1,2.68,390
Chicago White Sox,22,27.6,4.31,18,40,.310,4.11,58,58,58,0,4,0,5,497.2,463,250,227,61,217,9,417,39,2,14,2171,101,4.55,1.366,8.4,1.1,3.9,7.5,1.92,431
Cincinnati Reds,20,29.3,4.00,29,30,.492,3.72,59,59,59,0,3,0,16,522.0,448,236,216,65,178,4,472,23,2,21,2177,121,4.05,1.199,7.7,1.1,3.1,8.1,2.65,381
Cleveland Guardians,23,27.5,4.37,31,26,.544,4.14,57,57,57,0,7,0,17,502.2,491,249,231,64,213,4,491,15,1,20,2168,98,4.15,1.401,8.8,1.1,3.8,8.8,2.31,415
Colorado Rockies,23,28.2,6.28,9,49,.155,5.59,58,58,58,0,0,0,7,502.1,598,364,312,72,202,8,378,16,2,28,2267,83,4.75,1.593,10.7,1.3,3.6,6.8,1.87,403
Detroit Tigers,19,27.9,3.56,38,21,.644,3.22,59,59,58,1,5,1,18,525.0,440,210,188,57,168,5,512,27,1,13,2168,123,3.66,1.158,7.5,1.0,2.9,8.8,3.05,389
Houston Astros,23,29.2,3.86,31,27,.534,3.72,58,58,55,3,4,0,15,510.1,421,224,211,59,180,2,551,19,1,15,2117,110,3.60,1.178,7.4,1.0,3.2,9.7,3.06,366
Kansas City Royals,19,30.1,3.39,31,28,.525,3.16,59,59,59,0,7,0,19,526.1,460,200,185,56,163,8,478,16,2,23,2165,131,3.67,1.184,7.9,1.0,2.8,8.2,2.93,396
Los Angeles Angels,26,29.8,5.05,26,31,.456,4.82,57,57,57,0,2,0,13,500.0,520,288,268,76,236,16,418,18,5,26,2209,87,4.91,1.512,9.4,1.4,4.2,7.5,1.77,424
Los Angeles Dodgers,28,29.4,4.41,36,22,.621,4.11,58,58,58,0,3,0,18,517.0,468,256,236,75,201,11,531,20,1,26,2182,97,4.20,1.294,8.1,1.3,3.5,9.2,2.64,384
Miami Marlins,21,27.6,5.48,23,33,.411,5.13,56,56,56,0,4,0,11,498.0,509,307,284,68,214,8,446,21,4,18,2195,87,4.48,1.452,9.2,1.2,3.9,8.1,2.08,404
Milwaukee Brewers,26,28.4,4.31,31,28,.525,4.01,59,59,59,0,5,0,13,522.1,478,254,233,64,214,11,479,21,5,14,2235,102,4.19,1.325,8.2,1.1,3.7,8.3,2.24,421
Minnesota Twins,20,28.8,3.53,31,26,.544,3.34,57,57,57,0,5,0,13,501.2,444,201,186,54,137,4,504,27,6,11,2080,125,3.46,1.158,8.0,1.0,2.5,9.0,3.68,382
