Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,27,30.3,5.23,32,34,.485,4.83,66,66,66,0,5,0,20,589.0,564,345,316,86,225,10,563,30,7,14,2544,86,4.36,1.340,8.6,1.3,3.4,8.6,2.50,443
Athletics,28,28.8,6.04,26,42,.382,5.69,68,68,68,0,3,0,15,602.1,654,411,381,102,268,9,541,36,3,15,2730,73,4.99,1.531,9.8,1.5,4.0,8.1,2.02,520
Atlanta Braves,24,29.6,3.95,28,37,.431,3.75,65,65,65,0,3,0,10,574.1,494,257,239,72,213,10,574,26,4,19,2393,108,3.95,1.231,7.7,1.1,3.3,9.0,2.69,423
Baltimore Orioles,28,31.3,5.23,26,38,.406,5.08,64,64,64,0,1,0,15,559.1,590,335,316,91,214,3,514,20,3,25,2449,76,4.60,1.437,9.5,1.5,3.4,8.3,2.40,440
Boston Red Sox,23,29.7,4.75,32,36,.471,4.16,68,68,68,0,4,0,15,612.1,600,323,283,69,229,10,570,30,3,15,2639,101,3.94,1.354,8.8,1.0,3.4,8.4,2.49,496
Chicago Cubs,25,30.9,3.97,40,26,.606,3.64,66,66,66,0,6,0,15,590.2,546,262,239,70,187,6,508,21,0,13,2461,106,3.95,1.241,8.3,1.1,2.8,7.7,2.72,438
Chicago White Sox,24,27.7,4.30,22,44,.333,4.12,66,66,66,0,4,0,6,569.2,543,284,261,72,240,10,480,41,2,16,2479,100,4.51,1.374,8.6,1.1,3.8,7.6,2.00,490
Cincinnati Reds,22,29.4,3.99,34,33,.507,3.71,67,67,67,0,3,0,19,594.0,506,267,245,76,203,5,536,25,2,21,2470,119,4.08,1.194,7.7,1.2,3.1,8.1,2.64,428
Cleveland Guardians,23,27.4,4.25,34,31,.523,3.98,65,65,65,0,8,0,19,573.2,553,276,254,71,237,6,550,18,2,21,2464,103,4.09,1.377,8.7,1.1,3.7,8.6,2.32,472
Colorado Rockies,23,28.1,6.18,12,53,.185,5.53,65,65,65,0,0,0,10,564.1,664,402,347,84,223,8,431,20,2,29,2540,83,4.77,1.572,10.6,1.3,3.6,6.9,1.93,452
Detroit Tigers,21,28.0,3.48,43,24,.642,3.15,67,67,66,1,7,1,21,596.1,502,233,209,63,189,6,568,28,1,13,2454,128,3.63,1.159,7.6,1.0,2.9,8.6,3.01,439
