game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
7628573,2026-07-07,STL,MIL,,,174,-182,174,-182,7.5,7.5,7.5,7.5,-106,104,-106,104
5059136,2026-07-07,BAL,CHC,,,102,-106,102,-106,9.5,9.5,9.5,9.5,106,-115,106,-115
5059137,2026-07-07,DET,OAK,,,-174,170,-174,170,8.5,8.5,8.5,8.5,115,-120,115,-120
5059138,2026-07-07,PIT,ATL,,,-147,144,-147,144,8.5,8.5,8.5,8.5,113,-117,113,-117
5059139,2026-07-07,TB,NYY,,,-115,113,-115,113,8.5,8.5,8.5,8.5,113,-122,113,-122
5059140,2026-07-07,MIA,SEA,,,-113,108,-113,108,7.5,7.5,7.5,7.5,-115,106,-115,106
5059141,2026-07-07,WSH,HOU,,,-113,111,-113,111,9.5,9.5,9.5,9.5,111,-117,111,-117
5059142,2026-07-07,NYM,KC,,,-141,135,-141,135,8.5,8.5,8.5,8.5,100,-102,100,-102
5059143,2026-07-07,CIN,PHI,,,156,-160,156,-160,8.5,8.5,8.5,8.5,-120,117,-120,117
5059144,2026-07-07,CHW,BOS,,,115,-117,115,-117,8.5,8.5,8.5,8.5,104,-106,104,-106
5059145,2026-07-07,MIN,CLE,,,-108,104,-108,104,8.5,8.5,8.5,8.5,-104,102,-104,102
5059146,2026-07-07,STL,MIL,,,174,-182,174,-182,7.5,7.5,7.5,7.5,-106,104,-106,104
5059147,2026-07-07,TEX,LAA,,,-153,150,-153,150,6.5,6.5,6.5,6.5,-133,128,-133,128
5059148,2026-07-07,SD,ARI,,,-113,111,-113,111,8.5,8.5,8.5,8.5,-120,115,-120,115
5059149,2026-07-07,SF,TOR,,,102,-104,102,-104,7.5,7.5,7.5,7.5,-111,106,-111,106
5059150,2026-07-07,LAD,COL,,,-257,245,-257,245,9.5,9.5,9.5,9.5,102,-104,102,-104
