game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058004,2026-04-13,SEA,HOU,,,-171,141,-171,141,7.5,7.5,7.5,7.5,-115,-105,-115,-105
5058005,2026-04-13,BAL,ARI,,,-131,109,-131,109,8.5,8.5,8.5,8.5,-122,102,-122,102
5058006,2026-04-13,PHI,CHC,,,-181,149,-181,149,8,8,8,8,-118,-102,-118,-102
5058007,2026-04-13,PIT,WSH,,,-226,184,-226,184,7.5,7.5,7.5,7.5,-102,-118,-102,-118
5058008,2026-04-13,NYY,LAA,,,-194,159,-194,159,9.5,9.5,9.5,9.5,-102,-118,-102,-118
5058009,2026-04-13,ATL,MIA,,,-156,129,-156,129,8,8,8,8,-116,-104,-116,-104
5058010,2026-04-13,MIN,BOS,,,139,-168,139,-168,7,7,7,7,-122,102,-122,102
5058011,2026-04-13,STL,CLE,,,-102,-118,-102,-118,8,8,8,8,-110,-110,-110,-110
5058012,2026-04-13,OAK,TEX,,,109,-131,109,-131,8.5,8.5,8.5,8.5,-110,-110,-110,-110
5058013,2026-04-13,LAD,NYM,,,-168,139,-168,139,8.5,8.5,8.5,8.5,-115,-105,-115,-105
