game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058553,2026-05-24,TOR,PIT,,,-156,155,-156,155,7.5,7.5,7.5,7.5,-111,110,-111,110
5058555,2026-05-24,BAL,DET,,,-113,112,-113,112,8.5,8.5,8.5,8.5,119,-120,119,-120
5058554,2026-05-24,PHI,CLE,,,116,-118,116,-118,7.5,7.5,7.5,7.5,107,-110,107,-110
5058556,2026-05-24,BOS,MIN,,,-143,141,-143,141,7.5,7.5,7.5,7.5,108,-110,108,-110
5058557,2026-05-24,NYY,TB,,,-124,122,-124,122,7.5,7.5,7.5,7.5,121,-130,121,-130
5058558,2026-05-24,MIA,NYM,,,105,-107,105,-107,8.5,8.5,8.5,8.5,111,-113,111,-113
5058559,2026-05-24,CIN,STL,,,-110,109,-110,109,9.5,9.5,9.5,9.5,-110,105,-110,105
5058560,2026-05-24,MIL,LAD,,,153,-154,153,-154,8.5,8.5,8.5,8.5,122,-126,122,-126
5058561,2026-05-24,KC,SEA,,,122,-124,122,-124,8.5,8.5,8.5,8.5,103,-105,103,-105
5058562,2026-05-24,CHC,HOU,,,-162,158,-162,158,8.5,8.5,8.5,8.5,170,-186,170,-186
5058563,2026-05-24,SF,CHW,,,-110,108,-110,108,8.5,8.5,8.5,8.5,122,-124,122,-124
5058564,2026-05-24,ATL,WSH,,,-153,148,-153,148,8.5,8.5,8.5,8.5,102,-110,102,-110
5058565,2026-05-24,SD,OAK,,,-160,157,-160,157,8.5,8.5,8.5,8.5,130,-179,130,-179
5058566,2026-05-24,ARI,COL,,,-180,173,-180,173,9.5,9.5,9.5,9.5,128,-130,128,-130
8158336,2026-05-24,BAL,DET,,,-113,112,-113,112,8.5,8.5,8.5,8.5,119,-120,119,-120
5058567,2026-05-24,LAA,TEX,,,-113,109,-113,109,8.5,8.5,8.5,8.5,118,-120,118,-120
