game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058054,2026-04-17,CHC,NYM,,,-138,136,-138,136,10.5,10.5,10.5,10.5,-104,104,-104,104
5058055,2026-04-17,CLE,BAL,,,-128,126,-128,126,8.5,8.5,8.5,8.5,118,-123,118,-123
5058056,2026-04-17,PHI,ATL,,,104,-107,104,-107,9.5,9.5,9.5,9.5,104,-109,104,-109
5058057,2026-04-17,PIT,TB,,,-125,119,-125,119,8.5,8.5,8.5,8.5,101,-104,101,-104
5058058,2026-04-17,WSH,SF,,,141,-145,141,-145,8.5,8.5,8.5,8.5,115,-125,115,-125
5058059,2026-04-17,NYY,KC,,,-175,163,-175,163,8.5,8.5,8.5,8.5,115,-120,115,-120
5058061,2026-04-17,MIA,MIL,,,-106,104,-106,104,8.5,8.5,8.5,8.5,108,-121,108,-121
5058060,2026-04-17,BOS,DET,,,-120,117,-120,117,7.5,7.5,7.5,7.5,-123,113,-123,113
5058062,2026-04-17,MIN,CIN,,,-159,155,-159,155,7.5,7.5,7.5,7.5,-112,108,-112,108
5058063,2026-04-17,HOU,STL,,,-125,120,-125,120,8.5,8.5,8.5,8.5,-121,111,-121,111
5058064,2026-04-17,COL,LAD,,,266,-272,266,-272,9.5,9.5,9.5,9.5,106,-113,106,-113
5058065,2026-04-17,LAA,SD,,,-126,124,-126,124,8.5,8.5,8.5,8.5,102,-106,102,-106
5058066,2026-04-17,OAK,CHW,,,-144,141,-144,141,9.5,9.5,9.5,9.5,105,-106,105,-106
5058067,2026-04-17,SEA,TEX,,,-127,119,-127,119,6.5,6.5,6.5,6.5,100,-112,100,-112
5058068,2026-04-17,ARI,TOR,,,-131,123,-131,123,8.5,8.5,8.5,8.5,-111,104,-111,104
