game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5057866,2026-04-03,WSH,LAD,6,13,229,-278,229,-278,16.5,16.5,16.5,16.5,-128,-101,-128,-101
5057867,2026-04-03,DET,STL,4,0,-175,154,-175,154,5.5,5.5,5.5,5.5,118,-154,118,-154
5057868,2026-04-03,NYY,MIA,8,2,-164,140,-164,140,8.5,8.5,8.5,8.5,113,-147,113,-147
5057869,2026-04-03,BOS,SD,5,2,-120,104,-120,104,7.5,7.5,7.5,7.5,-121,-107,-121,-107
5057870,2026-04-03,TEX,CIN,3,5,-164,145,-164,145,8.5,8.5,8.5,8.5,374,-581,374,-581
5057871,2026-04-03,CLE,CHC,4,1,100,-110,100,-110,5.5,5.5,5.5,5.5,100,-130,100,-130
5057872,2026-04-03,MIN,TB,10,4,-110,-110,-110,-110,10.5,10.5,10.5,10.5,-120,-108,-120,-108
5057873,2026-04-03,COL,PHI,1,10,154,-185,154,-185,18.5,18.5,18.5,18.5,-104,-124,-104,-124
5057874,2026-04-03,PIT,BAL,5,4,104,-115,104,-115,8.5,8.5,8.5,8.5,440,-730,440,-730
5057876,2026-04-03,LAA,SEA,1,3,135,-159,135,-159,3.5,3.5,3.5,3.5,-112,-116,-112,-116
5057877,2026-04-03,ARI,ATL,0,2,-105,-110,-105,-110,2.5,2.5,2.5,2.5,301,-439,301,-439
5057878,2026-04-03,OAK,HOU,11,4,-105,-110,-105,-110,11.5,11.5,11.5,11.5,100,-130,100,-130
5057879,2026-04-03,SF,NYM,3,10,110,-130,110,-130,10.5,10.5,10.5,10.5,101,-132,101,-132
6041984,2026-04-03,CHW,TOR,5,4,170,-200,170,-200,7.5,7.5,7.5,7.5,112,-146,112,-146
