game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5059209,2026-07-12,PIT,MIL,,,-113,111,-113,111,8.5,8.5,8.5,8.5,113,-115,113,-115
5059210,2026-07-12,BAL,KC,,,-141,138,-141,138,9.5,9.5,9.5,9.5,-106,100,-106,100
5059211,2026-07-12,WSH,NYY,,,104,-106,104,-106,9.5,9.5,9.5,9.5,113,-117,113,-117
5059212,2026-07-12,NYM,BOS,,,113,-117,113,-117,8.5,8.5,8.5,8.5,111,-117,111,-117
5059213,2026-07-12,CIN,CHC,,,120,-125,120,-125,9.5,9.5,9.5,9.5,102,-111,102,-111
5059214,2026-07-12,MIA,CLE,,,-102,100,-102,100,7.5,7.5,7.5,7.5,-113,104,-113,104
5059215,2026-07-12,DET,PHI,,,-120,117,-120,117,6.5,6.5,6.5,6.5,-133,122,-133,122
5059216,2026-07-12,TB,SEA,,,-133,130,-133,130,7.5,7.5,7.5,7.5,-108,102,-108,102
5059217,2026-07-12,MIN,LAA,,,-125,122,-125,122,9.5,9.5,9.5,9.5,115,-120,115,-120
5059218,2026-07-12,CHW,OAK,,,-125,120,-125,120,8.5,8.5,8.5,8.5,-113,106,-113,106
5059219,2026-07-12,STL,ATL,,,-120,115,-120,115,7.5,7.5,7.5,7.5,-115,106,-115,106
5059220,2026-07-12,TEX,HOU,,,-125,122,-125,122,8.5,8.5,8.5,8.5,-120,115,-120,115
5059221,2026-07-12,SF,COL,,,-133,128,-133,128,9.5,9.5,9.5,9.5,117,-130,117,-130
5059222,2026-07-12,LAD,ARI,,,-213,203,-213,203,9.5,9.5,9.5,9.5,104,-113,104,-113
5059223,2026-07-12,SD,TOR,,,115,-117,115,-117,8.5,8.5,8.5,8.5,-113,108,-113,108
