game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5059047,2026-06-30,BAL,CHW,,,-127,122,-127,122,10.5,10.5,10.5,10.5,102,-104,102,-104
5059048,2026-06-30,PHI,PIT,,,-223,217,-223,217,8.5,8.5,8.5,8.5,102,-104,102,-104
5059049,2026-06-30,CLE,TEX,,,106,-108,106,-108,7.5,7.5,7.5,7.5,-110,106,-110,106
5059050,2026-06-30,NYY,DET,,,-113,111,-113,111,7.5,7.5,7.5,7.5,117,-125,117,-125
5059051,2026-06-30,TOR,NYM,,,-111,106,-111,106,7.5,7.5,7.5,7.5,-115,113,-115,113
5059052,2026-06-30,BOS,WSH,,,-127,125,-127,125,9.5,9.5,9.5,9.5,117,-122,117,-122
5059053,2026-06-30,ATL,STL,,,-138,133,-138,133,9.5,9.5,9.5,9.5,117,-122,117,-122
5059054,2026-06-30,MIL,CIN,,,-156,153,-156,153,8.5,8.5,8.5,8.5,-122,120,-122,120
5059055,2026-06-30,KC,TB,,,115,-120,115,-120,9.5,9.5,9.5,9.5,-108,106,-108,106
5059056,2026-06-30,CHC,SD,,,-141,138,-141,138,11.5,11.5,11.5,11.5,113,-117,113,-117
5059057,2026-06-30,HOU,MIN,,,104,-106,104,-106,8.5,8.5,8.5,8.5,102,-108,102,-108
5059058,2026-06-30,COL,MIA,,,138,-141,138,-141,11.5,11.5,11.5,11.5,106,-115,106,-115
5059059,2026-06-30,SEA,LAA,,,-174,167,-174,167,7.5,7.5,7.5,7.5,122,-125,122,-125
5059060,2026-06-30,OAK,LAD,,,147,-153,147,-153,10.5,10.5,10.5,10.5,-125,120,-125,120
5059061,2026-06-30,ARI,SF,,,-102,100,-102,100,9.5,9.5,9.5,9.5,111,-117,111,-117
