game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5059085,2026-07-03,CHC,STL,,,-122,117,-122,117,10.5,10.5,10.5,10.5,-111,106,-111,106
5059086,2026-07-03,WSH,PIT,,,-138,135,-138,135,9.5,9.5,9.5,9.5,-104,100,-104,100
5059087,2026-07-03,NYY,MIN,,,-170,167,-170,167,9.5,9.5,9.5,9.5,-115,113,-115,113
5059088,2026-07-03,CIN,BAL,,,113,-115,113,-115,10.5,10.5,10.5,10.5,108,-111,108,-111
5059089,2026-07-03,CLE,CHW,,,-125,120,-125,120,8.5,8.5,8.5,8.5,113,-120,113,-120
5059090,2026-07-03,ATL,NYM,,,-106,104,-106,104,9.5,9.5,9.5,9.5,115,-117,115,-117
5059092,2026-07-03,COL,SF,,,138,-144,138,-144,11.5,11.5,11.5,11.5,117,-122,117,-122
5059091,2026-07-03,HOU,TB,,,100,-104,100,-104,8.5,8.5,8.5,8.5,-117,115,-117,115
5059093,2026-07-03,LAA,BOS,,,-102,100,-102,100,7.5,7.5,7.5,7.5,-106,104,-106,104
5059094,2026-07-03,OAK,MIA,,,-117,115,-117,115,10.5,10.5,10.5,10.5,-106,104,-106,104
5059095,2026-07-03,ARI,MIL,,,141,-144,141,-144,8.5,8.5,8.5,8.5,-120,113,-120,113
5059096,2026-07-03,LAD,SD,,,-239,223,-239,223,7.5,7.5,7.5,7.5,-120,113,-120,113
5059097,2026-07-03,SEA,TOR,,,113,-117,113,-117,7.5,7.5,7.5,7.5,125,-127,125,-127
