game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058177,2026-04-26,BAL,BOS,,,-131,128,-131,128,1.5,1.5,1.5,1.5,-101,-103,-101,-103
5058178,2026-04-26,ATL,PHI,,,-176,171,-176,171,2.5,2.5,2.5,2.5,113,-116,113,-116
5058179,2026-04-26,TOR,CLE,,,-126,121,-126,121,2.5,2.5,2.5,2.5,102,-108,102,-108
5058180,2026-04-26,NYM,COL,,,-208,201,-208,201,1.5,1.5,1.5,1.5,-109,104,-109,104
5058181,2026-04-26,CIN,DET,,,-102,-100,-102,-100,2.5,2.5,2.5,2.5,117,-127,117,-127
5058182,2026-04-26,TB,MIN,,,-136,135,-136,135,8.5,8.5,8.5,8.5,-114,109,-114,109
5058183,2026-04-26,HOU,NYY,,,121,-123,121,-123,9.5,9.5,9.5,9.5,-113,-101,-113,-101
5058184,2026-04-26,MIL,PIT,,,-117,116,-117,116,7.5,7.5,7.5,7.5,101,-107,101,-107
5058185,2026-04-26,CHW,WSH,,,-110,107,-110,107,7.5,7.5,7.5,7.5,-112,108,-112,108
5058186,2026-04-26,STL,SEA,,,125,-126,125,-126,8.5,8.5,8.5,8.5,-108,104,-108,104
5058187,2026-04-26,TEX,OAK,,,-115,112,-115,112,8.5,8.5,8.5,8.5,-106,103,-106,103
5058188,2026-04-26,SF,MIA,,,-124,118,-124,118,7.5,7.5,7.5,7.5,100,-105,100,-105
5058189,2026-04-26,ARI,SD,,,116,-120,116,-120,15.5,15.5,15.5,15.5,111,-116,111,-116
5058190,2026-04-26,LAD,CHC,,,-115,114,-115,114,9.5,9.5,9.5,9.5,104,-110,104,-110
6978332,2026-04-26,NYM,COL,,,-208,201,-208,201,1.5,1.5,1.5,1.5,-109,104,-109,104
5058191,2026-04-26,KC,LAA,,,-110,107,-110,107,8.5,8.5,8.5,8.5,-107,102,-107,102
