game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058029,2026-04-15,BAL,ARI,,,113,-139,113,-139,10.5,10.5,10.5,10.5,-106,-130,-106,-130
5058030,2026-04-15,STL,CLE,,,113,-129,113,-129,8.5,8.5,8.5,8.5,-114,-118,-114,-118
5058031,2026-04-15,MIN,BOS,,,-102,-106,-102,-106,7.5,7.5,7.5,7.5,-106,-105,-106,-105
5058032,2026-04-15,PHI,CHC,,,-129,127,-129,127,8.5,8.5,8.5,8.5,-130,120,-130,120
5058033,2026-04-15,DET,KC,,,-122,118,-122,118,8.5,8.5,8.5,8.5,-116,107,-116,107
5058034,2026-04-15,CIN,SF,,,101,-102,101,-102,9.5,9.5,9.5,9.5,105,-107,105,-107
5058035,2026-04-15,PIT,WSH,,,-166,161,-166,161,9.5,9.5,9.5,9.5,106,-121,106,-121
5058036,2026-04-15,NYY,LAA,,,-169,163,-169,163,10.5,10.5,10.5,10.5,-113,100,-113,100
5058037,2026-04-15,ATL,MIA,,,-158,152,-158,152,8.5,8.5,8.5,8.5,-128,117,-128,117
5058038,2026-04-15,CHW,TB,,,100,-103,100,-103,8.5,8.5,8.5,8.5,101,-111,101,-111
5058039,2026-04-15,MIL,TOR,,,113,-118,113,-118,7.5,7.5,7.5,7.5,-106,-105,-106,-105
5058040,2026-04-15,HOU,COL,,,-178,167,-178,167,8.5,8.5,8.5,8.5,-112,104,-112,104
5058041,2026-04-15,SD,SEA,,,-105,102,-105,102,7.5,7.5,7.5,7.5,-117,110,-117,110
5058042,2026-04-15,OAK,TEX,,,-110,109,-110,109,9.5,9.5,9.5,9.5,-104,-103,-104,-103
5058043,2026-04-15,LAD,NYM,,,-182,177,-182,177,7.5,7.5,7.5,7.5,-111,101,-111,101
