game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058617,2026-05-29,CIN,ATL,,,129,-132,129,-132,9.5,9.5,9.5,9.5,100,-102,100,-102
5058618,2026-05-29,PIT,MIN,,,-126,125,-126,125,8.5,8.5,8.5,8.5,115,-117,115,-117
5058619,2026-05-29,WSH,SD,,,-101,-100,-101,-100,9.5,9.5,9.5,9.5,111,-120,111,-120
5058620,2026-05-29,BAL,TOR,,,-108,106,-108,106,8.5,8.5,8.5,8.5,-110,107,-110,107
5058621,2026-05-29,TB,LAA,,,-167,164,-167,164,7.5,7.5,7.5,7.5,-115,111,-115,111
5058622,2026-05-29,CLE,BOS,,,-116,116,-116,116,7.5,7.5,7.5,7.5,-118,117,-118,117
5058623,2026-05-29,NYM,MIA,,,-110,105,-110,105,7.5,7.5,7.5,7.5,108,-110,108,-110
5058627,2026-05-29,STL,CHC,,,125,-127,125,-127,7.5,7.5,7.5,7.5,-119,118,-119,118
5058624,2026-05-29,CHW,DET,,,103,-107,103,-107,8.5,8.5,8.5,8.5,100,-105,100,-105
5058625,2026-05-29,TEX,KC,,,-116,116,-116,116,7.5,7.5,7.5,7.5,104,-105,104,-105
5058626,2026-05-29,HOU,MIL,,,109,-111,109,-111,8.5,8.5,8.5,8.5,102,-108,102,-108
5058628,2026-05-29,COL,SF,,,147,-153,147,-153,10.5,10.5,10.5,10.5,-112,108,-112,108
5058629,2026-05-29,OAK,NYY,,,138,-139,138,-139,9.5,9.5,9.5,9.5,103,-104,103,-104
5058630,2026-05-29,SEA,ARI,,,-140,136,-140,136,7.5,7.5,7.5,7.5,117,-120,117,-120
5058631,2026-05-29,LAD,PHI,,,-108,106,-108,106,8.5,8.5,8.5,8.5,109,-110,109,-110
