game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058801,2026-06-12,PIT,MIA,,,-132,129,-132,129,8.5,8.5,8.5,8.5,100,-104,100,-104
5058802,2026-06-12,WSH,SEA,,,130,-132,130,-132,9.5,9.5,9.5,9.5,109,-118,109,-118
5058803,2026-06-12,BAL,SD,,,-127,124,-127,124,9.5,9.5,9.5,9.5,111,-116,111,-116
5058806,2026-06-12,CLE,DET,,,-117,114,-117,114,8.5,8.5,8.5,8.5,-102,-104,-102,-104
5058807,2026-06-12,BOS,TEX,,,-122,120,-122,120,8.5,8.5,8.5,8.5,-102,-104,-102,-104
5058804,2026-06-12,CIN,ARI,,,-102,100,-102,100,9.5,9.5,9.5,9.5,-105,102,-105,102
5058805,2026-06-12,NYM,ATL,,,-115,114,-115,114,8.5,8.5,8.5,8.5,112,-113,112,-113
5058808,2026-06-12,TOR,NYY,,,-103,101,-103,101,7.5,7.5,7.5,7.5,-117,109,-117,109
5058809,2026-06-12,CHW,LAD,,,138,-140,138,-140,8.5,8.5,8.5,8.5,-122,116,-122,116
5058810,2026-06-12,MIL,PHI,,,-227,221,-227,221,7.5,7.5,7.5,7.5,-106,105,-106,105
5058811,2026-06-12,KC,HOU,,,105,-108,105,-108,9.5,9.5,9.5,9.5,104,-108,104,-108
5058812,2026-06-12,MIN,STL,,,-128,125,-128,125,8.5,8.5,8.5,8.5,-129,114,-129,114
5058813,2026-06-12,LAA,TB,,,156,-162,156,-162,8.5,8.5,8.5,8.5,-127,115,-127,115
5058814,2026-06-12,OAK,COL,,,-188,182,-188,182,13.5,13.5,13.5,13.5,-116,107,-116,107
5058815,2026-06-12,SF,CHC,,,-114,110,-114,110,8.5,8.5,8.5,8.5,105,-108,105,-108
