game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058427,2026-05-15,PIT,PHI,,,-126,122,-126,122,8.5,8.5,8.5,8.5,108,-112,108,-112
5058428,2026-05-15,DET,TOR,,,117,-121,117,-121,7.5,7.5,7.5,7.5,-128,107,-128,107
5058429,2026-05-15,WSH,BAL,,,126,-132,126,-132,9.5,9.5,9.5,9.5,-101,-110,-101,-110
5058430,2026-05-15,CLE,CIN,,,-131,122,-131,122,8.5,8.5,8.5,8.5,108,-120,108,-120
5058431,2026-05-15,TB,MIA,,,-116,114,-116,114,7.5,7.5,7.5,7.5,-112,105,-112,105
5058432,2026-05-15,NYM,NYY,,,141,-146,141,-146,7.5,7.5,7.5,7.5,117,-118,117,-118
5058435,2026-05-15,MIN,MIL,,,,,,,,,,,,,,
5058433,2026-05-15,ATL,BOS,,,-139,133,-139,133,7.5,7.5,7.5,7.5,-123,-101,-123,-101
5058434,2026-05-15,CHW,CHC,,,131,-137,131,-137,8.5,8.5,8.5,8.5,-108,-119,-108,-119
5058436,2026-05-15,HOU,TEX,,,101,-102,101,-102,8.5,8.5,8.5,8.5,-121,-102,-121,-102
5058437,2026-05-15,STL,KC,,,-106,-102,-106,-102,8.5,8.5,8.5,8.5,-112,-110,-112,-110
5058438,2026-05-15,COL,ARI,,,112,-115,112,-115,11.5,11.5,11.5,11.5,-116,105,-116,105
5058439,2026-05-15,LAA,LAD,,,207,-216,207,-216,9.5,9.5,9.5,9.5,120,-143,120,-143
5058440,2026-05-15,SEA,SD,,,-124,118,-124,118,7.5,7.5,7.5,7.5,118,-142,118,-142
5058441,2026-05-15,OAK,SF,,,-125,122,-125,122,9.5,9.5,9.5,9.5,-130,115,-130,115
