game_pk,Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
5058386,2026-05-12,CLE,LAA,,,-127,125,-127,125,8.5,8.5,8.5,8.5,100,-105,100,-105
5058387,2026-05-12,BAL,NYY,,,148,-150,148,-150,8.5,8.5,8.5,8.5,-108,102,-108,102
5058388,2026-05-12,PIT,COL,,,-300,294,-300,294,7.5,7.5,7.5,7.5,-109,100,-109,100
5058389,2026-05-12,CIN,WSH,,,-135,133,-135,133,10.5,10.5,10.5,10.5,105,-116,105,-116
5058390,2026-05-12,BOS,PHI,,,136,-136,136,-136,8.5,8.5,8.5,8.5,104,-116,104,-116
5058391,2026-05-12,TOR,TB,,,108,-112,108,-112,7.5,7.5,7.5,7.5,-118,107,-118,107
5058392,2026-05-12,NYM,DET,,,-136,132,-136,132,7.5,7.5,7.5,7.5,102,-103,102,-103
5058393,2026-05-12,ATL,CHC,,,-114,111,-114,111,8.5,8.5,8.5,8.5,-115,112,-115,112
5058394,2026-05-12,CHW,KC,,,112,-115,112,-115,9.5,9.5,9.5,9.5,-103,100,-103,100
5058395,2026-05-12,MIN,MIA,,,-103,101,-103,101,8.5,8.5,8.5,8.5,-130,116,-130,116
5058396,2026-05-12,MIL,SD,,,-123,120,-123,120,8.5,8.5,8.5,8.5,-117,102,-117,102
5058397,2026-05-12,TEX,ARI,,,-118,115,-118,115,7.5,7.5,7.5,7.5,-119,113,-119,113
5058398,2026-05-12,HOU,SEA,,,134,-137,134,-137,8.5,8.5,8.5,8.5,-115,110,-115,110
5058399,2026-05-12,OAK,STL,,,-139,135,-139,135,9.5,9.5,9.5,9.5,-113,-100,-113,-100
5058400,2026-05-12,LAD,SF,,,-279,273,-279,273,8.5,8.5,8.5,8.5,-127,113,-127,113
