Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-17,BOS,MIA,MIA,BOS,1,-1.5,-116,115,,,,,,115,-116,,,
2025-08-17,SF,TB,SF,TB,0,-1.5,173,-189,,,,,,173,-189,,,
2025-08-17,CIN,MIL,MIL,CIN,1,-1.5,172,-191,,,,,,-191,172,,,
2025-08-17,LAD,SD,LAD,SD,0,-1.5,153,-161,,,,,,153,-161,,,
2025-08-17,NYY,STL,NYY,STL,0,-1.5,113,-118,,,,,,113,-118,,,
2025-08-17,LAA,OAK,LAA,OAK,0,-1.5,141,-159,,,,,,141,-159,,,
2025-08-17,KAN,CWS,CWS,KAN,1,-1.5,123,-136,,,,,,-136,123,,,
2025-08-17,HOU,BAL,BAL,HOU,1,-1.5,163,-182,,,,,,-182,163,,,
2025-08-17,CLE,ATL,ATL,CLE,1,-1.5,181,-202,,,,,,-202,181,,,
2025-08-17,SEA,NYM,SEA,NYM,0,-1.5,141,-156,,,,,,141,-156,,,
2025-08-17,TOR,TEX,TEX,TOR,1,-1.5,184,-202,,,,,,-202,184,,,
2025-08-17,DET,MIN,DET,MIN,0,-1.5,135,-143,,,,,,135,-143,,,
2025-08-17,ARI,COL,ARI,COL,0,-1.5,108,-120,,,,,,108,-120,,,
2025-08-17,CHC,PIT,CHC,PIT,0,-1.5,120,-127,,,,,,120,-127,,,
