Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-12,NYM,TEX,NYM,TEX,0,-1.5,196,-210,,,,,,196,-210,,,
2025-09-12,ATL,HOU,HOU,ATL,1,-1.5,182,-199,,,,,,-199,182,,,
2025-09-12,CHC,TB,CHC,TB,0,-1.5,143,-152,,,,,,143,-152,,,
2025-09-12,CLE,CWS,CWS,CLE,1,-1.5,152,-169,,,,,,-169,152,,,
2025-09-12,OAK,CIN,CIN,OAK,1,-1.5,162,-185,,,,,,-185,162,,,
2025-09-12,LAD,SF,LAD,SF,0,-1.5,113,-123,,,,,,113,-123,,,
2025-09-12,TOR,BAL,BAL,TOR,1,-1.5,165,-185,,,,,,-185,165,,,
2025-09-12,DET,MIA,DET,MIA,0,-1.5,101,-104,,,,,,101,-104,,,
2025-09-12,NYY,BOS,NYY,BOS,0,-1.5,142,-148,,,,,,142,-148,,,
2025-09-12,MIN,ARI,ARI,MIN,1,-1.5,159,-165,,,,,,-165,159,,,
2025-09-12,MIL,STL,STL,MIL,1,-1.5,112,-123,,,,,,-123,112,,,
2025-09-12,SD,COL,SD,COL,0,-1.5,-123,119,,,,,,-123,119,,,
2025-09-12,PHI,KAN,KAN,PHI,1,-1.5,153,-168,,,,,,-168,153,,,
2025-09-12,WAS,PIT,PIT,WAS,1,-1.5,199,-218,,,,,,-218,199,,,
2025-09-12,SEA,LAA,LAA,SEA,1,-1.5,123,-129,,,,,,-129,123,,,
