Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-07,OAK,LAA,OAK,LAA,0,-1.5,133,-153,,,,,,133,-153,,,
2025-09-07,NYY,TOR,NYY,TOR,0,-1.5,122,-136,,,,,,122,-136,,,
2025-09-07,MIL,PIT,MIL,PIT,0,-1.5,129,-143,,,,,,129,-143,,,
2025-09-07,CIN,NYM,NYM,CIN,1,-1.5,173,-198,,,,,,-198,173,,,
2025-09-07,LAD,BAL,LAD,BAL,0,-1.5,101,-107,,,,,,101,-107,,,
2025-09-07,PHI,MIA,PHI,MIA,0,-1.5,125,-135,,,,,,125,-135,,,
2025-09-07,CHC,WAS,CHC,WAS,0,-1.5,119,-129,,,,,,119,-129,,,
2025-09-07,STL,SF,STL,SF,0,-1.5,158,-167,,,,,,158,-167,,,
2025-09-07,HOU,TEX,HOU,TEX,0,-1.5,127,-140,,,,,,127,-140,,,
2025-09-07,DET,CWS,CWS,DET,1,-1.5,117,-130,,,,,,-130,117,,,
2025-09-07,SD,COL,SD,COL,0,-1.5,-149,142,,,,,,-149,142,,,
2025-09-07,ARI,BOS,BOS,ARI,1,-1.5,187,-210,,,,,,-210,187,,,
2025-09-07,KAN,MIN,MIN,KAN,1,-1.5,170,-192,,,,,,-192,170,,,
