Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-04,BOS,KAN,KAN,BOS,1,-1.5,132,-141,,,,,,-141,132,,,
2025-08-04,PHI,BAL,BAL,PHI,1,-1.5,105,-116,,,,,,-116,105,,,
2025-08-04,MIL,ATL,MIL,ATL,0,-1.5,123,-133,,,,,,123,-133,,,
2025-08-04,SD,ARI,SD,ARI,0,-1.5,131,-144,,,,,,131,-144,,,
2025-08-04,LAA,TB,LAA,TB,0,-1.5,162,-172,,,,,,162,-172,,,
2025-08-04,LAD,STL,LAD,STL,0,-1.5,113,-125,,,,,,113,-125,,,
2025-08-04,NYY,TEX,NYY,TEX,0,-1.5,128,-138,,,,,,128,-138,,,
2025-08-04,TOR,COL,TOR,COL,0,-1.5,-135,126,,,,,,-135,126,,,
2025-08-04,DET,MIN,MIN,DET,1,-1.5,114,-129,,,,,,-129,114,,,
2025-08-04,MIA,HOU,HOU,MIA,1,-1.5,169,-183,,,,,,-183,169,,,
2025-08-04,NYM,CLE,NYM,CLE,0,-1.5,115,-125,,,,,,115,-125,,,
2025-08-04,CHC,CIN,CHC,CIN,0,-1.5,167,-175,,,,,,167,-175,,,
2025-08-04,SF,PIT,SF,PIT,0,-1.5,136,-150,,,,,,136,-150,,,
