Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-12,KAN,WAS,WAS,KAN,1,-1.5,115,-119,,,,,,-119,115,,,
2025-08-12,KAN,WAS,WAS,KAN,1,-0.5,-145,113,,,,,,113,-145,,,
2025-08-12,CLE,MIA,MIA,CLE,1,-1.5,162,-166,,,,,,-166,162,,,
2025-08-12,CLE,MIA,MIA,CLE,1,-0.5,106,-127,,,,,,-127,106,,,
2025-08-12,OAK,TB,TB,OAK,1,-1.5,172,-185,,,,,,-185,172,,,
2025-08-12,OAK,TB,TB,OAK,1,-0.5,110,-141,,,,,,-141,110,,,
2025-08-12,NYM,ATL,NYM,ATL,0,-1.5,159,-167,,,,,,159,-167,,,
2025-08-12,NYM,ATL,NYM,ATL,0,-0.5,114,-146,,,,,,114,-146,,,
2025-08-12,TEX,ARI,ARI,TEX,1,-1.5,152,-161,,,,,,-161,152,,,
2025-08-12,TEX,ARI,ARI,TEX,1,-0.5,101,-128,,,,,,-128,101,,,
2025-08-12,LAD,LAA,LAD,LAA,0,-1.5,-120,114,,,,,,-120,114,,,
2025-08-12,LAD,LAA,LAD,LAA,0,-0.5,-130,102,,,,,,-130,102,,,
2025-08-12,SF,SD,SF,SD,0,-1.5,188,-210,,,,,,188,-210,,,
2025-08-12,SF,SD,SF,SD,0,-0.5,-103,-120,,,,,,-103,-120,,,
2025-08-12,STL,COL,STL,COL,0,-1.5,116,-128,,,,,,116,-128,,,
2025-08-12,STL,COL,STL,COL,0,-0.5,-135,108,,,,,,-135,108,,,
2025-08-12,TOR,CHC,CHC,TOR,1,-1.5,171,-185,,,,,,-185,171,,,
2025-08-12,TOR,CHC,CHC,TOR,1,-0.5,116,-135,,,,,,-135,116,,,
2025-08-12,MIL,PIT,PIT,MIL,1,-1.5,175,-198,,,,,,-198,175,,,
2025-08-12,PIT,MIL,PIT,MIL,0,-0.5,122,-157,,,,,,122,-157,,,
2025-08-12,HOU,BOS,BOS,HOU,1,-1.5,181,-200,,,,,,-200,181,,,
2025-08-12,HOU,BOS,BOS,HOU,1,-0.5,117,-151,,,,,,-151,117,,,
2025-08-12,DET,CWS,DET,CWS,0,-0.5,-124,-103,,,,,,-124,-103,,,
2025-08-12,DET,CWS,DET,CWS,0,-1.5,-106,-106,,,,,,-106,-106,,,
2025-08-12,SEA,BAL,SEA,BAL,0,-1.5,102,-107,,,,,,102,-107,,,
2025-08-12,SEA,BAL,SEA,BAL,0,-0.5,-125,-102,,,,,,-125,-102,,,
2025-08-12,PHI,CIN,PHI,CIN,0,-1.5,110,-114,,,,,,110,-114,,,
2025-08-12,PHI,CIN,PHI,CIN,0,-0.5,-114,-112,,,,,,-114,-112,,,
2025-08-12,NYY,MIN,NYY,MIN,0,-1.5,-109,107,,,,,,-109,107,,,
