Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-20,MIN,CLE,CLE,MIN,1,-1.5,172,-198,,,,,,-198,172,,,
2025-09-20,DET,ATL,ATL,DET,1,-1.5,183,-190,,,,,,-190,183,,,
2025-09-20,TEX,MIA,MIA,TEX,1,-1.5,135,-141,,,,,,-141,135,,,
2025-09-20,HOU,SEA,SEA,HOU,1,-1.5,193,-223,,,,,,-223,193,,,
2025-09-20,TB,BOS,TB,BOS,0,-1.5,190,-210,,,,,,190,-210,,,
2025-09-20,OAK,PIT,OAK,PIT,0,-1.5,154,-170,,,,,,154,-170,,,
2025-09-20,SD,CWS,SD,CWS,0,-1.5,105,-110,,,,,,105,-110,,,
2025-09-20,NYY,BAL,NYY,BAL,0,-1.5,-118,115,,,,,,-118,115,,,
2025-09-20,NYM,WAS,NYM,WAS,0,-1.5,-123,118,,,,,,-123,118,,,
2025-09-20,ARI,PHI,PHI,ARI,1,-1.5,178,-206,,,,,,-206,178,,,
2025-09-20,LAD,SF,LAD,SF,0,-1.5,-110,102,,,,,,-110,102,,,
2025-09-20,TOR,KAN,TOR,KAN,0,-1.5,133,-135,,,,,,133,-135,,,
2025-09-20,CHC,CIN,CHC,CIN,0,-1.5,160,-173,,,,,,160,-173,,,
2025-09-20,MIL,STL,MIL,STL,0,-1.5,124,-135,,,,,,124,-135,,,
2025-09-20,LAA,COL,LAA,COL,0,-1.5,129,-133,,,,,,129,-133,,,
