Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-18,TOR,TB,TOR,TB,0,-1.5,143,-148,,,,,,143,-148,,,
2025-09-18,BOS,OAK,OAK,BOS,1,-1.5,151,-156,,,,,,-156,151,,,
2025-09-18,MIA,COL,MIA,COL,0,-1.5,-110,106,,,,,,-110,106,,,
2025-09-18,MIL,LAA,LAA,MIL,1,-1.5,-101,-108,,,,,,-108,-101,,,
2025-09-18,DET,CLE,CLE,DET,1,-1.5,103,-105,,,,,,-105,103,,,
2025-09-18,NYM,SD,NYM,SD,0,-1.5,153,-163,,,,,,153,-163,,,
2025-09-18,SEA,KAN,SEA,KAN,0,-1.5,142,-149,,,,,,142,-149,,,
2025-09-18,CIN,CHC,CHC,CIN,1,-1.5,148,-165,,,,,,-165,148,,,
2025-09-18,LAD,SF,LAD,SF,0,-1.5,129,-141,,,,,,129,-141,,,
2025-09-18,NYY,BAL,NYY,BAL,0,-1.5,-122,119,,,,,,-122,119,,,
