Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-06,NYY,TEX,NYY,TEX,0,-1.5,138,-147,,,,,,138,-147,,,
2025-08-06,MIA,HOU,HOU,MIA,1,-1.5,186,-202,,,,,,-202,186,,,
2025-08-06,TB,LAA,TB,LAA,0,-1.5,143,-161,,,,,,143,-161,,,
2025-08-06,NYM,CLE,NYM,CLE,0,-1.5,133,-143,,,,,,133,-143,,,
2025-08-06,OAK,WAS,OAK,WAS,0,-1.5,122,-130,,,,,,122,-130,,,
2025-08-06,CHC,CIN,CHC,CIN,0,-1.5,172,-179,,,,,,172,-179,,,
2025-08-06,TOR,COL,TOR,COL,0,-1.5,-160,152,,,,,,-160,152,,,
2025-08-06,SD,ARI,SD,ARI,0,-1.5,117,-127,,,,,,117,-127,,,
2025-08-06,LAD,STL,LAD,STL,0,-1.5,-105,-106,,,,,,-105,-106,,,
2025-08-06,SEA,CWS,CWS,SEA,1,-1.5,-114,108,,,,,,108,-114,,,
2025-08-06,BOS,KAN,KAN,BOS,1,-1.5,153,-172,,,,,,-172,153,,,
2025-08-06,ATL,MIL,MIL,ATL,1,-1.5,165,-182,,,,,,-182,165,,,
2025-08-06,DET,MIN,MIN,DET,1,-1.5,105,-114,,,,,,-114,105,,,
