Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-26,CHC,STL,CHC,STL,0,-1.5,114,-117,,,,,,114,-117,,,
2025-09-26,TOR,TB,TB,TOR,1,-1.5,122,-135,,,,,,-135,122,,,
2025-09-26,MIL,CIN,CIN,MIL,1,-1.5,130,-139,,,,,,-139,130,,,
2025-09-26,NYM,MIA,NYM,MIA,0,-1.5,128,-140,,,,,,128,-140,,,
2025-09-26,CLE,TEX,TEX,CLE,1,-1.5,140,-160,,,,,,-160,140,,,
2025-09-26,ATL,PIT,PIT,ATL,1,-1.5,133,-152,,,,,,-152,133,,,
2025-09-26,SD,ARI,SD,ARI,0,-1.5,158,-181,,,,,,158,-181,,,
2025-09-26,PHI,MIN,MIN,PHI,1,-1.5,143,-157,,,,,,-157,143,,,
2025-09-26,WAS,CWS,CWS,WAS,1,-1.5,161,-181,,,,,,-181,161,,,
2025-09-26,BOS,DET,DET,BOS,1,-1.5,171,-199,,,,,,-199,171,,,
2025-09-26,HOU,LAA,HOU,LAA,0,-1.5,119,-133,,,,,,119,-133,,,
2025-09-26,SEA,LAD,LAD,SEA,1,-1.5,173,-198,,,,,,-198,173,,,
2025-09-26,KAN,OAK,KAN,OAK,0,-1.5,135,-206,,,,,,135,-206,,,
2025-09-26,SF,COL,SF,COL,0,-1.5,-106,100,,,,,,-106,100,,,
2025-09-26,NYY,BAL,NYY,BAL,0,-1.5,144,-161,,,,,,144,-161,,,
