Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-06,NYY,TOR,NYY,TOR,0,-1.5,154,-161,,,,,,154,-161,,,
2025-09-06,CHC,WAS,CHC,WAS,0,-1.5,-108,-103,,,,,,-108,-103,,,
2025-09-06,PHI,MIA,PHI,MIA,0,-1.5,109,-124,,,,,,109,-124,,,
2025-09-06,NYM,CIN,NYM,CIN,0,-1.5,132,-143,,,,,,132,-143,,,
2025-09-06,MIL,PIT,MIL,PIT,0,-1.5,124,-134,,,,,,124,-134,,,
2025-09-06,SF,STL,SF,STL,0,-1.5,140,-148,,,,,,140,-148,,,
2025-09-06,DET,CWS,CWS,DET,1,-1.5,-123,109,,,,,,109,-123,,,
2025-09-06,TB,CLE,TB,CLE,0,-1.5,155,-173,,,,,,155,-173,,,
2025-09-06,ATL,SEA,SEA,ATL,1,-1.5,157,-174,,,,,,-174,157,,,
2025-09-06,BOS,ARI,BOS,ARI,0,-1.5,138,-159,,,,,,138,-159,,,
2025-09-06,LAD,BAL,LAD,BAL,0,-1.5,117,-132,,,,,,117,-132,,,
2025-09-06,MIN,KAN,MIN,KAN,0,-1.5,146,-167,,,,,,146,-167,,,
2025-09-06,LAA,OAK,LAA,OAK,0,-1.5,168,-192,,,,,,168,-192,,,
2025-09-06,TEX,HOU,HOU,TEX,1,-1.5,193,-219,,,,,,-219,193,,,
2025-09-06,SD,COL,SD,COL,0,-1.5,-128,120,,,,,,-128,120,,,
