Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-26,DET,OAK,DET,OAK,0,-1.5,121,-128,,,,,,121,-128,,,
2025-08-26,LAD,CIN,LAD,CIN,0,-1.5,120,-133,,,,,,120,-133,,,
2025-08-26,KAN,CWS,KAN,CWS,0,-1.5,144,-164,,,,,,144,-164,,,
2025-08-26,NYY,WAS,NYY,WAS,0,-1.5,123,-127,,,,,,123,-127,,,
2025-08-26,ATL,MIA,ATL,MIA,0,-1.5,137,-148,,,,,,137,-148,,,
2025-08-26,CLE,TB,TB,CLE,1,-1.5,182,-209,,,,,,-209,182,,,
2025-08-26,MIL,ARI,ARI,MIL,1,-1.5,151,-158,,,,,,-158,151,,,
2025-08-26,TOR,MIN,MIN,TOR,1,-1.5,118,-133,,,,,,-133,118,,,
2025-08-26,PHI,NYM,PHI,NYM,0,-1.5,155,-173,,,,,,155,-173,,,
2025-08-26,HOU,COL,COL,HOU,1,-1.5,-161,153,,,,,,153,-161,,,
2025-08-26,BOS,BAL,BOS,BAL,0,-1.5,152,-165,,,,,,152,-165,,,
2025-08-26,TEX,LAA,LAA,TEX,1,-1.5,199,-229,,,,,,-229,199,,,
2025-08-26,STL,PIT,STL,PIT,0,-1.5,175,-190,,,,,,175,-190,,,
2025-08-26,SEA,SD,SD,SEA,1,-1.5,183,-207,,,,,,-207,183,,,
2025-08-26,CHC,SF,CHC,SF,0,-1.5,128,-137,,,,,,128,-137,,,
