Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-22,TB,STL,TB,STL,0,-1.5,156,-159,,,,,,156,-159,,,
2025-08-22,MIL,SF,SF,MIL,1,-1.5,127,-133,,,,,,-133,127,,,
2025-08-22,ARI,CIN,CIN,ARI,1,-1.5,159,-174,,,,,,-174,159,,,
2025-08-22,LAD,SD,LAD,SD,0,-1.5,144,-163,,,,,,144,-163,,,
2025-08-22,PIT,COL,COL,PIT,1,-1.5,111,-115,,,,,,-115,111,,,
2025-08-22,SEA,OAK,OAK,SEA,1,-1.5,-101,-113,,,,,,-113,-101,,,
2025-08-22,MIN,CWS,MIN,CWS,0,-1.5,136,-137,,,,,,136,-137,,,
2025-08-22,CHC,LAA,CHC,LAA,0,-1.5,115,-125,,,,,,115,-125,,,
2025-08-22,TEX,CLE,CLE,TEX,1,-1.5,140,-148,,,,,,-148,140,,,
2025-08-22,BAL,HOU,HOU,BAL,1,-1.5,174,-197,,,,,,-197,174,,,
2025-08-22,ATL,NYM,NYM,ATL,1,-1.5,171,-179,,,,,,-179,171,,,
2025-08-22,TOR,MIA,TOR,MIA,0,-1.5,100,-109,,,,,,100,-109,,,
2025-08-22,NYY,BOS,NYY,BOS,0,-1.5,121,-129,,,,,,121,-129,,,
2025-08-22,PHI,WAS,WAS,PHI,1,-1.5,118,-123,,,,,,-123,118,,,
2025-08-22,DET,KAN,KAN,DET,1,-1.5,142,-155,,,,,,-155,142,,,
