Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-03,CHC,BAL,CHC,BAL,0,-1.5,120,-132,,,,,,120,-132,,,
2025-08-03,PIT,COL,PIT,COL,0,-1.5,106,-112,,,,,,106,-112,,,
2025-08-03,NYM,SF,NYM,SF,0,-1.5,132,-145,,,,,,132,-145,,,
2025-08-03,LAA,CWS,LAA,CWS,0,-1.5,165,-178,,,,,,165,-178,,,
2025-08-03,OAK,ARI,ARI,OAK,1,-1.5,159,-183,,,,,,-183,159,,,
2025-08-03,PHI,DET,DET,PHI,1,-1.5,115,-123,,,,,,-123,115,,,
2025-08-03,TEX,SEA,TEX,SEA,0,-1.5,126,-143,,,,,,126,-143,,,
2025-08-03,TOR,KAN,KAN,TOR,1,-1.5,154,-170,,,,,,-170,154,,,
2025-08-03,SD,STL,SD,STL,0,-1.5,120,-133,,,,,,120,-133,,,
2025-08-03,MIL,WAS,MIL,WAS,0,-1.5,117,-127,,,,,,117,-127,,,
2025-08-03,NYY,MIA,NYY,MIA,0,-1.5,158,-167,,,,,,158,-167,,,
2025-08-03,CLE,MIN,MIN,CLE,1,-1.5,135,-145,,,,,,-145,135,,,
