Date,Fav Team,Dog Team,Away,Home,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-15,BOS,MIA,MIA,BOS,1,-1.5,131,-144,,,,,,-144,131,,,
2025-08-15,HOU,BAL,BAL,HOU,1,-1.5,103,-110,,,,,,-110,103,,,
2025-08-15,LAD,SD,LAD,SD,0,-1.5,126,-134,,,,,,126,-134,,,
2025-08-15,DET,MIN,DET,MIN,0,-1.5,134,-140,,,,,,134,-140,,,
2025-08-15,CLE,ATL,ATL,CLE,1,-1.5,182,-199,,,,,,-199,182,,,
2025-08-15,MIL,CIN,MIL,CIN,0,-1.5,119,-131,,,,,,119,-131,,,
2025-08-15,ARI,COL,ARI,COL,0,-1.5,-127,121,,,,,,-127,121,,,
2025-08-15,KAN,CWS,CWS,KAN,1,-1.5,122,-130,,,,,,-130,122,,,
2025-08-15,SF,TB,SF,TB,0,-1.5,167,-180,,,,,,167,-180,,,
2025-08-15,NYY,STL,NYY,STL,0,-1.5,125,-141,,,,,,125,-141,,,
2025-08-15,OAK,LAA,LAA,OAK,1,-1.5,191,-215,,,,,,-215,191,,,
2025-08-15,PHI,WAS,PHI,WAS,0,-1.5,-104,101,,,,,,-104,101,,,
2025-08-15,NYM,SEA,NYM,SEA,0,-1.5,186,-199,,,,,,186,-199,,,
2025-08-15,TEX,TOR,TEX,TOR,0,-1.5,161,-181,,,,,,161,-181,,,
