game_pk,home_bp_hr_per_9_rolling_10,away_bp_hr_per_9_rolling_10
317775,,
318969,0.0,0.0
317733,,
317734,,
317735,,
317736,,
317738,,
317739,,
317742,,0.0
317746,,
317737,,
317740,,
317741,,
317743,,
317744,2.25,1.5
317745,,
317747,0.0,5.5102040816326525
317748,,
317749,,0.0
317750,0.0,0.0
317751,0.0,0.0
317752,0.0,0.0
317753,3.103448275862069,0.0
317754,0.0,1.8
317755,0.0,0.0
317756,1.0227272727272727,1.3043478260869565
317757,4.5,0.0
317758,0.0,0.0
317759,0.0,0.0
317760,0.0,3.068181818181818
317761,0.0,0.0
317762,0.0,1.8367346938775508
317763,1.125,0.0
317764,0.0,0.0
317765,0.0,1.3043478260869565
317766,0.0,0.0
317767,1.5,0.0
317768,3.6734693877551017,0.0
317769,2.6470588235294117,1.5
317770,0.0,0.0
317771,0.6081081081081081,0.6569343065693432
317772,2.25,3.6
317773,1.3043478260869565,0.0
317774,0.0,0.0
317776,0.0,0.0
317777,0.0,3.506493506493507
317778,1.3846153846153846,0.5625
317779,1.875,0.0
317780,2.25,0.0
317781,2.608695652173913,0.9090909090909091
317782,0.5,1.6216216216216217
317783,1.2,0.0
317784,0.0,2.2222222222222223
317785,0.6474820143884892,1.0112359550561798
317786,1.6071428571428572,1.5254237288135593
317787,1.8,1.0344827586206897
317788,1.0,3.076923076923077
317789,0.0,0.0
317790,1.8556701030927836,3.4285714285714284
317791,0.9,0.0
317792,1.0714285714285714,0.0
317793,1.8181818181818181,1.3953488372093024
317794,0.42857142857142855,1.1920529801324504
317796,0.6040268456375839,0.7692307692307693
317797,0.9375,1.2162162162162162
317798,1.8,0.8411214953271029
317799,1.0227272727272727,0.0
317800,0.703125,3.2335329341317367
317801,1.3333333333333333,2.88
317802,0.5769230769230769,1.1688311688311688
317803,0.6521739130434783,0.0
317804,1.6363636363636365,0.0
317805,1.2980769230769231,0.0
317806,1.2949640287769784,1.0650887573964498
317807,0.3614457831325301,1.4917127071823204
317808,0.9473684210526315,0.8490566037735849
317809,1.7475728155339805,1.6363636363636365
317810,1.1180124223602483,0.7086614173228347
317811,0.6164383561643836,1.4361702127659575
317812,1.0714285714285714,0.4864864864864865
317813,0.9183673469387754,0.8181818181818182
317814,0.6081081081081081,2.9032258064516134
317815,0.0,0.0
317816,1.0909090909090908,2.3225806451612905
317817,0.5113636363636364,0.9473684210526315
317818,0.5084745762711864,0.0
317819,1.3043478260869565,0.0
317820,1.0931174089068827,0.5113636363636364
317821,0.0,0.8780487804878049
317822,1.4634146341463414,1.7088607594936709
317823,0.5172413793103449,1.2980769230769231
317824,0.7964601769911503,0.6428571428571429
317825,0.5113636363636364,3.3333333333333335
317826,0.5325443786982249,0.0
317827,0.4864864864864865,0.8571428571428571
317828,0.4,1.1464968152866242
317829,0.43478260869565216,0.4368932038834951
317830,0.3488372093023256,1.3106796116504853
317831,1.8556701030927836,0.4945054945054945
317832,0.0,0.728744939271255
317833,0.4761904761904762,1.565217391304348
317834,1.2500000000000002,0.3829787234042553
317835,1.5254237288135595,1.5083798882681565
317836,0.861244019138756,1.0546875
317837,1.2587412587412588,0.4147465437788019
317838,3.076923076923077,1.2217194570135745
317839,0.0,0.5294117647058824
317840,0.6792452830188679,1.2162162162162162
317841,1.4917127071823204,0.6666666666666666
317842,1.0112359550561798,0.46153846153846156
317843,0.3829787234042553,1.0169491525423728
317844,0.32727272727272727,0.35433070866141736
317845,0.6474820143884892,1.1440677966101693
317846,1.4173228346456694,0.40540540540540543
317847,0.0,0.9090909090909091
317848,0.7531380753138076,1.3953488372093024
317849,1.0465116279069768,0.35294117647058826
317850,1.518987341772152,1.1297071129707115
317851,1.0843373493975905,0.9152542372881356
317852,1.1042944785276072,0.379746835443038
317853,3.188976377952756,1.120331950207469
317854,0.0,0.9090909090909091
317855,0.9183673469387755,1.1320754716981132
317856,1.8848167539267013,0.4864864864864865
317857,0.9090909090909091,0.43902439024390244
317858,0.6122448979591837,0.8695652173913043
317859,0.5538461538461539,0.6081081081081081
317860,1.2080536912751678,0.9782608695652173
317861,1.2286689419795223,0.7438016528925621
317862,0.0,0.8517350157728707
317863,1.135646687697161,1.3313609467455623
317864,1.3366336633663367,0.631578947368421
317865,1.348314606741573,1.0037174721189592
317866,1.007462686567164,0.8852459016393442
317867,0.9326424870466321,0.33962264150943394
317868,3.0681818181818183,1.0344827586206895
317869,0.0,0.7894736842105263
317870,0.8598726114649682,1.0344827586206897
317871,1.7061611374407581,1.255813953488372
317872,0.759493670886076,0.37037037037037035
317873,1.115702479338843,0.8881578947368421
317874,1.4713896457765667,0.594059405940594
317875,0.0,1.1612903225806452
317876,0.5555555555555556,1.0112359550561798
317877,1.25,0.3157894736842105
317878,1.3584905660377358,0.9278350515463917
317879,0.0,0.8450704225352113
317880,0.5714285714285714,0.6976744186046512
317881,0.4812834224598931,0.9473684210526315
317882,1.4342629482071712,1.153846153846154
317883,2.1649484536082473,0.7894736842105262
317884,1.135646687697161,0.9574468085106383
317885,1.1501597444089458,0.7377049180327868
317886,3.188976377952756,1.1904761904761905
317887,1.3670886075949367,0.594059405940594
317888,0.0,1.0650887573964498
317889,0.782608695652174,0.764872521246459
317890,0.49723756906077343,0.9407665505226481
317891,1.461038961038961,0.29508196721311475
317892,1.2286689419795223,1.0344827586206895
317893,0.0,0.8071748878923767
317894,0.5373134328358209,1.25
317895,0.4568527918781726,0.75
317896,1.135646687697161,1.1111111111111112
317897,1.2903225806451613,0.31802120141342755
317898,2.02572347266881,0.4986149584487534
317899,1.1726384364820848,1.267605633802817
317900,1.1111111111111112,0.7336956521739131
317901,1.894736842105263,1.0321100917431192
317902,1.3670886075949367,0.5572755417956655
317903,0.0,0.8463949843260188
317904,1.1726384364820848,0.5732484076433121
317905,0.5,1.0714285714285714
317906,1.4195583596214512,0.5389221556886228
317907,1.157556270096463,1.281138790035587
317908,0.0,0.7407407407407407
317909,0.5341246290801187,1.293103448275862
317910,0.6852791878172589,0.7894736842105262
317911,1.037463976945245,1.5450643776824033
317912,2.396449704142012,0.6593406593406593
317913,0.5504587155963302,1.097560975609756
317914,2.02572347266881,0.48780487804878053
317915,0.9090909090909091,0.9507042253521127
317916,0.8598726114649681,0.5172413793103449
317917,2.030075187969925,0.9473684210526315
317918,0.0,0.5678233438485804
317919,1.135646687697161,0.5341246290801186
317920,0.47244094488188976,0.8035714285714285
317921,1.232876712328767,1.4342629482071712
317922,0.8681672025723474,0.8490566037735849
317923,1.6853932584269664,1.1157024793388428
317924,0.6101694915254238,0.34220532319391633
317925,0.8823529411764706,1.1688311688311688
317926,1.267605633802817,0.46272493573264784
317927,1.8218623481781377,2.02572347266881
317928,0.8333333333333334,0.5471124620060791
317929,1.1157024793388428,0.8888888888888888
317930,0.5863192182410424,0.6870229007633588
317931,0.0,0.8282208588957055
317932,0.5504587155963302,0.6020066889632106
317933,0.9926470588235294,0.989010989010989
317934,2.53125,0.23560209424083772
317935,0.5607476635514018,0.8571428571428571
317936,0.5247813411078718,0.0
317937,1.2569832402234637,0.5521472392638036
317939,1.3300492610837438,1.4634146341463414
317938,0.3501945525291829,0.3435114503816794
317940,0.9183673469387754,0.909090909090909
317941,1.2328767123287672,0.24390243902439027
317942,1.3043478260869565,2.019230769230769
317943,0.8333333333333334,0.5787781350482315
317944,0.9926470588235293,0.7012987012987013
317945,0.5863192182410424,0.6699751861042184
317946,0.0,0.5714285714285715
317947,0.5504587155963302,0.3103448275862069
317948,0.9540636042402827,0.9677419354838709
317949,2.1875,0.2295918367346939
317950,0.5787781350482315,0.0
317951,0.254957507082153,0.0
317952,1.4673913043478262,0.2830188679245283
317953,0.33707865168539325,0.4017857142857143
317954,1.108374384236453,1.3584905660377358
317955,0.5921052631578948,0.9747292418772562
317956,1.3235294117647058,0.2647058823529412
317957,1.254355400696864,1.9014084507042255
317958,0.8881578947368421,0.5825242718446603
317959,0.6428571428571429,0.6683168316831684
317960,0.5863192182410424,1.174934725848564
317962,0.5863192182410423,0.3103448275862069
317963,0.9540636042402827,0.9890109890109888
317965,0.6382978723404256,0.0
317967,1.2228260869565217,0.2848101265822785
317968,0.5325443786982249,0.8108108108108109
317969,1.647597254004577,1.3138686131386863
317966,0.27692307692307694,0.0
317970,0.29126213592233013,1.0150375939849623
317971,1.0169491525423726,2.9136690647482015
317972,0.3629032258064517,1.6304347826086956
317974,0.5863192182410424,0.313588850174216
317975,0.7692307692307693,0.4591836734693877
317976,0.9183673469387755,0.0
317977,0.28662420382165604,0.0
317978,0.8544303797468354,0.29411764705882354
317979,1.5157894736842106,1.469387755102041
317980,0.9246575342465754,0.6642066420664207
317981,0.6206896551724138,0.6521739130434783
317982,1.2396694214876032,2.6865671641791047
317983,0.3629032258064517,1.814516129032258
317984,1.2569832402234637,1.0465116279069768
317985,0.2710843373493976,0.5863192182410424
