game_pk,date,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10
317829,2012-04-13,0.8571428571428571,1.0499947500262499,0.8571428571428571,1.0499947500262499
317830,2012-04-13,0.5714285714285714,1.0,0.5714285714285714,1.0
317831,2012-04-13,0.882347750895583,0.46153668639736,0.882347750895583,0.46153668639736
317832,2012-04-13,0.8571428571428571,1.5789556787140984,0.8571428571428571,1.5789556787140984
317833,2012-04-13,1.105268975099869,0.8571428571428571,1.105268975099869,0.8571428571428571
317834,2012-04-13,1.5,3.74995312558593,1.5,3.74995312558593
317835,2012-04-13,0.75,0.42857142857142855,0.75,0.42857142857142855
317836,2012-04-13,2.3077100593081483,2.0,2.3077100593081483,2.0
317837,2012-04-13,0.6666666666666666,1.5,0.6666666666666666,1.5
317838,2012-04-13,0.9767464575499012,1.1351382030762245,0.9767464575499012,1.1351382030762245
317839,2012-04-13,1.3333333333333333,1.0,1.3333333333333333,1.0
317840,2012-04-13,2.769252071169778,0.2857142857142857,2.769252071169778,0.2857142857142857
317841,2012-04-13,1.7142734694752182,1.4210601108426886,1.7142734694752182,1.4210601108426886
317842,2012-04-13,1.2,1.0,1.2,1.0
317843,2012-04-14,1.499989285790816,1.0,1.499989285790816,1.0
317844,2012-04-14,2.25,2.0,2.25,2.0
317845,2012-04-14,0.8333333333333334,0.625,0.8333333333333334,0.625
317846,2012-04-14,0.44999775001125,1.4,0.44999775001125,1.4
317847,2012-04-14,1.2,1.5882259516120494,1.2,1.5882259516120494
317848,2012-04-14,1.4,0.0,1.4,0.0
317849,2012-04-14,1.2352868512538162,0.0,1.2352868512538162,0.0
317850,2012-04-14,1.0,1.0,1.0,1.0
317851,2012-04-14,2.0,0.8333333333333334,2.0,0.8333333333333334
317852,2012-04-14,1.0,1.0,1.0,1.0
317853,2012-04-14,3.0,0.75,3.0,0.75
317854,2012-04-14,0.4444444444444444,0.0,0.4444444444444444,0.0
317855,2012-04-14,0.0,0.0,0.0,0.0
317856,2012-04-14,2.5,0.80768920119538,2.5,0.80768920119538
317857,2012-04-14,1.1666666666666667,2.1176346021493995,1.1666666666666667,2.1176346021493995
317858,2012-04-15,1.4285714285714286,0.0,1.4285714285714286,0.0
317859,2012-04-15,0.0,1.3333333333333333,0.0,1.3333333333333333
317860,2012-04-15,1.1250070312939455,2.5,1.1250070312939455,2.5
317861,2012-04-15,1.0,2.0,1.0,2.0
317862,2012-04-15,0.6,1.3333333333333333,0.6,1.3333333333333333
317863,2012-04-15,1.5882259516120494,0.5714285714285714,1.5882259516120494,0.5714285714285714
317864,2012-04-15,0.7499962500187499,1.1428571428571428,0.7499962500187499,1.1428571428571428
317865,2012-04-15,1.105268975099869,1.1666666666666667,1.105268975099869,1.1666666666666667
317866,2012-04-15,1.4,1.6,1.4,1.6
317867,2012-04-15,1.500009375058594,1.9411650519702826,1.500009375058594,1.9411650519702826
317868,2012-04-15,1.105268975099869,1.1666666666666667,1.105268975099869,1.1666666666666667
317869,2012-04-15,0.0,1.0,0.0,1.0
317870,2012-04-15,0.7,1.25,0.7,1.25
317871,2012-04-15,1.4,1.34999325003375,1.4,1.34999325003375
317872,2012-04-15,0.0,0.8571428571428571,0.0,0.8571428571428571
317873,2012-04-16,0.0,0.7317055324255307,0.0,0.7317055324255307
317874,2012-04-16,0.8333333333333334,0.5510215326970055,0.8333333333333334,0.5510215326970055
317875,2012-04-16,0.8461538461538461,2.0,0.8461538461538461,2.0
317876,2012-04-16,1.499989285790816,1.024387745395743,1.499989285790816,1.024387745395743
317877,2012-04-16,1.6,1.6875105469409182,1.6,1.6875105469409182
317878,2012-04-16,0.8571428571428571,1.2777777777777777,0.8571428571428571,1.2777777777777777
317879,2012-04-16,2.21741058617901,0.5333333333333333,2.21741058617901,0.5333333333333333
317880,2012-04-16,0.8571428571428571,1.3333333333333333,0.8571428571428571,1.3333333333333333
317881,2012-04-16,1.7419411030358163,1.8,1.7419411030358163,1.8
317882,2012-04-16,1.8,1.4615384615384615,1.8,1.4615384615384615
317883,2012-04-17,1.5428527347064724,1.411756401432933,1.5428527347064724,1.411756401432933
317884,2012-04-17,2.4827500594825533,0.9069725257091827,2.4827500594825533,0.9069725257091827
317885,2012-04-17,0.5250013125032812,1.0,0.5250013125032812,1.0
317886,2012-04-17,1.1666666666666667,0.9230769230769231,1.1666666666666667,0.9230769230769231
317887,2012-04-17,0.8181818181818182,1.75,0.8181818181818182,1.75
317888,2012-04-17,1.1249964843859863,1.323533304509719,1.1249964843859863,1.323533304509719
317889,2012-04-17,1.7812444336111448,0.6279084369963651,1.7812444336111448,0.6279084369963651
317890,2012-04-17,1.75,2.2222222222222223,1.75,2.2222222222222223
317891,2012-04-17,1.4,1.2,1.4,1.2
317892,2012-04-17,2.129039125932664,0.0,2.129039125932664,0.0
317893,2012-04-17,1.323533304509719,0.5714285714285714,1.323533304509719,0.5714285714285714
317894,2012-04-17,1.3421017313112336,1.2727272727272727,1.3421017313112336,1.2727272727272727
317895,2012-04-17,1.406245605482483,1.1538550296540742,1.406245605482483,1.1538550296540742
317896,2012-04-17,0.8250020625051563,1.2,0.8250020625051563,1.2
317897,2012-04-17,0.9333333333333333,1.026313088649767,0.9333333333333333,1.026313088649767
317898,2012-04-18,0.9473659279844001,1.1538461538461537,0.9473659279844001,1.1538461538461537
317899,2012-04-18,1.3783821037354154,0.7499982954584193,1.3783821037354154,0.7499982954584193
317900,2012-04-18,1.7812444336111453,1.758614625466809,1.7812444336111453,1.758614625466809
317901,2012-04-18,0.9818199669453944,1.2438994051234022,0.9818199669453944,1.2438994051234022
317902,2012-04-18,2.217381663557984,1.84614674558944,2.217381663557984,1.84614674558944
317903,2012-04-18,0.7857142857142857,1.2727272727272727,0.7857142857142857,1.2727272727272727
317904,2012-04-18,1.3124958984503172,1.3,1.3124958984503172,1.3
317905,2012-04-18,1.3902405116085084,0.0,1.3902405116085084,0.0
317906,2012-04-18,2.0357215561484145,1.4615384615384615,2.0357215561484145,1.4615384615384615
317907,2012-04-18,1.5428527347064724,0.9310360879932551,1.5428527347064724,0.9310360879932551
317908,2012-04-18,0.6,0.6923076923076923,0.6,0.6923076923076923
317909,2012-04-18,1.9354713840555868,1.2857106122553936,1.9354713840555868,1.2857106122553936
317910,2012-04-18,1.6551667063217022,0.9230769230769231,1.6551667063217022,0.9230769230769231
317911,2012-04-18,0.7857142857142857,1.7142918367565596,0.7857142857142857,1.7142918367565596
317912,2012-04-18,1.1052602493151336,0.8250020625051562,1.1052602493151336,0.8250020625051562
317913,2012-04-19,2.0,1.0540569028564941,2.0,1.0540569028564941
317914,2012-04-19,1.1142825306213413,0.9230769230769231,1.1142825306213413,0.9230769230769231
317915,2012-04-19,1.0,1.097558298638296,1.0,1.097558298638296
317916,2012-04-19,1.6153784023907602,1.0243952409523949,1.6153784023907602,1.0243952409523949
317917,2012-04-19,1.1250017578152465,1.6,1.1250017578152465,1.6
317918,2012-04-19,0.6428571428571429,1.0769230769230769,0.6428571428571429,1.0769230769230769
317919,2012-04-19,2.3571512755402693,1.6875105469409182,2.3571512755402693,1.6875105469409182
317920,2012-04-19,2.125,1.25,2.125,1.25
317921,2012-04-19,1.1538461538461537,0.8571428571428571,1.1538461538461537,0.8571428571428571
317922,2012-04-19,1.6,1.5,1.6,1.5
317923,2012-04-19,0.9230769230769231,1.243899405123402,0.9230769230769231,1.243899405123402
317924,2012-04-19,0.8,2.2058693772389577,0.8,2.2058693772389577
317925,2012-04-20,1.0500026250065624,1.0,1.0500026250065624,1.0
317926,2012-04-20,2.9999625004687442,2.1724063020472344,2.9999625004687442,2.1724063020472344
317927,2012-04-20,1.3636363636363635,1.028568489804315,1.3636363636363635,1.028568489804315
317928,2012-04-20,1.1818181818181819,1.714280816340525,1.1818181818181819,1.714280816340525
317929,2012-04-20,1.2727272727272727,1.3333333333333333,1.2727272727272727,1.3333333333333333
317930,2012-04-20,0.7692307692307693,2.0,0.7692307692307693,2.0
317931,2012-04-20,1.1,1.3333333333333333,1.1,1.3333333333333333
317932,2012-04-20,1.1666666666666667,0.42857142857142855,1.1666666666666667,0.42857142857142855
317933,2012-04-20,1.6153846153846154,1.1666666666666667,1.6153846153846154,1.1666666666666667
317934,2012-04-20,1.7272727272727273,1.5384615384615385,1.7272727272727273,1.5384615384615385
317935,2012-04-20,1.5294117647058822,1.2162195032959546,1.5294117647058822,1.2162195032959546
317936,2012-04-20,0.9473659279844001,0.6875,0.9473659279844001,0.6875
317937,2012-04-20,1.4,0.75,1.4,0.75
317939,2012-04-20,1.645166597311604,1.0263211911641639,1.645166597311604,1.0263211911641639
317938,2012-04-21,0.7105272506937509,1.0833333333333333,0.7105272506937509,1.0833333333333333
317940,2012-04-21,1.0,1.3529411764705883,1.0,1.3529411764705883
