game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
529920,2018-05-06,113,146,Cincinnati Reds,Miami Marlins,33,32,124.7,132.5,118,123,0.95,0.93,67,69,0.54,0.52,57,62,0.46,0.47,115,145,0.92,1.09,14,16,0.11,0.12,4.84,4.69,1.4,1.4,8.3,9.85,2.02,2.34,1.01,1.09,4.11,4.21
529924,2018-05-06,144,137,Atlanta Braves,San Francisco Giants,32,33,124.0,120.5,95,114,0.77,0.95,53,46,0.43,0.38,78,49,0.63,0.41,129,104,1.04,0.86,7,10,0.06,0.08,3.85,3.44,1.4,1.35,9.36,7.77,1.65,2.12,0.51,0.75,5.66,3.66
529923,2018-05-06,158,134,Milwaukee Brewers,Pittsburgh Pirates,34,33,129.9,117.0,89,114,0.69,0.97,34,56,0.26,0.48,48,50,0.37,0.43,144,118,1.11,1.01,9,9,0.07,0.08,2.36,4.31,1.05,1.4,9.98,9.08,3.0,2.36,0.62,0.69,3.33,3.85
529922,2018-05-06,120,143,Washington Nationals,Philadelphia Phillies,33,32,104.5,120.3,86,89,0.82,0.74,51,37,0.49,0.31,41,54,0.39,0.45,108,117,1.03,0.97,15,9,0.14,0.07,4.39,2.77,1.22,1.19,9.3,8.75,2.63,2.17,1.29,0.67,3.53,4.04
529921,2018-05-06,145,142,Chicago White Sox,Minnesota Twins,31,28,120.3,113.8,125,127,1.04,1.12,56,70,0.47,0.62,56,49,0.47,0.43,120,119,1.0,1.05,12,22,0.1,0.19,4.19,5.54,1.5,1.55,8.98,9.41,2.14,2.43,0.9,1.74,4.19,3.88
529925,2018-05-06,139,141,Tampa Bay Rays,Toronto Blue Jays,31,34,129.5,119.1,121,110,0.93,0.92,62,39,0.48,0.33,47,44,0.36,0.37,120,115,0.93,0.97,14,12,0.11,0.1,4.31,2.95,1.3,1.29,8.34,8.69,2.55,2.61,0.97,0.91,3.27,3.32
529919,2018-05-06,135,119,San Diego Padres,Los Angeles Dodgers,34,33,140.0,125.9,112,120,0.8,0.95,51,61,0.36,0.48,48,56,0.34,0.44,147,139,1.05,1.1,9,18,0.06,0.14,3.28,4.36,1.14,1.4,9.45,9.94,3.06,2.48,0.58,1.29,3.09,4.0
529915,2018-05-06,121,115,New York Mets,Colorado Rockies,31,34,119.0,117.5,99,100,0.83,0.85,50,62,0.42,0.53,50,48,0.42,0.41,121,120,1.02,1.02,14,12,0.12,0.1,3.78,4.75,1.25,1.26,9.15,9.19,2.42,2.5,1.06,0.92,3.78,3.68
529917,2018-05-06,109,117,Arizona Diamondbacks,Houston Astros,32,33,120.4,91.5,80,76,0.66,0.83,29,34,0.24,0.37,41,28,0.34,0.31,107,101,0.89,1.1,6,8,0.05,0.09,2.17,3.34,1.0,1.14,8.0,9.93,2.61,3.61,0.45,0.79,3.06,2.75
529916,2018-05-06,118,116,Kansas City Royals,Detroit Tigers,33,32,112.1,122.3,122,119,1.09,0.97,71,63,0.63,0.52,46,52,0.41,0.43,75,109,0.67,0.89,15,13,0.13,0.11,5.7,4.64,1.5,1.4,6.02,8.02,1.63,2.1,1.2,0.96,3.69,3.83
529914,2018-05-06,147,114,New York Yankees,Cleveland Indians,32,30,122.9,97.4,103,93,0.84,0.95,46,53,0.37,0.54,44,33,0.36,0.34,172,96,1.4,0.99,13,15,0.11,0.15,3.37,4.9,1.2,1.29,12.6,8.87,3.91,2.91,0.95,1.39,3.22,3.05
529913,2018-05-06,138,112,St. Louis Cardinals,Chicago Cubs,31,30,108.8,112.8,103,89,0.95,0.79,42,34,0.39,0.3,48,51,0.44,0.45,99,108,0.91,0.96,11,7,0.1,0.06,3.47,2.71,1.39,1.24,8.19,8.62,2.06,2.12,0.91,0.56,3.97,4.07
529912,2018-05-06,140,111,Texas Rangers,Boston Red Sox,35,33,129.0,119.3,128,100,0.99,0.84,65,44,0.5,0.37,47,38,0.36,0.32,112,130,0.87,1.09,13,10,0.1,0.08,4.53,3.32,1.36,1.16,7.81,9.81,2.38,3.42,0.91,0.75,3.28,2.87
529911,2018-05-06,133,110,Oakland Athletics,Baltimore Orioles,32,33,119.5,127.5,123,119,1.03,0.93,51,62,0.43,0.49,37,50,0.31,0.39,105,124,0.88,0.97,18,14,0.15,0.11,3.84,4.38,1.34,1.33,7.91,8.75,2.84,2.48,1.36,0.99,2.79,3.53
529918,2018-05-06,136,108,Seattle Mariners,Los Angeles Angels,32,33,118.4,145.6,96,137,0.81,0.94,51,58,0.43,0.4,39,57,0.33,0.39,131,140,1.11,0.96,17,19,0.14,0.13,3.88,3.59,1.14,1.33,9.96,8.65,3.36,2.46,1.29,1.17,2.96,3.52
