Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-19,Cincinnati Reds,Nick Martinez,3.98,1.22,81.1,60.0,.264,3.77,1.2,571.9,528.0,Minnesota Twins,Chris Paddack,4.3,1.23,75.1,53,.246,3.84,1.22,563.9,578
2025-06-19,Washington Nationals,Trevor Williams,5.71,1.43,69.1,52.0,.293,4.87,1.37,581.9,531.0,Colorado Rockies,Chase Dollander,6.57,1.54,50.2,46,.265,5.44,1.57,592.9,447
2025-06-19,New York Yankees,Carlos Rodón,3.01,0.99,89.2,107.0,.178,3.61,1.22,558.0,571.0,Los Angeles Angels,Tyler Anderson,4.44,1.37,75.0,61,.249,4.66,1.47,568.1,498
2025-06-19,Detroit Tigers,Tarik Skubal,1.99,0.81,90.1,111.0,.197,3.55,1.24,568.0,514.0,Pittsburgh Pirates,Andrew Heaney,3.33,1.11,78.1,59,.218,3.8,1.2,578.0,490
2025-06-19,Detroit Tigers,TBD,,,,,,,,,,Pittsburgh Pirates,Paul Skenes,1.78,0.85,96.0,97,.176,4.08,1.25,560.1,452
2025-06-19,Chicago White Sox,Sean Burke,4.71,1.44,70.2,54.0,.254,4.17,1.41,559.9,472.0,St. Louis Cardinals,Erick Fedde,3.65,1.28,79.0,51,.231,4.01,1.27,567.2,470
2025-06-19,Chicago White Sox,Mike Vasil,1.99,1.28,45.1,32.0,.198,4.4,1.42,585.0,494.0,St. Louis Cardinals,Michael McGreevy,3.09,0.86,11.2,10,.205,3.99,1.28,635.0,511
2025-06-19,Chicago Cubs,Jameson Taillon,3.48,0.98,82.2,65.0,.212,3.57,1.25,572.0,501.0,Milwaukee Brewers,Freddy Peralta,2.6,1.13,83.0,84,.205,3.97,1.32,572.1,527
2025-06-19,Texas Rangers,Shawn Armstrong,2.9,0.97,31.0,35.0,.159,3.2,1.15,616.0,548.0,Kansas City Royals,Michael Wacha,3.38,1.23,80.0,60,.250,3.4,1.21,579.2,546
2025-06-19,Toronto Blue Jays,Kevin Gausman,4.08,1.07,81.2,80.0,.221,4.18,1.26,568.0,571.0,Arizona Diamondbacks,Ryne Nelson,4.14,1.14,50.0,41,.217,4.88,1.38,600.1,571
2025-06-19,San Francisco Giants,Logan Webb,2.58,1.12,94.1,105.0,.243,3.37,1.24,559.1,525.0,Cleveland Guardians,Gavin Williams,3.89,1.47,69.1,72,.240,3.93,1.37,565.0,531
2025-06-19,Miami Marlins,Edward Cabrera,4.1,1.46,52.2,58.0,.262,5.07,1.42,586.8,506.0,Philadelphia Phillies,Cristopher Sánchez,3.05,1.24,79.2,88,.235,4.03,1.3,583.8,600
2025-06-19,Atlanta Braves,Spencer Strider,4.35,1.16,31.0,37.0,.214,3.67,1.22,606.1,619.0,New York Mets,Clay Holmes,2.87,1.17,78.1,68,.232,3.02,1.26,582.9,578
2025-06-19,Tampa Bay Rays,Drew Rasmussen,2.55,0.95,74.0,62.0,.208,3.61,1.2,589.1,534.0,Baltimore Orioles,Charlie Morton,6.05,1.66,61.0,67,.283,4.87,1.41,577.1,531
2025-06-19,Athletics,Jacob Lopez,4.8,1.5,30.0,40.0,.267,5.58,1.51,644.0,561.0,Houston Astros,Colton Gordon,4.7,1.34,30.2,30,.296,3.36,1.14,622.9,693
2025-06-19,Los Angeles Dodgers,Yoshinobu Yamamoto,2.64,1.09,78.1,90.0,.195,4.36,1.34,591.9,574.0,San Diego Padres,Ryan Bergert,2.33,0.98,19.1,16,.167,3.65,1.23,626.1,623
