Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-13,Chicago Cubs,Cade Horton,3.47,1.21,36.1,29,.255,3.64,1.24,590.1,515,Pittsburgh Pirates,Paul Skenes,1.78,0.85,96.0,97,.176,4.09,1.25,535.0,431
2025-06-13,Philadelphia Phillies,Ranger Suárez,2.32,1.07,50.1,44,.222,4.08,1.32,568.9,601,Toronto Blue Jays,Kevin Gausman,4.08,1.07,81.2,80,.221,4.13,1.25,534.0,540
2025-06-13,Washington Nationals,Mitchell Parker,4.84,1.35,74.1,50,.246,4.94,1.38,526.9,488,Miami Marlins,Edward Cabrera,4.1,1.46,52.2,58,.262,5.15,1.42,536.0,471
2025-06-13,Baltimore Orioles,Charlie Morton,6.05,1.66,61.0,67,.283,4.83,1.39,530.1,484,Los Angeles Angels,Jack Kochanowicz,5.53,1.59,71.2,50,.295,4.64,1.48,523.0,453
2025-06-13,Detroit Tigers,Brant Hurter,1.72,0.98,36.2,35,.203,3.31,1.18,592.0,567,Cincinnati Reds,Nick Martinez,3.92,1.22,80.1,58,.264,3.83,1.2,536.9,500
2025-06-13,New York Mets,Clay Holmes,2.87,1.17,78.1,68,.232,2.88,1.24,544.1,549,Tampa Bay Rays,Taj Bradley,4.35,1.28,78.2,71,.234,3.39,1.15,536.9,481
2025-06-13,Boston Red Sox,Garrett Crochet,2.24,1.03,96.1,117,.202,4.36,1.38,542.1,477,New York Yankees,Ryan Yarbrough,3.96,1.18,50.0,46,.230,3.61,1.2,551.0,587
2025-06-13,Atlanta Braves,Bryce Elder,4.45,1.27,60.2,51,.252,3.67,1.24,537.9,550,Colorado Rockies,Germán Márquez,6.62,1.66,68.0,48,.318,5.5,1.58,529.2,417
2025-06-13,Texas Rangers,Shawn Armstrong,3.0,1.0,30.0,34,.163,3.15,1.15,575.0,506,Chicago White Sox,Adrian Houser,2.15,1.19,29.1,22,.238,4.3,1.4,570.1,481
2025-06-13,Kansas City Royals,Michael Wacha,3.16,1.21,79.2,60,.246,3.45,1.22,540.0,506,Athletics,Luis Severino,4.66,1.31,87.0,60,.254,5.76,1.55,537.0,499
2025-06-13,Houston Astros,Colton Gordon,4.71,1.36,28.2,27,.299,3.43,1.16,574.9,639,Minnesota Twins,Chris Paddack,4.36,1.24,74.1,53,.246,3.87,1.23,527.9,539
2025-06-13,Milwaukee Brewers,Freddy Peralta,2.63,1.13,82.0,84,.204,3.97,1.33,543.1,498,St. Louis Cardinals,Erick Fedde,3.43,1.26,78.2,51,.226,4.07,1.28,539.0,438
2025-06-13,Arizona Diamondbacks,Ryne Nelson,4.6,1.11,45.0,38,.207,4.78,1.37,562.0,539,San Diego Padres,Stephen Kolek,3.0,1.24,42.0,29,.237,3.47,1.22,554.0,552
2025-06-13,Seattle Mariners,Luis Castillo,3.31,1.3,73.1,60,.252,4.16,1.33,533.9,484,Cleveland Guardians,Gavin Williams,3.86,1.42,65.1,71,.234,3.89,1.35,526.1,498
2025-06-13,Los Angeles Dodgers,Yoshinobu Yamamoto,2.2,1.0,73.2,86,.186,4.42,1.36,542.8,528,San Francisco Giants,Logan Webb,2.58,1.16,87.1,101,.252,3.23,1.23,523.1,498
