Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-08,Tampa Bay Rays,Drew Rasmussen,2.22,0.9,69.0,59,.196,3.66,1.19,513.1,451,Miami Marlins,Anthony Veneziano,4.12,1.53,19.2,19,.269,5.06,1.42,540.8,482
2025-06-08,Milwaukee Brewers,Freddy Peralta,2.69,1.16,77.0,78,.206,4.0,1.33,505.1,461,San Diego Padres,Ryan Bergert,1.26,0.98,14.1,8,.167,3.5,1.21,550.9,542
2025-06-08,Washington Nationals,Trevor Williams,6.03,1.44,59.2,47,.293,4.79,1.37,503.8,461,Texas Rangers,Jacob Latz,2.95,1.42,18.1,20,.254,3.13,1.12,546.9,485
2025-06-08,Pittsburgh Pirates,Paul Skenes,1.94,0.86,88.1,91,.178,4.21,1.27,493.9,396,Philadelphia Phillies,Cristopher Sánchez,3.06,1.3,70.2,81,.241,4.15,1.31,507.8,525
2025-06-08,Cincinnati Reds,Brady Singer,4.59,1.35,68.2,56,.248,3.62,1.18,512.8,468,Arizona Diamondbacks,Zac Gallen,5.03,1.31,78.2,74,.227,4.82,1.34,496.8,475
2025-06-08,Detroit Tigers,Jack Flaherty,3.45,1.08,70.1,84,.206,3.14,1.17,522.0,480,Chicago Cubs,Cade Horton,3.6,1.3,30.0,23,.271,3.67,1.23,547.0,479
2025-06-08,Cleveland Guardians,Tanner Bibee,3.62,1.18,74.2,60,.233,4.0,1.4,486.8,478,Houston Astros,Brandon Walter,1.8,1.0,10.0,9,.237,3.56,1.16,559.1,611
2025-06-08,Minnesota Twins,Joe Ryan,2.96,0.93,70.0,80,.201,3.62,1.22,495.0,491,Toronto Blue Jays,Bowden Francis,5.95,1.53,59.0,50,.288,3.78,1.17,514.2,533
2025-06-08,Chicago White Sox,Mike Vasil,2.18,1.26,41.1,28,.201,4.24,1.38,522.9,448,Kansas City Royals,Michael Lorenzen,5.16,1.44,68.0,57,.278,3.05,1.17,513.2,473
2025-06-08,St. Louis Cardinals,Michael McGreevy,3.12,0.81,8.2,6,.188,3.86,1.27,562.0,451,Los Angeles Dodgers,Clayton Kershaw,4.58,1.58,17.2,11,.279,4.1,1.29,564.8,579
2025-06-08,Colorado Rockies,Chase Dollander,6.26,1.44,41.2,39,.244,5.34,1.57,513.9,382,New York Mets,Tylor Megill,3.77,1.31,59.2,79,.222,2.7,1.22,519.9,503
2025-06-08,Athletics,Jacob Lopez,7.2,1.75,20.0,26,.298,5.72,1.53,565.1,497,Baltimore Orioles,Tomoyuki Sugano,3.04,1.04,71.0,40,.235,5.39,1.5,480.1,469
2025-06-08,San Francisco Giants,Landen Roupp,3.18,1.38,62.1,61,.260,3.02,1.18,512.9,506,Atlanta Braves,Spencer Strider,5.68,1.37,19.0,19,.257,3.72,1.25,538.1,534
2025-06-08,Los Angeles Angels,Tyler Anderson,3.86,1.27,65.1,51,.227,5.02,1.55,488.0,413,Seattle Mariners,George Kirby,8.56,1.83,13.2,11,.368,3.83,1.31,558.0,491
2025-06-08,New York Yankees,Carlos Rodón,2.49,0.93,79.2,98,.167,3.87,1.23,477.8,500,Boston Red Sox,Hunter Dobbins,4.06,1.33,44.1,37,.277,4.09,1.34,548.0,519
