Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-06,Tampa Bay Rays,Zack Littell,3.86,1.1,74.2,48.0,.254,3.36,1.17,479.9,440.0,Miami Marlins,Edward Cabrera,4.14,1.42,45.2,48,.261,5.12,1.43,488.8,428
2025-06-06,Pittsburgh Pirates,Bailey Falter,3.14,1.08,66.0,41.0,.214,4.05,1.25,493.0,422.0,Philadelphia Phillies,Joe Ross,4.34,1.28,29.0,22,.263,4.02,1.31,527.1,564
2025-06-06,Washington Nationals,Michael Soroka,5.81,1.23,31.0,28.0,.260,4.97,1.41,514.0,464.0,Texas Rangers,Patrick Corbin,3.71,1.26,53.1,41,.249,3.13,1.14,494.9,453
2025-06-06,New York Yankees,Will Warren,5.19,1.42,52.0,69.0,.246,3.34,1.15,487.0,509.0,Boston Red Sox,Walker Buehler,4.44,1.31,46.2,42,.260,3.96,1.33,528.9,489
2025-06-06,Cincinnati Reds,Nick Lodolo,3.1,1.11,69.2,60.0,.239,3.9,1.21,487.8,441.0,Arizona Diamondbacks,Eduardo Rodriguez,7.05,1.7,44.2,52,.309,4.56,1.3,508.0,477
2025-06-06,Detroit Tigers,Tarik Skubal,2.26,0.79,75.2,99.0,.194,3.33,1.23,493.9,443.0,Chicago Cubs,Ben Brown,5.72,1.46,56.2,71,.277,3.48,1.2,499.0,413
2025-06-06,Cleveland Guardians,Logan Allen,4.22,1.59,49.0,38.0,.279,3.97,1.36,487.2,485.0,Houston Astros,Colton Gordon,5.95,1.37,19.2,20,.289,3.47,1.15,525.9,572
2025-06-06,Chicago White Sox,Davis Martin,3.67,1.24,68.2,41.0,.260,4.23,1.39,474.0,417.0,Kansas City Royals,Seth Lugo,3.45,1.15,60.0,45,.237,3.2,1.19,502.2,467
2025-06-06,Minnesota Twins,Bailey Ober,3.48,1.35,62.0,50.0,.279,3.47,1.16,483.0,507.0,Toronto Blue Jays,Paxton Schultz,1.84,1.09,14.2,20,.211,4.04,1.2,539.0,543
2025-06-06,Milwaukee Brewers,Chad Patrick,2.97,1.21,63.2,57.0,.246,4.03,1.33,493.9,455.0,San Diego Padres,Randy Vásquez,3.99,1.47,58.2,35,.251,3.5,1.17,483.8,499
2025-06-06,St. Louis Cardinals,Sonny Gray,3.65,1.12,69.0,76.0,.242,3.97,1.28,480.2,365.0,Los Angeles Dodgers,Justin Wrobleski,8.0,1.33,9.0,8,.265,4.07,1.3,555.0,562
2025-06-06,Colorado Rockies,Antonio Senzatela,7.14,1.98,58.0,31.0,.377,5.18,1.5,479.1,375.0,New York Mets,Kodai Senga,1.6,1.18,62.0,59,.203,3.01,1.24,499.1,506
2025-06-06,Los Angeles Angels,Kyle Hendricks,5.34,1.29,59.0,39.0,.256,4.82,1.55,476.1,412.0,Seattle Mariners,Bryce Miller,5.36,1.53,43.2,37,.271,3.74,1.3,512.0,452
2025-06-06,Athletics,TBD,,,,,,,,,,Baltimore Orioles,Dean Kremer,4.7,1.39,67.0,51,.278,5.16,1.44,467.1,436
2025-06-06,San Francisco Giants,Hayden Birdsong,2.37,1.24,38.0,40.0,.243,3.09,1.2,518.0,507.0,Atlanta Braves,Spencer Schwellenbach,3.13,1.03,74.2,71,.229,3.93,1.3,464.8,462
