Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-04,Miami Marlins,Cal Quantrill,5.63,1.49,54.1,40.0,.300,4.97,1.42,479.9,436.0,Colorado Rockies,Kyle Freeland,5.19,1.54,67.2,52.0,.320,5.42,1.55,469.9,354.0
2025-06-04,Cincinnati Reds,Andrew Abbott,2.18,1.06,53.2,59.0,.197,3.97,1.21,503.8,442.0,Milwaukee Brewers,DL Hall,1.08,0.96,8.1,8.0,.111,3.95,1.33,549.0,504.0
2025-06-04,Boston Red Sox,Lucas Giolito,6.42,1.63,33.2,27.0,.324,3.86,1.32,536.9,498.0,Los Angeles Angels,José Soriano,4.11,1.59,72.1,52.0,.285,5.0,1.51,458.9,396.0
2025-06-04,Pittsburgh Pirates,Mike Burrows,8.64,1.56,8.1,5.0,.265,3.87,1.24,532.9,439.0,Houston Astros,Ryan Gusto,4.62,1.56,39.0,42.0,.268,3.51,1.13,489.1,527.0
2025-06-04,Washington Nationals,MacKenzie Gore,3.16,1.2,68.1,101.0,.241,5.35,1.42,458.9,376.0,Chicago Cubs,Matthew Boyd,3.08,1.26,61.1,64.0,.266,3.93,1.25,477.1,413.0
2025-06-04,New York Yankees,Clarke Schmidt,3.95,1.27,43.1,42.0,.224,3.55,1.17,477.9,514.0,Cleveland Guardians,Luis L. Ortiz,4.4,1.43,59.1,64.0,.242,4.01,1.37,460.1,444.0
2025-06-04,Toronto Blue Jays,José Berríos,3.86,1.3,70.0,65.0,.242,4.11,1.21,465.2,482.0,Philadelphia Phillies,Mick Abel,0.0,0.83,6.0,9.0,.227,4.03,1.32,533.2,569.0
2025-06-04,Atlanta Braves,Chris Sale,3.06,1.24,67.2,86.0,.252,3.83,1.24,453.8,428.0,Arizona Diamondbacks,Merrill Kelly,3.78,1.06,69.0,64.0,.212,4.89,1.37,465.2,443.0
2025-06-04,Tampa Bay Rays,Shane Baz,4.92,1.38,60.1,55.0,.265,3.25,1.13,476.0,409.0,Texas Rangers,Kumar Rocker,8.1,1.75,20.0,16.0,.341,2.94,1.13,511.1,455.0
2025-06-04,Chicago White Sox,TBD,,,,,,,,,,Detroit Tigers,Sawyer Gipson-Long,,,,,,,,,
2025-06-04,St. Louis Cardinals,Miles Mikolas,3.9,1.25,55.1,34.0,.248,3.88,1.25,475.1,397.0,Kansas City Royals,Noah Cameron,1.05,0.82,25.2,16.0,.144,3.29,1.21,518.9,480.0
2025-06-04,Seattle Mariners,Emerson Hancock,5.64,1.57,44.2,32.0,.307,3.72,1.31,493.0,438.0,Baltimore Orioles,Cade Povich,5.29,1.53,51.0,53.0,.283,5.18,1.44,465.1,411.0
2025-06-04,San Francisco Giants,Kyle Harrison,2.51,0.98,14.1,16.0,.160,3.04,1.21,523.9,513.0,San Diego Padres,Nick Pivetta,2.74,1.01,62.1,71.0,.199,3.61,1.23,463.9,446.0
2025-06-04,Athletics,TBD,,,,,,,,,,Minnesota Twins,Zebby Matthews,6.43,1.5,14.0,21.0,.286,3.24,1.15,514.0,513.0
2025-06-04,Los Angeles Dodgers,Tony Gonsolin,5.23,1.45,31.0,32.0,.256,4.03,1.29,515.0,524.0,New York Mets,Griffin Canning,3.23,1.4,53.0,50.0,.241,2.82,1.21,491.1,498.0
