Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO
2025-06-03,Pittsburgh Pirates,Paul Skenes,2.15,0.92,75.1,77.0,.187,4.26,1.3,456.9,359.0,Houston Astros,Lance McCullers Jr.,5.89,1.69,18.1,26.0,.260,3.58,1.15,501.0,534.0
2025-06-03,Miami Marlins,Sandy Alcantara,8.47,1.67,51.0,40.0,.279,4.74,1.43,465.0,423.0,Colorado Rockies,TBD,,,,,,,,,
2025-06-03,Washington Nationals,Trevor Williams,5.69,1.45,55.1,43.0,.291,4.94,1.38,462.9,425.0,Chicago Cubs,Cade Horton,3.98,1.23,20.1,16.0,.266,3.83,1.25,509.1,457.0
2025-06-03,New York Yankees,Carlos Rodón,2.6,0.94,72.2,90.0,.164,3.76,1.23,439.8,457.0,Cleveland Guardians,Tanner Bibee,3.86,1.27,63.0,50.0,.249,4.09,1.41,448.2,452.0
2025-06-03,Toronto Blue Jays,Bowden Francis,5.04,1.36,55.1,46.0,.271,3.91,1.19,471.1,491.0,Philadelphia Phillies,Cristopher Sánchez,3.32,1.31,59.2,70.0,.246,4.09,1.31,471.0,501.0
2025-06-03,Boston Red Sox,Brayan Bello,3.83,1.63,40.0,29.0,.281,3.96,1.31,516.1,488.0,Los Angeles Angels,Yusei Kikuchi,3.06,1.52,64.2,58.0,.256,5.09,1.51,452.8,377.0
2025-06-03,Cincinnati Reds,Hunter Greene,2.63,0.91,54.2,66.0,.195,3.86,1.23,484.8,419.0,Milwaukee Brewers,Freddy Peralta,2.77,1.17,65.0,66.0,.208,4.11,1.34,475.1,429.0
2025-06-03,Atlanta Braves,Spencer Strider,4.5,1.29,14.0,15.0,.240,3.64,1.24,498.0,492.0,Arizona Diamondbacks,Zac Gallen,5.54,1.4,66.2,66.0,.238,4.7,1.33,459.0,436.0
2025-06-03,Tampa Bay Rays,Drew Rasmussen,2.33,0.93,58.0,48.0,.199,3.62,1.2,469.1,404.0,Texas Rangers,Tyler Mahle,1.64,1.05,66.0,48.0,.192,3.31,1.16,457.1,414.0
2025-06-03,Chicago White Sox,Shane Smith,2.68,1.16,57.0,54.0,.204,4.45,1.41,457.2,378.0,Detroit Tigers,TBD,,,,,,,,,
2025-06-03,St. Louis Cardinals,Andre Pallante,4.23,1.36,61.2,42.0,.254,3.72,1.22,460.0,384.0,Kansas City Royals,Michael Lorenzen,4.33,1.4,62.1,52.0,.274,2.97,1.15,473.0,436.0
2025-06-03,Seattle Mariners,George Kirby,11.42,1.85,8.2,8.0,.361,3.74,1.32,520.0,458.0,Baltimore Orioles,Tomoyuki Sugano,3.23,1.06,64.0,35.0,.238,5.56,1.52,443.1,421.0
2025-06-03,San Francisco Giants,Landen Roupp,3.54,1.43,56.0,56.0,.268,2.99,1.16,472.0,465.0,San Diego Padres,Ryan Bergert,0.0,0.25,4.0,2.0,.077,3.57,1.22,512.0,511.0
2025-06-03,Athletics,TBD,,,,,,,,,,Minnesota Twins,Pablo López,2.75,1.04,55.2,57.0,.224,3.4,1.17,463.8,467.0
2025-06-03,Los Angeles Dodgers,Clayton Kershaw,4.91,1.55,11.0,6.0,.275,4.11,1.29,525.0,544.0,New York Mets,Tylor Megill,3.52,1.36,53.2,72.0,.227,2.75,1.22,481.8,464.0
