balldontlie_game_id,id,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
997869,778195,2025-04-24,547179,801403,Michael Lorenzen,Chase Dollander,118,115,KC,COL,2025,2025,0,0,regular,regular,4,3,4,3,1,0,1,1,3,2,4.57,7.36,0,0,0,0,21.666666666666668,14.666666666666668,24,19,11,12,2,8,7,5,1.43,1.64,17,18,7.06,11.05,,
10782,778189,2025-04-24,663978,681343,Chris Paddack,Shane Smith,142,145,MIN,CWS,2025,2025,0,0,regular,regular,4,4,4,4,0,2,0,0,2,1,7.27,2.82,0,0,0,0,17.333333333333336,22.333333333333336,18,13,14,7,4,1,9,8,1.56,0.94,15,15,7.79,6.04,,
10781,778196,2025-04-24,676979,693433,Garrett Crochet,Bryan Woo,111,136,BOS,SEA,2025,2025,0,0,regular,regular,5,4,5,4,3,3,2,2,1,1,1.12,3.12,0,0,0,0,32.0,26.0,19,21,4,9,1,2,10,6,0.91,1.04,35,22,9.84,7.62,,
10783,778190,2025-04-24,666142,608566,Cole Ragans,Germán Márquez,118,115,KC,COL,2025,2025,0,0,regular,regular,5,4,5,4,2,1,1,0,1,3,3.58,8.27,0,0,0,0,27.666666666666668,16.333333333333336,24,22,11,15,2,2,7,8,1.12,1.84,42,11,13.66,6.06,,
997869,778195,2025-04-24,547179,801403,Michael Lorenzen,Chase Dollander,118,115,KC,COL,2025,2025,0,0,regular,regular,4,3,4,3,1,0,1,1,3,2,4.57,7.36,0,0,0,0,21.666666666666668,14.666666666666668,24,19,11,12,2,8,7,5,1.43,1.64,17,18,7.06,11.05,,
10784,778194,2025-04-24,694738,668964,Landen Roupp,Tobias Myers,137,158,SF,MIL,2025,,0,0,regular,regular,4,0,4,0,2,0,2,0,1,0,4.09,0.0,0,0,0,0,22.0,0.0,22,0,10,0,3,0,8,0,1.36,0.0,29,0,11.86,0.0,,
10780,778193,2025-04-24,669022,700249,MacKenzie Gore,Cade Povich,120,110,WSH,BAL,2025,2025,0,0,regular,regular,5,4,5,4,3,1,2,0,2,2,3.41,6.38,0,0,0,0,29.0,18.333333333333332,27,30,11,13,3,4,8,8,1.21,2.07,45,18,13.97,8.84,,
10785,778191,2025-04-24,542881,669387,Tyler Anderson,Carmen Mlodzinski,108,134,LAA,PIT,2025,2025,0,0,regular,regular,4,4,4,4,1,0,2,1,0,3,2.08,7.41,0,0,0,0,21.666666666666668,17.0,11,26,5,14,3,1,12,8,1.06,2.0,21,14,8.72,7.41,,
10786,778188,2025-04-24,669203,656876,Corbin Burnes,Drew Rasmussen,109,139,AZ,TB,2025,2025,0,0,regular,regular,4,4,4,4,2,0,0,1,1,1,4.64,0.87,0,0,0,0,21.333333333333332,20.666666666666668,21,12,11,2,4,0,9,5,1.41,0.82,17,22,7.17,9.58,,
64174,778192,2025-04-24,669372,594798,J.T. Ginn,Jacob deGrom,133,140,ATH,TEX,2025,2025,0,0,regular,regular,2,4,2,4,0,1,1,0,1,1,3.6,3.32,0,0,0,0,10.0,21.666666666666668,9,16,4,8,1,5,4,7,1.3,1.06,13,20,11.7,8.31,,
