game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
776805,2025-08-09,688138,671212,Logan Evans,Joe Boyle,136,139,SEA,TB,2025,2025,0,0,regular,regular,13,3,13,3,2,0,6,1,6,1,4.3,2.7,0,0,0,0,69.0,13.3,74,7,33,4,12,1,23,7,1.41,1.05,53,15,6.91,10.13,,
776808,2025-08-09,605483,605135,Blake Snell,Chris Bassitt,119,141,LAD,TOR,2025,2025,0,0,regular,regular,3,23,3,23,0,10,1,14,1,7,3.21,4.15,0,0,0,0,14.0,128.0,15,136,5,59,2,18,8,33,1.64,1.32,12,125,7.71,8.79,,
776807,2025-08-09,650633,608337,Michael King,Lucas Giolito,135,111,SD,BOS,2025,2025,0,0,regular,regular,10,17,10,17,2,11,4,8,5,4,2.59,3.57,0,0,0,0,55.7,95.7,40,87,16,38,6,14,17,27,1.02,1.19,64,81,10.35,7.62,,
776809,2025-08-09,593958,687134,Eduardo Rodriguez,Bradley Blalock,109,115,AZ,COL,2025,2025,0,0,regular,regular,19,7,19,7,4,1,6,2,11,4,5.53,7.82,0,0,0,0,97.7,35.7,125,48,60,31,18,6,37,11,1.66,1.65,103,16,9.49,4.04,,
776810,2025-08-09,594798,666200,Jacob deGrom,Jesús Luzardo,140,143,TEX,PHI,2025,2025,0,0,regular,regular,22,23,22,23,12,12,13,13,9,7,2.8,4.32,0,0,0,0,128.7,127.0,92,127,40,61,19,12,29,44,0.94,1.35,135,147,9.44,10.42,,
776818,2025-08-09,669467,607067,Andre Pallante,Colin Rea,138,112,STL,CHC,2025,2025,0,0,regular,regular,22,19,22,19,8,5,7,9,12,6,4.57,4.68,0,0,0,0,122.0,100.0,121,107,62,52,15,19,40,28,1.32,1.35,80,77,5.9,6.93,,
776817,2025-08-09,668964,657585,Tobias Myers,Reed Garrett,158,121,MIL,NYM,2025,2025,0,0,regular,regular,5,0,5,0,0,0,1,0,2,0,5.21,0.0,0,0,0,0,19.0,0.0,26,0,11,0,2,0,10,0,1.89,0.0,14,0,6.63,0.0,,
776814,2025-08-09,680732,676282,Sean Burke,Joey Cantillo,145,114,CWS,CLE,2025,2025,0,0,regular,regular,18,6,18,6,5,0,6,2,7,2,4.47,4.94,0,0,0,0,88.7,27.3,85,25,44,15,15,2,45,16,1.47,1.5,76,36,7.71,11.85,,
776811,2025-08-09,687064,678022,Brandon Young,Jack Perkins,110,133,BAL,ATH,2025,2025,0,0,regular,regular,9,1,9,1,1,0,1,0,7,0,5.88,12.0,0,0,0,0,41.3,3.0,51,5,27,4,8,0,18,3,1.67,2.67,38,4,8.27,12.0,,
776812,2025-08-09,677952,607259,Braxton Ashcraft,Nick Martinez,134,113,PIT,CIN,2025,2025,0,0,regular,regular,1,22,1,22,0,9,0,10,0,11,0.0,4.72,0,0,0,0,3.0,124.0,1,123,0,65,0,16,0,31,0.33,1.24,2,92,6.0,6.68,,
