balldontlie_game_id,id,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
11226,778182,2025-04-25,607067,592836,Colin Rea,Taijuan Walker,112,143,CHC,PHI,2025,2025,0,0,regular,regular,5,4,2,4,0,1,0,1,0,1,1.32,2.29,1,0,0,0,13.666666666666668,19.666666666666668,14,15,2,5,0,2,1,8,1.1,1.17,12,16,7.9,7.32,,
11221,778183,2025-04-25,663623,673540,Jake Irvin,Kodai Senga,120,121,WSH,NYM,2025,2025,0,0,regular,regular,5,4,5,4,2,1,2,3,0,1,3.68,0.79,0,0,0,0,29.333333333333332,22.666666666666668,24,15,12,2,6,1,7,7,1.06,0.97,27,20,8.28,7.94,,
11222,778185,2025-04-25,471911,621244,Carlos Carrasco,José Berríos,147,141,NYY,TOR,2025,2025,0,0,regular,regular,5,5,4,5,0,2,2,1,1,1,6.53,5.02,0,0,0,0,20.666666666666664,28.666666666666668,23,28,15,16,5,6,7,13,1.45,1.43,15,24,6.53,7.53,,
11224,778187,2025-04-25,607625,669713,Seth Lugo,Hayden Wesneski,118,117,KC,HOU,2025,2025,0,0,regular,regular,5,4,5,4,2,2,1,1,3,1,3.9,3.91,0,0,0,0,30.000000000000004,23.0,26,16,13,10,6,6,11,4,1.23,0.87,21,25,6.3,9.78,,
11223,778186,2025-04-25,641154,543294,Pablo López,Kyle Hendricks,142,108,MIN,LAA,2025,2025,0,0,regular,regular,3,4,3,4,1,1,1,0,1,2,1.62,4.5,0,0,0,0,16.666666666666668,20.0,15,17,3,10,2,3,2,7,1.02,1.2,14,10,7.56,4.5,,
11225,778184,2025-04-25,669461,694477,Matthew Liberatore,Chad Patrick,138,158,STL,MIL,2025,2025,0,0,regular,regular,4,5,4,4,3,1,1,1,2,1,3.6,2.11,0,0,0,0,25.0,21.333333333333332,23,19,10,5,1,3,2,9,1.0,1.31,24,20,8.64,8.44,,
11227,778181,2025-04-25,607536,671096,Kyle Freeland,Andrew Abbott,115,113,COL,CIN,2025,2025,0,0,regular,regular,5,2,5,2,2,1,0,2,4,0,4.85,1.64,0,0,0,0,26.0,11.0,30,4,14,2,1,2,3,3,1.27,0.64,19,16,6.58,13.09,,
11232,778172,2025-04-25,650633,669358,Michael King,Shane Baz,135,139,SD,TB,2025,2025,0,0,regular,regular,5,4,5,4,1,3,3,2,0,0,2.57,3.22,0,0,0,0,28.0,22.333333333333332,20,16,8,8,3,3,10,8,1.07,1.07,31,30,9.96,12.09,,
11228,778177,2025-04-25,668678,519242,Zac Gallen,Chris Sale,109,144,AZ,ATL,2025,2025,0,0,regular,regular,5,5,5,5,2,0,1,0,3,2,5.6,6.17,0,0,0,0,27.333333333333336,23.333333333333332,26,31,17,16,5,4,13,7,1.43,1.63,29,32,9.55,12.34,,
11230,778175,2025-04-25,669302,615698,Logan Gilbert,Cal Quantrill,136,146,SEA,MIA,2025,2025,0,0,regular,regular,5,4,5,4,1,0,1,1,1,2,2.63,8.31,0,0,0,0,27.333333333333336,17.333333333333332,18,27,8,16,3,2,6,9,0.88,2.08,41,8,13.5,4.15,,
64188,778178,2025-04-25,622663,656457,Luis Severino,Tyler Gilbert,133,145,ATH,CWS,2025,2025,0,0,regular,regular,5,6,5,0,2,0,1,1,3,1,3.31,7.94,0,0,0,0,32.66666666666667,5.666666666666666,24,5,12,5,4,1,10,3,1.04,1.41,22,8,6.06,12.71,,
11231,778176,2025-04-25,808967,694973,Yoshinobu Yamamoto,Paul Skenes,119,134,LAD,PIT,2025,2025,0,0,regular,regular,5,5,5,5,3,3,3,2,1,2,0.93,2.87,0,0,0,0,29.0,31.333333333333332,18,21,3,10,2,1,7,4,0.86,0.8,38,30,11.79,8.62,,
11233,778171,2025-04-25,434378,543135,Justin Verlander,Nathan Eovaldi,137,140,SF,TEX,2025,2025,0,0,regular,regular,5,5,5,5,1,3,0,1,1,2,5.47,2.64,0,0,0,0,24.666666666666668,30.666666666666668,26,21,15,9,4,3,11,2,1.5,0.75,23,31,8.39,9.1,,
